year,make,model,trim,engine,epid,ebay_engine
2026,Acura,ADX,Platinum Elite A-Spec Sport Utility 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2026,Acura,ADX,Base Sport Utility 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2026,Acura,ADX,A-Spec Sport Utility 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2026,Acura,Integra,A-Spec Hatchback 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2026,Acura,Integra,Base Hatchback 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2026,Acura,Integra,Elite A-Spec Hatchback 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2026,Acura,Integra,Type S Hatchback 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Acura,MDX,Type S Sport Utility 4-Door,3.0L,,3.0L 2997CC V6 GAS DOHC Turbocharged
2026,Acura,MDX,Base Sport Utility 4-Door,3.5L,,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
2026,Acura,MDX,SH-AWD Sport Utility 4-Door,3.5L,,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
2026,Acura,RDX,SH-AWD Sport Utility 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Acura,ZDX,A-Spec Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Acura,ZDX,Type S Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Acura,ADX,Platinum Elite A-Spec Sport Utility 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2025,Acura,ADX,A-Spec Sport Utility 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2025,Acura,ADX,Base Sport Utility 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2025,Acura,Integra,A-Spec Hatchback 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2025,Acura,Integra,Base Hatchback 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2025,Acura,Integra,Elite A-Spec Hatchback 4-Door,1.5L,,1.5L 1497CC l4 GAS DOHC Turbocharged
2025,Acura,Integra,Type S Hatchback 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Turbocharged
