year,make,model,trim,engine,epid,ebay_engine
2026,Alfa Romeo,Tonale,Tributo Sport Utility 4-Door,1.3L,,1.3L 1332CC 81Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Alfa Romeo,Tonale,Base Sport Utility 4-Door,1.3L,,1.3L 1332CC 81Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Alfa Romeo,Tonale,Tributo Italiano Sport Utility 4-Door,1.3L,,1.3L 1332CC 81Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Alfa Romeo,Tonale,Itensa Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Alfa Romeo,Giulia,Tributo Italiano Sedan 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2025,Alfa Romeo,Giulia,Base Sedan 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2025,Alfa Romeo,Giulia,Intensa Sedan 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2025,Alfa Romeo,Stelvio,Tributo Italiano Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2025,Alfa Romeo,Stelvio,Tributo Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2025,Alfa Romeo,Stelvio,Base Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2025,Alfa Romeo,Tonale,Tributo Italiano Sport Utility 4-Door,1.3L,,1.3L 1332CC 81Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Alfa Romeo,Tonale,Base Sport Utility 4-Door,1.3L,,1.3L 1332CC 81Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Alfa Romeo,Tonale,Sprint Sport Utility 4-Door,1.3L,,1.3L 1332CC 81Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Alfa Romeo,Tonale,Veloce Sport Utility 4-Door,1.3L,,1.3L 1332CC 81Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Alfa Romeo,Tonale,Itensa Sport Utility 4-Door,1.3L,,1.3L 1332CC 81Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Alfa Romeo,Tonale,Base Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Alfa Romeo,Tonale,Sprint Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Alfa Romeo,Tonale,Veloce Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Alfa Romeo,Tonale,Itensa Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Alfa Romeo,Giulia,Sprint Sedan 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2024,Alfa Romeo,Giulia,Veloce Sedan 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2024,Alfa Romeo,Giulia,TI Sedan 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2024,Alfa Romeo,Giulia,Competizione Sedan 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 GAS SOHC Turbocharged
2024,Alfa Romeo,Giulia,Quadrifoglio Sedan 4-Door,2.9L,,2.9L 2891CC V6 GAS DOHC Turbocharged
2024,Alfa Romeo,Giulia,Quadrifoglio Supersport Sedan 4-Door,2.9L,,2.9L 2891CC V6 GAS DOHC Turbocharged
