year,make,model,trim,engine,epid,ebay_engine
2012,AM General,Humvee ECV,M1151 Light Tactical Vehicle,6.5L,10057789369,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2009,AM General,Humvee ECV,M1152A1 Light Tactical Vehicle,6.5L,10057789438,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2009,AM General,Humvee ECV,M1151 Light Tactical Vehicle,6.5L,10057789769,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2010,AM General,Humvee ECV,M1114 Light Tactical Vehicle,6.5L,11057774028,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2012,AM General,Humvee ECV,M1152 Light Tactical Vehicle,6.5L,11057774059,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2010,AM General,Humvee ECV,M1113 Light Tactical Vehicle,6.5L,11057774192,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2009,AM General,Humvee ECV,M1165A1 Light Tactical Vehicle,6.5L,11057774431,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2011,AM General,Humvee ECV,M1151 Light Tactical Vehicle,6.5L,12057774559,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2011,AM General,Humvee ECV,M1165A1 Light Tactical Vehicle,6.5L,12057775349,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2010,AM General,Humvee ECV,M1165A1 Light Tactical Vehicle,6.5L,14057779150,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2009,AM General,Humvee ECV,M1113 Light Tactical Vehicle,6.5L,14057779219,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2010,AM General,Humvee ECV,M1151 Light Tactical Vehicle,6.5L,14057779473,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2012,AM General,Humvee ECV,M1167 Light Tactical Vehicle,6.5L,15057786267,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2008,AM General,Humvee ECV,M1151A1 Light Tactical Vehicle,6.5L,16057779176,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2010,AM General,Humvee ECV,M1167 Light Tactical Vehicle,6.5L,17057784145,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2008,AM General,Humvee ECV,M1114 Light Tactical Vehicle,6.5L,18057789643,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2011,AM General,Humvee ECV,M1114 Light Tactical Vehicle,6.5L,18057789929,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2011,AM General,Humvee ECV,M1151A1 Light Tactical Vehicle,6.5L,19057789203,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2011,AM General,Humvee ECV,M1167 Light Tactical Vehicle,6.5L,19057789455,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2012,AM General,Humvee ECV,M1151A1 Light Tactical Vehicle,6.5L,19057789674,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2009,AM General,Humvee ECV,M1167 Light Tactical Vehicle,6.5L,19057789813,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2011,AM General,Humvee ECV,M1165 Light Tactical Vehicle,6.5L,20057785704,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2009,AM General,Humvee ECV,M1152 Light Tactical Vehicle,6.5L,20057785918,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2011,AM General,Humvee ECV,M1152 Light Tactical Vehicle,6.5L,21057791039,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2012,AM General,Humvee ECV,M1165 Light Tactical Vehicle,6.5L,21057791059,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2008,AM General,Humvee ECV,M1151 Light Tactical Vehicle,6.5L,21057791091,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2010,AM General,Humvee ECV,M1152 Light Tactical Vehicle,6.5L,21057791313,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2008,AM General,Humvee ECV,M1152A1 Light Tactical Vehicle,6.5L,22057786641,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2008,AM General,Humvee ECV,M1113 Light Tactical Vehicle,6.5L,22057787176,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2011,AM General,Humvee ECV,M1113 Light Tactical Vehicle,6.5L,23057794812,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2008,AM General,Humvee ECV,M1165 Light Tactical Vehicle,6.5L,23057794992,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2012,AM General,Humvee ECV,M1113 Light Tactical Vehicle,6.5L,2328832348,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
