year,make,model,trim,engine,epid,ebay_engine
2026,Aston Martin,DB12,Volante Convertible 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2026,Aston Martin,DB12,Base Coupe 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2026,Aston Martin,DBX707,Base Sport Utility 4-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2026,Aston Martin,Valhalla,Base Coupe 2-Door,4.0L,,4.0L 3982CC V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Aston Martin,Vanquish,Base Coupe 2-Door,5.2L,,5.2L 5204CC V12 GAS DOHC Turbocharged
2026,Aston Martin,Vantage,Base Hatchback 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2025,Aston Martin,DB12,Base Coupe 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2025,Aston Martin,DB12,Volante Convertible 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2025,Aston Martin,DBX707,Base Sport Utility 4-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2025,Aston Martin,Valiant,Base Coupe 2-Door,5.2L,,5.2L 5204CC V12 GAS DOHC Turbocharged
2025,Aston Martin,Vanquish,Base Coupe 2-Door,5.2L,,5.2L 5204CC V12 GAS DOHC Turbocharged
2025,Aston Martin,Vantage,Base Hatchback 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2024,Aston Martin,DB12,Base Coupe 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2024,Aston Martin,DB12,Volante Convertible 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2024,Aston Martin,DBS,770 Ultimate Coupe 2-Door,5.2L,,5.2L 5204CC V12 GAS DOHC Turbocharged
2024,Aston Martin,DBS,770 Ultimate Volante Convertible 2-Door,5.2L,,5.2L 5204CC V12 GAS DOHC Turbocharged
2024,Aston Martin,DBX,Base Sport Utility 4-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2024,Aston Martin,DBX707,Base Sport Utility 4-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
