year,make,model,trim,engine,epid,ebay_engine
2026,Audi,A3 Quattro,Progressiv Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,A3 Quattro,Premium Plus Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,A3 Quattro,Premium Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,A3 Quattro,Technik Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,A6 allroad,Progressiv Wagon 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,A6 allroad,Premium Plus Wagon 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,A6 allroad,Technik Wagon 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,A6 allroad,Prestige Wagon 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,A6 Quattro,Premium Plus,--,,--
2026,Audi,A6 Quattro,Prestige,--,,--
2026,Audi,A6 Quattro,Premium,--,,--
2026,Audi,A8 Quattro,L Sedan 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q5,Prestige,--,,--
2026,Audi,Q5,Premium,--,,--
2026,Audi,Q5,Premium Plus,--,,--
2026,Audi,Q5 Sportback,Premium,--,,--
2026,Audi,Q5 Sportback,Premium Plus,--,,--
2026,Audi,Q5 Sportback,Prestige,--,,--
2026,Audi,Q6 e-tron,Technik Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,Q6 e-tron,Premium Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,Q6 e-tron,Progressiv Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,Q6 e-tron,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,Q6 e-tron,Premium Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,Q6 e-tron,Prestige Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,Q7,Premium Plus Sport Utility 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Prestige Sport Utility 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Komfort Sport Utility 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Premium Sport Utility 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Technik Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Premium Plus Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Komfort Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Premium Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Progressiv Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q7,Prestige Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q8,Premium Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q8,Prestige Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q8,Progressiv Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q8,Technik Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,Q8,Premium Plus Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,RS e-tron GT Performance,Base Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,RS Q8,Base Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,RS3,Base Sedan 4-Door,2.5L,,2.5L 2480CC 151Cu. In. l5 GAS DOHC Turbocharged
2026,Audi,RS6 Avant,Performance Wagon 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,RS7 Sportback,Performance Hatchback 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,S e-tron GT,Premium Plus Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,S e-tron GT,Prestige Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,S e-tron GT,Base Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,S3,Technik Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2026,Audi,S3,Progressiv Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2026,Audi,S3,Base Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2026,Audi,S8,Base Sedan 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,SQ5,Premium,--,,--
2026,Audi,SQ5,Premium Plus,--,,--
2026,Audi,SQ5,Prestige,--,,--
2026,Audi,SQ5 Sportback,Prestige,--,,--
2026,Audi,SQ5 Sportback,Premium Plus,--,,--
2026,Audi,SQ5 Sportback,Premium,--,,--
2026,Audi,SQ6 e-tron,Premium Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,SQ6 e-tron,Premium Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,SQ6 e-tron,Progressiv Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,SQ6 e-tron,Technik Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,SQ6 e-tron,Prestige Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Audi,SQ7,Base Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,SQ7,Prestige Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,SQ7,Premium Plus Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,SQ8,Base Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,SQ8,Premium Plus Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Audi,SQ8,Prestige Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Audi,A3 Quattro,Progressiv Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Audi,A3 Quattro,Premium Plus Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Audi,A3 Quattro,Premium Sedan 4-Door,2.0L,,2.0L 1984CC 121Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
