year,make,model,trim,engine,epid,ebay_engine
2026,Bentley,Bentayga,Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Bentayga,Azure Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Bentayga,Atelier Edition Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Bentayga,Azure Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,Bentley,Bentayga,Speed Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,Bentley,Bentayga,Atelier Edition Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,Bentley,Bentayga,Base Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,Bentley,Bentayga EWB,Mulliner Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,Bentley,Bentayga EWB,Azure Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,Bentley,Bentayga EWB,Base Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,Bentley,Bentayga EWB,Atelier Edition Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,Bentley,Continental,GTC Mulliner Convertible 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Continental,GTC Speed Convertible 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Continental,GT Speed Convertible 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Continental,GT Speed Coupe 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Continental,GT Mulliner Coupe 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Flying Spur,Base Sedan 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Flying Spur,Azure Sedan 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Flying Spur,Speed Sedan 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Bentley,Flying Spur,Mulliner Sedan 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Bentayga,S Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Bentayga,Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Bentayga,Azure Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Bentayga,S Black Edition Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Bentayga,S Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,Bentley,Bentayga,V8 Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,Bentley,Bentayga,Azure Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,Bentley,Bentayga,S Black Edition Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,Bentley,Bentayga EWB,Mulliner Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,Bentley,Bentayga EWB,V8 Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,Bentley,Bentayga EWB,Azure V8 Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,Bentley,Continental,GT Speed Convertible 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Continental,GTC Mulliner Convertible 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Continental,GT Speed Coupe 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Continental,GTC Speed Convertible 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Continental,GT Mulliner Coupe 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Flying Spur,Mulliner Sedan 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2025,Bentley,Flying Spur,Speed Sedan 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,Bentley,Bentayga,Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,Bentley,Bentayga,Azure Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,Bentley,Bentayga,S Hybrid Sport Utility 4-Door,3.0L,,3.0L 2995CC V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,Bentley,Bentayga,Azure Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,Bentley,Bentayga,S Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,Bentley,Bentayga,V8 Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,Bentley,Bentayga EWB,Mulliner Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,Bentley,Bentayga EWB,Azure V8 Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,Bentley,Bentayga EWB,V8 Sport Utility 4-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,Bentley,Continental,GT S Convertible 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,Bentley,Continental,GT S Coupe 2-Door,4.0L,,4.0L 3996CC 244Cu. In. V8 GAS DOHC Turbocharged
