year,make,model,trim,engine,epid,ebay_engine
1985,BMW,318i,Base Coupe 2-Door,1.8L,83314316,1.8L 1766CC 107Cu. In. l4 GAS SOHC Naturally Aspirated
1985,BMW,318i,Base Sedan 4-Door,1.8L,83353028,1.8L 1766CC 107Cu. In. l4 GAS SOHC Naturally Aspirated
1985,BMW,325e,Base Coupe 2-Door,2.7L,83306026,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1985,BMW,325e,Base Sedan 4-Door,2.7L,83345938,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1985,BMW,524td,Base Sedan 4-Door,2.4L,83355947,2.4L 2443CC l6 DIESEL SOHC Turbocharged
1985,BMW,528e,Base Sedan 4-Door,2.7L,83285645,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1985,BMW,535i,Base Sedan 4-Door,3.5L,83275182,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
1985,BMW,635CSi,Base Coupe 2-Door,3.5L,83303209,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
1985,BMW,735i,Base Sedan 4-Door,3.5L,83348650,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
1986,BMW,325,Base Sedan 4-Door,2.7L,83278454,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1986,BMW,325,Base Coupe 2-Door,2.7L,83355170,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1986,BMW,325e,Base Coupe 2-Door,2.7L,83276372,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1986,BMW,325e,Base Sedan 4-Door,2.7L,83287135,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1986,BMW,325es,Base Coupe 2-Door,2.7L,83332010,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1986,BMW,524td,Base Sedan 4-Door,2.4L,83258054,2.4L 2443CC l6 DIESEL SOHC Turbocharged
1986,BMW,528e,Base Sedan 4-Door,2.7L,83241544,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1986,BMW,535i,Base Sedan 4-Door,3.5L,83296352,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
1986,BMW,635CSi,Base Coupe 2-Door,3.5L,83300895,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
1986,BMW,735i,Base Sedan 4-Door,3.5L,83281822,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
1986,BMW,L7,Base Sedan 4-Door,3.5L,83248044,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
1987,BMW,325,Base Coupe 2-Door,2.7L,83290706,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1987,BMW,325,Base Sedan 4-Door,2.7L,83352288,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1987,BMW,325e,Base Coupe 2-Door,2.7L,83303829,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1987,BMW,325e,Base Sedan 4-Door,2.7L,83314081,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1987,BMW,325es,Base Coupe 2-Door,2.7L,83319956,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1987,BMW,325i,Base Sedan 4-Door,2.5L,83326289,2.5L 2494CC 152Cu. In. l6 GAS SOHC Naturally Aspirated
1987,BMW,325i,Base Convertible 2-Door,2.5L,83348547,2.5L 2494CC 152Cu. In. l6 GAS SOHC Naturally Aspirated
1987,BMW,325is,Base Coupe 2-Door,2.5L,83305032,2.5L 2494CC 152Cu. In. l6 GAS SOHC Naturally Aspirated
1987,BMW,528e,Base Sedan 4-Door,2.7L,83350550,2.7L 2693CC l6 GAS SOHC Naturally Aspirated
1987,BMW,535i,Base Sedan 4-Door,3.5L,83330238,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
1987,BMW,635CSi,Base Coupe 2-Door,3.5L,83336918,3.5L 3430CC l6 GAS SOHC Naturally Aspirated
