year,make,model,trim,engine,epid,ebay_engine
2026,Buick,Enclave,Preferred Sport Utility 4-Door,2.5L,,2.5L 2457CC 153Cu. In. l4 GAS DOHC Turbocharged
2026,Buick,Enclave,Sport Touring Sport Utility 4-Door,2.5L,,2.5L 2457CC 153Cu. In. l4 GAS DOHC Turbocharged
2026,Buick,Enclave,Avenir Sport Utility 4-Door,2.5L,,2.5L 2457CC 153Cu. In. l4 GAS DOHC Turbocharged
2026,Buick,Encore GX,Preferred Sport Utility 4-Door,1.3L,,1.3L 1349CC 83Cu. In. l3 GAS DOHC Turbocharged
2026,Buick,Encore GX,Avenir Sport Utility 4-Door,1.3L,,1.3L 1349CC 83Cu. In. l3 GAS DOHC Turbocharged
2026,Buick,Encore GX,Sport Touring Sport Utility 4-Door,1.3L,,1.3L 1349CC 83Cu. In. l3 GAS DOHC Turbocharged
2026,Buick,Envision,Avenir Sport Utility 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Buick,Envision,Sport Touring Sport Utility 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Buick,Envision,Preferred Sport Utility 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Buick,Envista,Sport Touring Sport Utility Coupe 4-Door,1.2L,,1.2L 1199CC 73Cu. In. l3 FLEX DOHC Turbocharged
2026,Buick,Envista,Avenir Sport Utility Coupe 4-Door,1.2L,,1.2L 1199CC 73Cu. In. l3 GAS DOHC Turbocharged
2026,Buick,Envista,Preferred Sport Utility Coupe 4-Door,1.2L,,1.2L 1199CC 73Cu. In. l3 FLEX DOHC Turbocharged
2025,Buick,Enclave,Preferred Sport Utility 4-Door,2.5L,,2.5L 2457CC 153Cu. In. l4 GAS DOHC Turbocharged
2025,Buick,Enclave,Avenir Sport Utility 4-Door,2.5L,,2.5L 2457CC 153Cu. In. l4 GAS DOHC Turbocharged
2025,Buick,Enclave,Sport Touring Sport Utility 4-Door,2.5L,,2.5L 2457CC 153Cu. In. l4 GAS DOHC Turbocharged
2025,Buick,Encore GX,Preferred Sport Utility 4-Door,1.2L,,1.2L 1199CC 73Cu. In. l3 FLEX DOHC Turbocharged
