year,make,model,trim,engine,epid,ebay_engine
2016,Cadillac,SRX,Premium Sport Utility 4-Door,3.6L,211909083,3.6L 3564CC 217Cu. In. V6 FLEX DOHC Naturally Aspirated
2021,Cadillac,Escalade ESV,Luxury Sport Utility 4-Door,3.0L,10037466188,3.0L 2993CC 183Cu. In. l6 DIESEL DOHC Turbocharged
2021,Cadillac,XT6,Premium Luxury Sport Utility 4-Door,3.6L,10037549376,3.6L 222Cu. In. V6 GAS DOHC Naturally Aspirated
2020,Cadillac,Escalade,Base Sport Utility 4-Door,6.2L,252265446,6.2L 6162CC 376Cu. In. V8 FLEX OHV Naturally Aspirated
2018,Cadillac,ATS,V Coupe 2-Door,3.6L,10039237472,3.6L 3564CC 217Cu. In. V6 GAS DOHC Turbocharged
2021,Cadillac,XT6,Luxury Sport Utility 4-Door,2.0L,10041089041,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2020,Cadillac,CT4,Sport Sedan 4-Door,2.0L,10041089070,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Cadillac,Escalade ESV,Premium Luxury Sport Utility 4-Door,3.0L,10045489771,3.0L 2993CC 183Cu. In. l6 DIESEL DOHC Turbocharged
2022,Cadillac,XT6,Luxury Sport Utility 4-Door,2.0L,10045489881,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Cadillac,Escalade,Premium Luxury Platinum Sport Utility 4-Door,6.2L,10045489886,6.2L 6162CC 376Cu. In. V8 GAS OHV Naturally Aspirated
2022,Cadillac,Escalade ESV,Premium Luxury Sport Utility 4-Door,6.2L,10045489936,6.2L 6162CC 376Cu. In. V8 GAS OHV Naturally Aspirated
2013,Cadillac,ATS,Premium Sedan 4-Door,3.6L,10046140487,3.6L 3564CC 217Cu. In. V6 FLEX DOHC Naturally Aspirated
2022,Cadillac,XT4,Luxury Sport Utility 4-Door,2.0L,10047172518,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Cadillac,CT4,V Blackwing Sedan 4-Door,3.6L,10048306557,3.6L 3564CC 217Cu. In. V6 GAS DOHC Turbocharged
2022,Cadillac,CT4,Premium Luxury Sedan 4-Door,2.0L,10050430215,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Cadillac,Escalade,Sport Sport Utility 4-Door,3.0L,10053891477,3.0L 2993CC 183Cu. In. l6 DIESEL DOHC Turbocharged
2023,Cadillac,Escalade ESV,Sport Sport Utility 4-Door,6.2L,10053891503,6.2L 6162CC 376Cu. In. V8 GAS OHV Naturally Aspirated
2023,Cadillac,XT5,Livery Sport Utility 4-Door,2.0L,10054603403,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Cadillac,XT5,Livery Hearse 4-Door,2.0L,10057789102,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Cadillac,Escalade,Sport Platinum Sport Utility 4-Door,3.0L,10057789440,3.0L 2993CC 183Cu. In. l6 DIESEL DOHC Turbocharged
2024,Cadillac,LYRIQ,Luxury Sport Utility 4-Door,--,10059070210,BATTERY EV (EV/BEV)
2024,Cadillac,LYRIQ,Tech Sport Utility 4-Door,--,10059371465,BATTERY EV (EV/BEV)
2024,Cadillac,XT6,Sport Sport Utility 4-Door,3.6L,10060894461,3.6L 222Cu. In. V6 GAS DOHC Naturally Aspirated
2024,Cadillac,Escalade,Luxury Sport Utility 4-Door,6.2L,10063316634,6.2L 6162CC 376Cu. In. V8 GAS OHV Naturally Aspirated
2024,Cadillac,Escalade ESV,Sport Platinum Sport Utility 4-Door,3.0L,10063316693,3.0L 2993CC 183Cu. In. l6 DIESEL DOHC Turbocharged
2024,Cadillac,Escalade,Sport Sport Utility 4-Door,3.0L,10063316766,3.0L 2993CC 183Cu. In. l6 DIESEL DOHC Turbocharged
2025,Cadillac,LYRIQ,Luxury Sport Utility 4-Door,--,10066031743,BATTERY EV (EV/BEV)
2025,Cadillac,CT4,V Blackwing Sedan 4-Door,3.6L,10066031836,3.6L 3564CC 217Cu. In. V6 GAS DOHC Turbocharged
2025,Cadillac,XT6,Luxury Sport Utility 4-Door,2.0L,10069487229,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Cadillac,XT5,Premium Luxury Sport Utility 4-Door,3.6L,10069487423,3.6L 222Cu. In. V6 GAS DOHC Naturally Aspirated
2025,Cadillac,Escalade,Premium Luxury Sport Utility 4-Door,6.2L,10071962067,6.2L 6162CC 376Cu. In. V8 GAS OHV Naturally Aspirated
2026,Cadillac,CT5,Premium Luxury Sedan 4-Door,2.0L,10075765548,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Cadillac,VISTIQ,Premium Luxury Sport Utility 4-Door,--,10078737670,BATTERY EV (EV/BEV)
