year,make,model,trim,engine,epid,ebay_engine
2005,Chrysler,PT Cruiser,GT Convertible 2-Door,2.4L,10036877219,2.4L 2429CC 148Cu. In. l4 GAS DOHC Turbocharged
2001,Chrysler,Neon,Base Sedan 4-Door,2.0L,10037926768,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
2021,Chrysler,Voyager,LX Mini Passenger Van 4-Door,3.6L,23038322397,3.6L 3604CC 220Cu. In. V6 FLEX DOHC Naturally Aspirated
1995,Chrysler,Sebring,LXi Coupe 2-Door,2.5L,10038316775,2.5L 2497CC 152Cu. In. V6 GAS SOHC Naturally Aspirated
2010,Chrysler,Town & Country,LX Mini Passenger Van 4-Door,3.8L,10039237379,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
2010,Chrysler,Sebring,Limited Sedan 4-Door,2.4L,10039237405,2.4L 2360CC 144Cu. In. l4 GAS DOHC Naturally Aspirated
1993,Chrysler,LeBaron,Base Convertible 2-Door,3.0L,10045489898,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2002,Chrysler,Sebring,LX Coupe 2-Door,3.0L,10045489909,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2022,Chrysler,Grand Caravan,SXT Mini Passenger Van 4-Door,3.6L,20048801088,3.6L 3604CC 220Cu. In. V6 FLEX DOHC Naturally Aspirated
1990,Chrysler,New Yorker,Landau Sedan 4-Door,3.3L,109867214,3.3L 3301CC 201Cu. In. V6 GAS OHV Naturally Aspirated
2000,Chrysler,Voyager,Base Mini Passenger Van 4-Door,3.3L,24039231488,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
2003,Chrysler,Town & Country,Limited Mini Passenger Van 4-Door,3.3L,109873934,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1990,Chrysler,New Yorker,Fifth Avenue Sedan 4-Door,3.3L,109875614,3.3L 3301CC 201Cu. In. V6 GAS OHV Naturally Aspirated
1998,Chrysler,Town & Country,LX Mini Passenger Van 4-Door,3.3L,109876164,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
2005,Chrysler,Town & Country,Touring Mini Passenger Van 4-Door,3.3L,109878594,3.3L 3301CC 201Cu. In. V6 GAS OHV Naturally Aspirated
2007,Chrysler,Aspen,Limited Sport Utility 4-Door,4.7L,109878984,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2006,Chrysler,300,Limited Sedan 4-Door,3.5L,109880734,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
2011,Chrysler,200,Touring Sedan 4-Door,3.6L,109882024,3.6L 3604CC 220Cu. In. V6 FLEX DOHC Naturally Aspirated
