year,make,model,trim,engine,epid,ebay_engine
1996,Eagle,Talon,Base Hatchback 2-Door,2.0L,10037926544,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1988,Eagle,Premier,ES Sedan 4-Door,3.0L,10038316747,3.0L 2972CC 182Cu. In. V6 GAS SOHC Naturally Aspirated
1995,Eagle,Summit,LX Sedan 4-Door,2.4L,10039237360,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1994,Eagle,Summit,DL Coupe 2-Door,2.4L,10039237380,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1990,Eagle,Vista,LX Sedan 4-Door,1.5L,10039846714,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Eagle,Vista,4x4 Wagon 4-Door,2.0L,10046140577,2.0L 1997CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Eagle,Summit,DL Wagon 3-Door,1.5L,10047172532,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1994,Eagle,Vision,ESi Sedan 4-Door,3.3L,109905912,3.3L 3301CC 201Cu. In. V6 GAS OHV Naturally Aspirated
1993,Eagle,Vision,ESi Sedan 4-Door,3.3L,109909505,3.3L 3301CC 201Cu. In. V6 GAS OHV Naturally Aspirated
1995,Eagle,Vision,ESi Sedan 4-Door,3.3L,109911092,3.3L 3301CC 201Cu. In. V6 GAS OHV Naturally Aspirated
1997,Eagle,Vision,ESi Sedan 4-Door,3.3L,109926726,3.3L 3301CC 201Cu. In. V6 GAS OHV Naturally Aspirated
1996,Eagle,Vision,ESi Sedan 4-Door,3.3L,109931206,3.3L 3301CC 201Cu. In. V6 GAS OHV Naturally Aspirated
1991,Eagle,Talon,Base Hatchback 2-Door,2.0L,11036074691,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1997,Eagle,Talon,ESi Hatchback 2-Door,2.0L,11037920138,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1994,Eagle,Summit,ESi Coupe 2-Door,1.8L,11038309659,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1995,Eagle,Summit,LX Wagon 3-Door,1.8L,11038309688,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1993,Eagle,Summit,DL Coupe 2-Door,2.4L,11039229262,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1993,Eagle,Summit,ES Sedan 4-Door,1.5L,11047159309,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1993,Eagle,Summit,ES Coupe 2-Door,1.5L,11047160876,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1990,Eagle,Summit,ES Sedan 4-Door,1.5L,112466501,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1990,Eagle,Summit,ES Sedan 4-Door,1.6L,112533156,1.6L 1597CC 98Cu. In. l4 GAS DOHC Naturally Aspirated
1996,Eagle,Summit,ESi Coupe 2-Door,1.5L,12047160738,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Eagle,Summit,ES Sedan 4-Door,1.5L,12047163162,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Eagle,Talon,TSi Hatchback 2-Door,2.0L,13036077529,2.0L 1997CC 122Cu. In. l4 GAS DOHC Turbocharged
1994,Eagle,Summit,Base Wagon 3-Door,2.4L,13039234773,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1993,Eagle,Summit,DL Sedan 4-Door,1.5L,13047167149,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Eagle,Talon,Base Hatchback 2-Door,2.0L,14036077064,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1990,Eagle,Talon,TSi Hatchback 2-Door,2.0L,14036077109,2.0L 1997CC 122Cu. In. l4 GAS DOHC Turbocharged
1995,Eagle,Summit,DL Coupe 2-Door,2.4L,14039233138,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1991,Eagle,2000 GTX,Base Sedan 4-Door,2.0L,14046136649,2.0L 1997CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
1996,Eagle,Summit,ESi Sedan 4-Door,1.5L,14047166051,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Eagle,Summit,Base Sedan 4-Door,1.5L,14047166137,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1996,Eagle,Summit,DL Wagon 3-Door,1.5L,14047166299,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1995,Eagle,Summit,LX Coupe 2-Door,1.8L,15038315262,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Eagle,Summit,Base Wagon 3-Door,2.4L,15039235834,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1989,Eagle,Vista,Base Wagon 4-Door,2.0L,15046140271,2.0L 1997CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
1995,Eagle,Summit,DL Coupe 2-Door,1.5L,15047170920,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Eagle,Vista,Base Sedan 4-Door,1.5L,153425141,1.5L 1468CC 90Cu. In. l4 GAS Naturally Aspirated
1992,Eagle,Summit,Base Wagon 3-Door,1.8L,153427751,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1993,Eagle,2000 GTX,Base Sedan 4-Door,2.0L,153429061,2.0L 1997CC 122Cu. In. l4 GAS Naturally Aspirated
1991,Eagle,Vista,Base Wagon 4-Door,1.5L,153453825,1.5L 1468CC 90Cu. In. l4 GAS Naturally Aspirated
1989,Eagle,Vista,Base Hatchback 2-Door,1.5L,153457882,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Eagle,Vista,DL Sedan 4-Door,1.5L,153457905,1.5L 1468CC 90Cu. In. l4 GAS Naturally Aspirated
1992,Eagle,Summit,Base Sedan 4-Door,1.8L,153457985,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Eagle,Summit,Base Hatchback 2-Door,1.8L,153458689,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Eagle,Vista,GT Hatchback 2-Door,1.5L,153459792,1.5L 1468CC 90Cu. In. l4 GAS Naturally Aspirated
1989,Eagle,Vista,Base Sedan 4-Door,1.5L,153470592,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1989,Eagle,Vista,Base Wagon 4-Door,1.5L,153473579,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Eagle,Vista,Base Sedan 4-Door,1.5L,153490997,1.5L 1468CC 90Cu. In. l4 GAS Naturally Aspirated
1992,Eagle,Vista,Base Hatchback 2-Door,1.5L,153511920,1.5L 1468CC 90Cu. In. l4 GAS Naturally Aspirated
1994,Eagle,Talon,ES Hatchback 2-Door,2.0L,16036076550,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1995,Eagle,Talon,ESi Hatchback 2-Door,2.0L,16037920791,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1995,Eagle,Summit,ESi Sedan 4-Door,1.8L,16038311892,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1996,Eagle,Summit,DL Wagon 3-Door,1.8L,16038311895,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1993,Eagle,Summit,ES Coupe 2-Door,1.8L,16038311902,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1994,Eagle,Summit,DL Sedan 4-Door,2.4L,16039231559,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1996,Eagle,Summit,DL Wagon 3-Door,2.4L,16039231627,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1996,Eagle,Summit,DL Coupe 2-Door,1.5L,16047164455,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1994,Eagle,Summit,DL Sedan 4-Door,1.5L,16047164699,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1997,Eagle,Talon,Base Hatchback 2-Door,2.0L,17037922532,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1993,Eagle,Summit,LX Wagon 3-Door,2.4L,17039232503,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1994,Eagle,Summit,LX Wagon 3-Door,2.4L,17039232526,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1992,Eagle,Summit,DL Wagon 3-Door,2.4L,17039232561,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1990,Eagle,Vista,Base Sedan 4-Door,1.5L,17039843504,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Eagle,Summit,Base Hatchback 2-Door,1.5L,17047164935,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1993,Eagle,Summit,DL Wagon 3-Door,1.8L,18038316811,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1995,Eagle,Summit,DL Coupe 2-Door,1.8L,18038316832,1.8L 1834CC 112Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Eagle,Summit,Base Sedan 4-Door,2.4L,18039236346,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1992,Eagle,Summit,Base Hatchback 2-Door,2.4L,18039236428,2.4L 2351CC l4 GAS SOHC Naturally Aspirated
1992,Eagle,2000 GTX,4x4 Wagon 4-Door,2.0L,18046139501,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1994,Eagle,Summit,DL Wagon 3-Door,1.5L,18047170455,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Eagle,Summit,Base Sedan 4-Door,1.5L,18047170465,1.5L 1468CC 90Cu. In. l4 GAS SOHC Naturally Aspirated
1998,Eagle,Talon,Base Hatchback 2-Door,2.0L,19037918219,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1988,Eagle,Premier,LX Sedan 4-Door,3.0L,19038309116,3.0L 2972CC 182Cu. In. V6 GAS SOHC Naturally Aspirated
