year,make,model,trim,engine,epid,ebay_engine
1985,Ferrari,412,Base Coupe 2-Door,4.9L,245866783,4.9L 4943CC V12 GAS DOHC Naturally Aspirated
1985,Ferrari,308 GTB,Quattrovalvole Coupe 2-Door,3.0L,74067998,3.0L 2927CC V8 GAS DOHC Naturally Aspirated
1985,Ferrari,308 GTS,Quattrovalvole Coupe 2-Door,3.0L,74061643,3.0L 2927CC V8 GAS DOHC Naturally Aspirated
1985,Ferrari,328 GTB,Quattrovalvole Coupe 2-Door,3.2L,23041978524,3.2L 3186CC V8 GAS DOHC Naturally Aspirated
1985,Ferrari,328 GTS,Quattrovalvole Coupe 2-Door,3.2L,23041978594,3.2L 3186CC V8 GAS DOHC Naturally Aspirated
1985,Ferrari,512 BB,Base Coupe 2-Door,4.9L,153472349,4.9L 4943CC H12 GAS DOHC Naturally Aspirated
1985,Ferrari,GTO,Base Coupe 2-Door,2.9L,153513313,2.9L 2855CC V8 GAS DOHC Turbocharged
1985,Ferrari,Mondial,Quattrovalvole Convertible 2-Door,3.0L,74067878,3.0L 2927CC V8 GAS DOHC Naturally Aspirated
1985,Ferrari,Mondial,Quattrovalvole Coupe 2-Door,3.0L,74073190,3.0L 2927CC V8 GAS DOHC Naturally Aspirated
1985,Ferrari,Mondial 8,Base Coupe 2-Door,3.0L,153502570,3.0L 2927CC V8 GAS DOHC Naturally Aspirated
1985,Ferrari,Mondial 8,Cabriolet Convertible 2-Door,3.0L,153534668,3.0L 2927CC V8 GAS DOHC Naturally Aspirated
1985,Ferrari,Testarossa,Base Coupe 2-Door,4.9L,74036803,4.9L 4943CC H12 GAS DOHC Naturally Aspirated
1986,Ferrari,412,Base Coupe 2-Door,4.9L,245751520,4.9L 4943CC V12 GAS DOHC Naturally Aspirated
1986,Ferrari,328 GTB,Quattrovalvole Coupe 2-Door,3.2L,74018036,3.2L 3186CC V8 GAS DOHC Naturally Aspirated
1986,Ferrari,328 GTS,Quattrovalvole Coupe 2-Door,3.2L,74064887,3.2L 3186CC V8 GAS DOHC Naturally Aspirated
1986,Ferrari,GTO,Base Coupe 2-Door,2.9L,153475699,2.9L 2855CC V8 GAS DOHC Turbocharged
