year,make,model,trim,engine,epid,ebay_engine
2012,Fiat,500,Pop Hatchback 2-Door,1.4L,114860572,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2012,Fiat,500,Lounge Hatchback 2-Door,1.4L,114867309,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2012,Fiat,500,Sport Hatchback 2-Door,1.4L,114869869,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2012,Fiat,500,c Pop Convertible 2-Door,1.4L,114870886,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2012,Fiat,500,c Lounge Convertible 2-Door,1.4L,114872456,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2012,Fiat,500,c Gucci Convertible 2-Door,1.4L,153426111,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2012,Fiat,500,Gucci Hatchback 2-Door,1.4L,153463749,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2012,Fiat,500,Abarth Hatchback 2-Door,1.4L,212040022,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2013,Fiat,500,Lounge Hatchback 2-Door,1.4L,153417831,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2013,Fiat,500,E Hatchback 2-Door,--,153463459,BATTERY EV (EV/BEV)
2013,Fiat,500,Sport Hatchback 2-Door,1.4L,153477716,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2013,Fiat,500,c Pop Convertible 2-Door,1.4L,153484057,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2013,Fiat,500,c Lounge Convertible 2-Door,1.4L,153521563,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2013,Fiat,500,Pop Hatchback 2-Door,1.4L,153521883,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2013,Fiat,500,Abarth Cabrio Convertible 2-Door,1.4L,212048479,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2013,Fiat,500,Turbo Hatchback 2-Door,1.4L,212049487,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2013,Fiat,500,Abarth Hatchback 2-Door,1.4L,212070790,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2014,Fiat,500,Sport Hatchback 2-Door,1.4L,178312671,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2014,Fiat,500,c Lounge Convertible 2-Door,1.4L,178312981,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2014,Fiat,500,Lounge Hatchback 2-Door,1.4L,178351324,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2014,Fiat,500,E Hatchback 2-Door,--,178366116,BATTERY EV (EV/BEV)
2014,Fiat,500,Pop Hatchback 2-Door,1.4L,178402970,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2014,Fiat,500,c Pop Convertible 2-Door,1.4L,178432708,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2014,Fiat,500,Abarth Cabrio Convertible 2-Door,1.4L,5039243809,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2014,Fiat,500,Abarth Hatchback 2-Door,1.4L,12039220418,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2014,Fiat,500,Turbo Hatchback 2-Door,1.4L,23039242867,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2014,Fiat,500L,Trekking Hatchback 4-Door,1.4L,170481229,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2014,Fiat,500L,Lounge Hatchback 4-Door,1.4L,182481297,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2014,Fiat,500L,Easy Hatchback 4-Door,1.4L,182481417,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2014,Fiat,500L,Sport Hatchback 4-Door,1.4L,182505943,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2014,Fiat,500L,Pop Hatchback 4-Door,1.4L,193876003,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500,Sport Hatchback 2-Door,1.4L,204339792,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2015,Fiat,500,c Lounge Convertible 2-Door,1.4L,204346066,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2015,Fiat,500,E Hatchback 2-Door,--,204348957,BATTERY EV (EV/BEV)
2015,Fiat,500,c Pop Convertible 2-Door,1.4L,204382653,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2015,Fiat,500,Pop Hatchback 2-Door,1.4L,204382743,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2015,Fiat,500,Lounge Hatchback 2-Door,1.4L,204383333,1.4L 1368CC 83Cu. In. l4 GAS SOHC Naturally Aspirated
2015,Fiat,500,1957 Edition Hatchback 2-Door,--,243928658,--
2015,Fiat,500,Abarth Cabrio Convertible 2-Door,1.4L,21039236324,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500,Abarth Hatchback 2-Door,1.4L,22039237087,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500,Turbo Hatchback 2-Door,1.4L,24039231635,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500L,Lounge Hatchback 4-Door,1.4L,208482575,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500L,Easy Hatchback 4-Door,1.4L,208483115,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500L,Trekking Hatchback 4-Door,1.4L,208498204,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500L,Pop Hatchback 4-Door,1.4L,208580588,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500L,Urbana Hatchback 4-Door,1.4L,222005909,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2015,Fiat,500L,Sport Hatchback 4-Door,1.4L,10048802729,1.4L 1368CC 83Cu. In. l4 GAS SOHC Turbocharged
2016,Fiat,500,E Hatchback 2-Door,--,217134021,BATTERY EV (EV/BEV)
