year,make,model,trim,engine,epid,ebay_engine
2024,Fisker,Ocean,Extreme Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Fisker,Ocean,Sport Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Fisker,Ocean,Force E Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Fisker,Ocean,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2023,Fisker,Ocean,Extreme Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2023,Fisker,Ocean,Sport Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2023,Fisker,Ocean,One Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2023,Fisker,Ocean,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2012,Fisker,Karma,EcoSport Sedan 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2012,Fisker,Karma,EcoStandard Sedan 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2012,Fisker,Karma,EcoChic Sedan 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
