year,make,model,trim,engine,epid,ebay_engine
2021,Genesis,G70,Elite Sedan 4-Door,2.0L,10037926953,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Genesis,G80,Prestige Sedan 4-Door,3.5L,10045489884,3.5L 3470CC V6 GAS DOHC Turbocharged
2022,Genesis,G70,Base Sedan 4-Door,3.3L,10047566816,3.3L 3342CC V6 GAS DOHC Turbocharged
2023,Genesis,G70,Sport Prestige Sedan 4-Door,3.3L,10053355800,3.3L 3342CC V6 GAS DOHC Turbocharged
2023,Genesis,GV70,Advanced Plus Sport Utility 4-Door,2.5L,10054603467,2.5L 2497CC l4 GAS DOHC Turbocharged
2021,Genesis,G90,Prestige Sedan 4-Door,5.0L,10064836118,5.0L 5038CC V8 GAS DOHC Naturally Aspirated
2024,Genesis,G70,Sport Prestige Sedan 4-Door,3.3L,10064836171,3.3L 3342CC V6 GAS DOHC Turbocharged
2022,Genesis,G90,Ultimate Sedan 4-Door,5.0L,10064836332,5.0L 5038CC V8 GAS DOHC Naturally Aspirated
2025,Genesis,Electrified GV70,Prestige Sport Utility 4-Door,--,10068297114,BATTERY EV (EV/BEV)
2025,Genesis,G70,Advanced Sedan 4-Door,2.5L,10069487931,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Genesis,G70,Base Sedan 4-Door,2.5L,10080360622,2.5L 2497CC l4 GAS DOHC Turbocharged
2021,Genesis,G70,Advanced Sedan 4-Door,2.0L,11042664168,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Genesis,GV80,Base Sport Utility 4-Door,2.5L,11044507583,2.5L 2497CC l4 GAS DOHC Turbocharged
2023,Genesis,GV70,Sport Advanced Sport Utility 4-Door,3.5L,11052732709,3.5L 3470CC V6 GAS DOHC Turbocharged
2023,Genesis,G80,Sport Prestige Sedan 4-Door,2.5L,11053342359,2.5L 2497CC l4 GAS DOHC Turbocharged
2023,Genesis,Electrified GV70,Advanced Sport Utility 4-Door,--,11060149353,BATTERY EV (EV/BEV)
2024,Genesis,G80,Sport Prestige Sedan 4-Door,2.5L,11063594202,2.5L 2497CC l4 GAS DOHC Turbocharged
2025,Genesis,GV80,Advanced Sport Utility 4-Door,2.5L,11068274607,2.5L 2497CC l4 GAS DOHC Turbocharged
2025,Genesis,GV70,Sport Prestige Sport Utility 4-Door,2.5L,11068274840,2.5L 2497CC l4 GAS DOHC Turbocharged
2025,Genesis,G70,Sport Sedan 4-Door,3.3L,11069465353,3.3L 3342CC V6 GAS DOHC Turbocharged
2025,Genesis,G70,Sport Advanced Sedan 4-Door,3.3L,11069466018,3.3L 3342CC V6 GAS DOHC Turbocharged
2024,Genesis,G70,Sport Prestige Sedan 4-Door,2.5L,11072765712,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Genesis,GV70,Sport Prestige Sport Utility 4-Door,3.5L,11080337216,3.5L 3470CC V6 GAS DOHC Turbocharged
2026,Genesis,G80,Sport Prestige Sedan 4-Door,2.5L,11085127046,2.5L 2497CC l4 GAS DOHC Turbocharged
2022,Genesis,GV80,Base Sport Utility 4-Door,3.5L,12044507355,3.5L 3470CC V6 GAS DOHC Turbocharged
2025,Genesis,Electrified GV70,Advanced Sport Utility 4-Door,--,12067208128,BATTERY EV (EV/BEV)
2025,Genesis,GV70,Advanced Plus Sport Utility 4-Door,2.5L,12069465578,2.5L 2497CC l4 GAS DOHC Turbocharged
