year,make,model,trim,engine,epid,ebay_engine
1993,Geo,Metro,Base Hatchback 4-Door,1.0L,83241754,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1990,Geo,Storm,Base Hatchback 2-Door,1.6L,83243784,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1989,Geo,Tracker,Base Sport Utility 2-Door,1.6L,83246784,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Geo,Metro,LSi Convertible 2-Door,1.0L,83250114,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1997,Geo,Prizm,LSi Sedan 4-Door,1.8L,83256694,1.8L 1762CC 107Cu. In. l4 GAS DOHC Naturally Aspirated
1997,Geo,Tracker,Base Sport Utility 2-Door,1.6L,83257354,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1997,Geo,Metro,LSi Hatchback 2-Door,1.3L,83266354,1.3L 1295CC 79Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Geo,Metro,LSi Convertible 2-Door,1.0L,83273714,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1997,Geo,Tracker,LSi Sport Utility 4-Door,1.6L,83275004,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1996,Geo,Metro,LSi Hatchback 2-Door,1.0L,83275392,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1996,Geo,Prizm,LSi Sedan 4-Door,1.8L,83275402,1.8L 1762CC 107Cu. In. l4 GAS DOHC Naturally Aspirated
1992,Geo,Prizm,GSi Sedan 4-Door,1.6L,83275892,1.6L 1587CC l4 GAS DOHC Naturally Aspirated
1991,Geo,Prizm,LSi Sedan 4-Door,1.6L,83279022,1.6L 1587CC l4 GAS DOHC Naturally Aspirated
1991,Geo,Storm,2+2 GSi Hatchback 2-Door,1.6L,83279505,1.6L 1588CC 98Cu. In. l4 GAS DOHC Naturally Aspirated
1989,Geo,Metro,XFi Hatchback 2-Door,1.0L,83280595,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1996,Geo,Metro,LSi Sedan 4-Door,1.3L,83283252,1.3L 1295CC 79Cu. In. l4 GAS SOHC Naturally Aspirated
1996,Geo,Tracker,LSi Sport Utility 2-Door,1.6L,83283912,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Geo,Metro,XFi Hatchback 2-Door,1.0L,83285871,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1990,Geo,Metro,LSi Convertible 2-Door,1.0L,83286995,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1991,Geo,Storm,Base Wagon 2-Door,1.6L,83287825,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1991,Geo,Metro,XFi Hatchback 2-Door,1.0L,83290372,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1993,Geo,Metro,XFi Hatchback 2-Door,1.0L,83292806,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1993,Geo,Storm,2+2 Hatchback 2-Door,1.6L,83292951,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1990,Geo,Storm,2+2 GSi Hatchback 2-Door,1.6L,83294005,1.6L 1588CC 98Cu. In. l4 GAS DOHC Naturally Aspirated
1990,Geo,Prizm,GSi Sedan 4-Door,1.6L,83295905,1.6L 1587CC l4 GAS DOHC Naturally Aspirated
1989,Geo,Metro,LSi Hatchback 4-Door,1.0L,83298542,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1996,Geo,Tracker,Base Sport Utility 2-Door,1.6L,83298649,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1992,Geo,Storm,Base Hatchback 2-Door,1.6L,83299611,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1989,Geo,Tracker,LSi Sport Utility 2-Door,1.6L,83300876,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1993,Geo,Metro,LSi Convertible 2-Door,1.0L,83301146,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1989,Geo,Metro,Base Hatchback 4-Door,1.0L,83301551,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1995,Geo,Metro,LSi Sedan 4-Door,1.3L,83303005,1.3L 1295CC 79Cu. In. l4 GAS SOHC Naturally Aspirated
1995,Geo,Metro,LSi Hatchback 2-Door,1.3L,83304495,1.3L 1295CC 79Cu. In. l4 GAS SOHC Naturally Aspirated
1996,Geo,Tracker,LSi Sport Utility 4-Door,1.6L,83304989,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1996,Geo,Tracker,Base Sport Utility 4-Door,1.6L,83306555,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1989,Geo,Prizm,Base Sedan 4-Door,1.6L,83308715,1.6L 1588CC 98Cu. In. l4 GAS DOHC Naturally Aspirated
1992,Geo,Storm,Base Wagon 2-Door,1.6L,83309843,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1993,Geo,Metro,LSi Hatchback 2-Door,1.0L,83312349,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1990,Geo,Metro,LSi Hatchback 4-Door,1.0L,83313379,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1994,Geo,Prizm,LSi Sedan 4-Door,1.8L,83315166,1.8L 1762CC 107Cu. In. l4 GAS DOHC Naturally Aspirated
1989,Geo,Metro,LSi Hatchback 2-Door,1.0L,83317171,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1993,Geo,Storm,Base Hatchback 2-Door,1.6L,83317181,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1990,Geo,Metro,LSi Hatchback 2-Door,1.0L,83319113,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1997,Geo,Tracker,LSi Sport Utility 2-Door,1.6L,83319123,1.6L 1588CC 98Cu. In. l4 GAS SOHC Naturally Aspirated
1997,Geo,Metro,LSi Sedan 4-Door,1.3L,83320699,1.3L 1295CC 79Cu. In. l4 GAS SOHC Naturally Aspirated
1989,Geo,Spectrum,Base Hatchback 2-Door,1.5L,83320709,1.5L 1471CC 92Cu. In. l4 GAS SOHC Naturally Aspirated
1993,Geo,Prizm,LSi Sedan 4-Door,1.8L,83321099,1.8L 1762CC 107Cu. In. l4 GAS DOHC Naturally Aspirated
1995,Geo,Prizm,LSi Sedan 4-Door,1.8L,83323058,1.8L 1762CC 107Cu. In. l4 GAS DOHC Naturally Aspirated
1989,Geo,Spectrum,Base Sedan 4-Door,1.5L,83323086,1.5L 1471CC 92Cu. In. l4 GAS SOHC Turbocharged
1991,Geo,Prizm,Base Sedan 4-Door,1.6L,83325163,1.6L 1587CC l4 GAS DOHC Naturally Aspirated
