year,make,model,trim,engine,epid,ebay_engine
1986,GMC,C1500,Base Standard Cab Pickup 2-Door,5.7L,73946174,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1985,GMC,C1500,High Sierra Standard Cab Pickup 2-Door,4.3L,73946184,4.3L 262Cu. In. V6 GAS OHV Naturally Aspirated
1985,GMC,C1500,Base Standard Cab Pickup 2-Door,6.2L,73946214,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1986,GMC,C1500,High Sierra Standard Cab Pickup 2-Door,4.3L,73946294,4.3L 262Cu. In. V6 GAS OHV Naturally Aspirated
1999,GMC,C1500,Sierra SL Extended Cab Pickup 3-Door,5.7L,73946494,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1986,GMC,C1500 Suburban,Base Sport Utility 4-Door,6.2L,73946504,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,GMC,C1500 Suburban,Sierra Classic Sport Utility 4-Door,6.2L,73946524,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1990,GMC,C1500,Sierra Standard Cab Pickup 2-Door,5.0L,73946554,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1998,GMC,C1500,Sierra SL Extended Cab Pickup 3-Door,5.7L,73946574,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1988,GMC,C1500,Sierra SLE Extended Cab Pickup 2-Door,6.2L,73946594,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1998,GMC,C1500,Sierra SLT Standard Cab Pickup 2-Door,5.0L,73946614,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1991,GMC,C1500,Sierra Extended Cab Pickup 2-Door,5.0L,73946654,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1993,GMC,C1500,Sierra Extended Cab Pickup 2-Door,5.7L,73946664,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
1991,GMC,C1500,Sierra Standard Cab Pickup 2-Door,6.2L,73946674,6.2L 379Cu. In. V8 DIESEL OHV Naturally Aspirated
1995,GMC,C1500,Sierra SL Standard Cab Pickup 2-Door,5.0L,73946684,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1995,GMC,C1500,Sierra SL Extended Cab Pickup 2-Door,6.5L,73946704,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
1989,GMC,C1500,Sierra SLE Extended Cab Pickup 2-Door,5.0L,73946714,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1996,GMC,C1500,Sierra SL Extended Cab Pickup 3-Door,5.0L,73946724,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1997,GMC,C1500,Sierra SL Extended Cab Pickup 3-Door,5.7L,73946734,5.7L 350Cu. In. V8 GAS OHV Naturally Aspirated
