year,make,model,trim,engine,epid,ebay_engine
1996,Honda,Accord,LX Sedan 4-Door,2.7L,73975414,2.7L 2675CC V6 GAS SOHC Naturally Aspirated
2003,Honda,Accord,LX Coupe 2-Door,3.0L,73975464,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
1999,Honda,Passport,LX Sport Utility 4-Door,3.2L,73975734,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1997,Honda,Accord,LX Sedan 4-Door,2.7L,74002011,2.7L 2675CC V6 GAS SOHC Naturally Aspirated
1998,Honda,Accord,EX Sedan 4-Door,3.0L,74002041,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
1999,Honda,Accord,EX Sedan 4-Door,3.0L,74002161,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
2003,Honda,Odyssey,LX Mini Passenger Van 5-Door,3.5L,74002321,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
2000,Honda,Odyssey,LX Mini Passenger Van 5-Door,3.5L,74002351,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
2001,Honda,Odyssey,EX Mini Passenger Van 5-Door,3.5L,74002441,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
1997,Honda,Passport,LX Sport Utility 4-Door,3.2L,74002451,3.2L 3165CC V6 GAS SOHC Naturally Aspirated
1996,Honda,Passport,EX Sport Utility 4-Door,3.2L,74002531,3.2L 3165CC V6 GAS SOHC Naturally Aspirated
1995,Honda,Passport,EX Sport Utility 4-Door,3.2L,74002561,3.2L 3165CC V6 GAS SOHC Naturally Aspirated
1995,Honda,Accord,EX Sedan 4-Door,2.7L,74004032,2.7L 2675CC V6 GAS SOHC Naturally Aspirated
2002,Honda,Passport,LX Sport Utility 4-Door,3.2L,74004412,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2000,Honda,Odyssey,EX Mini Passenger Van 5-Door,3.5L,74004442,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
2006,Honda,Odyssey,LX Mini Passenger Van 4-Door,3.5L,74004934,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
2006,Honda,Ridgeline,RTS Crew Cab Pickup 4-Door,3.5L,74006214,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
2007,Honda,Ridgeline,RTS Crew Cab Pickup 4-Door,3.5L,74006544,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
1998,Honda,Accord,EX Coupe 2-Door,3.0L,74010175,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
1999,Honda,Accord,LX Sedan 4-Door,3.0L,74010275,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
2001,Honda,Passport,LX Sport Utility 4-Door,3.2L,74010395,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1998,Honda,Passport,LX Sport Utility 4-Door,3.2L,74010425,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2000,Honda,Passport,LX Sport Utility 4-Door,3.2L,74010505,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2003,Honda,Accord,LX Sedan 4-Door,3.0L,74012186,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
1996,Honda,Passport,LX Sport Utility 4-Door,3.2L,74012506,3.2L 3165CC V6 GAS SOHC Naturally Aspirated
2002,Honda,Passport,EX Sport Utility 4-Door,3.2L,74012536,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2009,Honda,Odyssey,LX Mini Passenger Van 4-Door,3.5L,74020664,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
2009,Honda,Odyssey,EX-L Mini Passenger Van 4-Door,3.5L,74021094,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
1999,Honda,Accord,LX Coupe 2-Door,3.0L,74025289,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
1999,Honda,Accord,EX Coupe 2-Door,3.0L,74025319,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
1995,Honda,Accord,LX Sedan 4-Door,2.7L,74025329,2.7L 2675CC V6 GAS SOHC Naturally Aspirated
2003,Honda,Accord,EX Sedan 4-Door,3.0L,74025459,3.0L 2997CC V6 GAS SOHC Naturally Aspirated
2000,Honda,Passport,EX Sport Utility 4-Door,3.2L,74025669,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1999,Honda,Odyssey,EX Mini Passenger Van 5-Door,3.5L,74025709,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
2002,Honda,Odyssey,EX Mini Passenger Van 5-Door,3.5L,74025749,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
1997,Honda,Passport,EX Sport Utility 4-Door,3.2L,74025809,3.2L 3165CC V6 GAS SOHC Naturally Aspirated
