year,make,model,trim,engine,epid,ebay_engine
2010,Hummer,H3,Base Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2010,Hummer,H3,Alpha Sport Utility 4-Door,5.3L,,5.3L 5328CC 325Cu. In. V8 FLEX OHV Naturally Aspirated
2010,Hummer,H3T,Base Crew Cab Pickup 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2010,Hummer,H3T,Alpha Crew Cab Pickup 4-Door,5.3L,,5.3L 5328CC 325Cu. In. V8 FLEX OHV Naturally Aspirated
2009,Hummer,H2,Base Crew Cab Pickup 4-Door,6.2L,,6.2L 6162CC 376Cu. In. V8 FLEX OHV Naturally Aspirated
2009,Hummer,H2,Base Sport Utility 4-Door,6.2L,,6.2L 6162CC 376Cu. In. V8 FLEX OHV Naturally Aspirated
2009,Hummer,H3,X Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2009,Hummer,H3,Base Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2009,Hummer,H3,Luxury Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2009,Hummer,H3,Adventure Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2009,Hummer,H3,Alpha Sport Utility 4-Door,5.3L,,5.3L 5328CC 325Cu. In. V8 GAS OHV Naturally Aspirated
2009,Hummer,H3,Championship Series Sport Utility 4-Door,5.3L,,5.3L 5328CC 325Cu. In. V8 GAS OHV Naturally Aspirated
2009,Hummer,H3T,Base Crew Cab Pickup 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2009,Hummer,H3T,Alpha Crew Cab Pickup 4-Door,5.3L,,5.3L 5328CC 325Cu. In. V8 GAS OHV Naturally Aspirated
2008,Hummer,H2,Base Crew Cab Pickup 4-Door,6.2L,,6.2L 6162CC 376Cu. In. V8 GAS OHV Naturally Aspirated
2008,Hummer,H2,Base Sport Utility 4-Door,6.2L,,6.2L 6162CC 376Cu. In. V8 GAS OHV Naturally Aspirated
2008,Hummer,H3,Base Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2008,Hummer,H3,X Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2008,Hummer,H3,Luxury Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2008,Hummer,H3,Adventure Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2008,Hummer,H3,Alpha Sport Utility 4-Door,5.3L,,5.3L 5328CC 325Cu. In. V8 GAS OHV Naturally Aspirated
2007,Hummer,H2,Base Crew Cab Pickup 4-Door,6.0L,,6.0L 5967CC 364Cu. In. V8 GAS OHV Naturally Aspirated
2007,Hummer,H2,Base Sport Utility 4-Door,6.0L,,6.0L 5967CC 364Cu. In. V8 GAS OHV Naturally Aspirated
2007,Hummer,H3,Base Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2007,Hummer,H3,X Sport Utility 4-Door,3.7L,,3.7L 3654CC 223Cu. In. l5 GAS DOHC Naturally Aspirated
2006,Hummer,H1,Alpha Sport Utility 4-Door,6.6L,,6.6L 400Cu. In. V8 DIESEL OHV Turbocharged
2006,Hummer,H2,Base Crew Cab Pickup 4-Door,6.0L,,6.0L 5967CC 364Cu. In. V8 GAS OHV Naturally Aspirated
2006,Hummer,H2,Base Sport Utility 4-Door,6.0L,,6.0L 5967CC 364Cu. In. V8 GAS OHV Naturally Aspirated
2006,Hummer,H3,Base Sport Utility 4-Door,3.5L,,3.5L 3460CC 211Cu. In. l5 GAS DOHC Naturally Aspirated
2005,Hummer,H2,Base Sport Utility 4-Door,6.0L,,6.0L 5967CC 364Cu. In. V8 GAS OHV Naturally Aspirated
2005,Hummer,H2,Base Crew Cab Pickup 4-Door,6.0L,,6.0L 5967CC 364Cu. In. V8 GAS OHV Naturally Aspirated
2004,Hummer,H1,Base Sport Utility 4-Door,6.5L,,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2004,Hummer,H2,Base Sport Utility 4-Door,6.0L,,6.0L 5967CC 364Cu. In. V8 GAS OHV Naturally Aspirated
2003,Hummer,H1,Base Sport Utility 4-Door,6.5L,,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2003,Hummer,H1,Base Sport Utility 2-Door,6.5L,,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2003,Hummer,H2,Base Sport Utility 4-Door,6.0L,,6.0L 5967CC 364Cu. In. V8 GAS OHV Naturally Aspirated
2002,Hummer,H1,Base Sport Utility 2-Door,6.5L,,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
2002,Hummer,H1,Base Sport Utility 4-Door,6.5L,,6.5L 395Cu. In. V8 DIESEL OHV Turbocharged
