year,make,model,trim,engine,epid,ebay_engine
2026,Hyundai,Elantra,Limited Hybrid Sedan 4-Door,1.6L,,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Hyundai,Elantra,SEL Sport Hybrid Sedan 4-Door,1.6L,,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Hyundai,Elantra,Blue Hybrid Sedan 4-Door,1.6L,,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Hyundai,Elantra,N Line Sedan 4-Door,1.6L,,1.6L 1591CC 97Cu. In. l4 GAS DOHC Turbocharged
2026,Hyundai,Elantra,SEL Convenience Sedan 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Elantra,SE Sedan 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Elantra,SEL Sport Sedan 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Elantra,Limited Sedan 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Elantra N,Base Sedan 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Hyundai,Ioniq 5,Limited Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 5,SE Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 5,Preferred Long Range Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 5,Preferred Standard Range Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 5,XRT Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 5,SEL Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 5,SE Standard Range Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 5 N,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 9,Calligraphy Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 9,Essential Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 9,SE Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 9,Preferred Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 9,S Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 9,SEL Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 9,Preferred+ Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Ioniq 9,Limited Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Kona,SEL Premium Sport Utility 4-Door,1.6L,,1.6L 1591CC l4 GAS DOHC Turbocharged
2026,Hyundai,Kona,N Line Sport Utility 4-Door,1.6L,,1.6L 1591CC l4 GAS DOHC Turbocharged
2026,Hyundai,Kona,Limited Sport Utility 4-Door,1.6L,,1.6L 1591CC l4 GAS DOHC Turbocharged
2026,Hyundai,Kona,SE Sport Utility 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Kona,Preferred Sport Utility 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Kona,SEL Sport Sport Utility 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Kona,Essential Sport Utility 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Kona Electric,Ultimate Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Kona Electric,Preferred Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Kona Electric,SE Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Hyundai,Palisade,Blue SEL Premium,--,,--
2026,Hyundai,Palisade,SE Sport Utility 4-Door,3.5L,,3.5L 3470CC V6 GAS DOHC Naturally Aspirated
2026,Hyundai,Palisade,SEL Convenience Sport Utility 4-Door,3.5L,,3.5L 3470CC V6 GAS DOHC Naturally Aspirated
2026,Hyundai,Palisade,XRT Pro Sport Utility 4-Door,3.5L,,3.5L 3470CC V6 GAS DOHC Naturally Aspirated
2026,Hyundai,Palisade,Preferred Trend Sport Utility 4-Door,3.5L,,3.5L 3470CC V6 GAS DOHC Naturally Aspirated
2026,Hyundai,Palisade,Calligraphy Sport Utility 4-Door,3.5L,,3.5L 3470CC V6 GAS DOHC Naturally Aspirated
2026,Hyundai,Palisade,Ultimate Calligraphy Sport Utility 4-Door,3.5L,,3.5L 3470CC V6 GAS DOHC Naturally Aspirated
2026,Hyundai,Palisade,SEL Premium Sport Utility 4-Door,3.5L,,3.5L 3470CC V6 GAS DOHC Naturally Aspirated
2026,Hyundai,Palisade,Limited Sport Utility 4-Door,3.5L,,3.5L 3470CC V6 GAS DOHC Naturally Aspirated
2026,Hyundai,Santa Cruz,XRT Crew Cab Pickup 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Cruz,SE Crew Cab Pickup 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Santa Cruz,SEL Crew Cab Pickup 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Santa Cruz,Ultimate Crew Cab Pickup 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Cruz,SEL Activity Crew Cab Pickup 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Santa Cruz,Limited Crew Cab Pickup 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Cruz,Preferred Crew Cab Pickup 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Fe,Hybrid SE Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Santa Fe,Hybrid Preferred Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Santa Fe,Hybrid Limited Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Santa Fe,Hybrid SEL Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Santa Fe,Hybrid Calligraphy Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Santa Fe,XRT Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Fe,Limited Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Fe,SEL Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Fe,Luxury Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Fe,Calligraphy Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Fe,SE Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Santa Fe,Ultimate Calligraphy Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Sonata,Hybrid Limited Sedan 4-Door,2.0L,,2.0L 1999CC l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Hyundai,Sonata,Hybrid Blue Sedan 4-Door,2.0L,,2.0L 1999CC l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Hyundai,Sonata,Hybrid SEL Sedan 4-Door,2.0L,,2.0L 1999CC l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Hyundai,Sonata,SEL Sport Sedan 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Sonata,N Line Sedan 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Turbocharged
2026,Hyundai,Sonata,SE Sedan 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Tucson,Blue Hybrid Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Tucson,SEL Plug-In Hybrid Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Hyundai,Tucson,Limited Hybrid Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Tucson,Ultimate Hybrid Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Tucson,SEL Convenience Hybrid Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Tucson,Ultimate Plug-In Hybrid Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Hyundai,Tucson,Limited Plug-In Hybrid Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Hyundai,Tucson,N Line Hybrid Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Hyundai,Tucson,SE Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Tucson,Limited Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Tucson,SEL Convenience Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Tucson,SEL Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Tucson,XRT Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Tucson,Preferred Sport Utility 4-Door,2.5L,,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Venue,SEL Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 GAS DOHC Naturally Aspirated
2026,Hyundai,Venue,SE Sport Utility 4-Door,1.6L,,1.6L 1598CC 98Cu. In. l4 GAS DOHC Naturally Aspirated
2025,Hyundai,Elantra,Limited Hybrid Sedan 4-Door,1.6L,,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2025,Hyundai,Elantra,Blue Hybrid Sedan 4-Door,1.6L,,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2025,Hyundai,Elantra,Luxury Hybrid Sedan 4-Door,1.6L,,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2025,Hyundai,Elantra,N Line Ultimate Sedan 4-Door,1.6L,,1.6L 1591CC 97Cu. In. l4 GAS DOHC Turbocharged
2025,Hyundai,Elantra,SEL Sport Hybrid Sedan 4-Door,1.6L,,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2025,Hyundai,Elantra,N Line Sedan 4-Door,1.6L,,1.6L 1591CC 97Cu. In. l4 GAS DOHC Turbocharged
2025,Hyundai,Elantra,SEL Convenience Sedan 4-Door,2.0L,,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
