year,make,model,trim,engine,epid,ebay_engine
2020,INFINITI,Q60,Red Sport 400 Coupe 2-Door,3.0L,10036080531,3.0L 2997CC V6 GAS DOHC Turbocharged
2000,INFINITI,Q45,Anniversary Edition Sedan 4-Door,4.1L,10038316765,4.1L 4130CC V8 GAS DOHC Naturally Aspirated
2002,INFINITI,G20,Base Sedan 4-Door,2.0L,10038316768,2.0L 2000CC l4 GAS DOHC Naturally Aspirated
2021,INFINITI,QX80,Luxe Sport Utility 4-Door,5.6L,10039237387,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
2012,INFINITI,QX56,Base Sport Utility 4-Door,5.6L,10039846810,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
2012,INFINITI,FX50,Base Sport Utility 4-Door,5.0L,10039846813,5.0L 5026CC V8 GAS DOHC Naturally Aspirated
2021,INFINITI,Q60,Luxe Coupe 2-Door,3.0L,10043418792,3.0L 2997CC V6 GAS DOHC Turbocharged
2021,INFINITI,Q60,Red Sport I-Line Coupe 2-Door,3.0L,10043418858,3.0L 2997CC V6 GAS DOHC Turbocharged
2021,INFINITI,Q50,Red Sport I-Line ProACTIVE Sedan 4-Door,3.0L,10043981250,3.0L 2997CC V6 GAS DOHC Turbocharged
2016,INFINITI,Q50,Base Sedan 4-Door,2.0L,10045489721,2.0L 1991CC l4 GAS DOHC Turbocharged
1997,INFINITI,QX4,Base Sport Utility 4-Door,3.3L,10045489915,3.3L 3275CC V6 GAS SOHC Naturally Aspirated
2022,INFINITI,QX55,Sensory Sport Utility 4-Door,2.0L,10047172226,2.0L 1997CC l4 GAS DOHC Turbocharged
2022,INFINITI,QX55,Essential Sport Utility 4-Door,2.0L,10047172668,2.0L 1997CC l4 GAS DOHC Turbocharged
2021,INFINITI,Q50,Luxe Sedan 4-Door,3.0L,10070734271,3.0L 2997CC V6 GAS DOHC Turbocharged
2025,INFINITI,QX50,Sensory Sport Utility 4-Door,2.0L,10074187848,2.0L 1997CC l4 GAS DOHC Turbocharged
2026,INFINITI,QX80,Sensory Sport Utility 4-Door,3.5L,10086103835,3.5L 3492CC V6 GAS DOHC Turbocharged
2009,INFINITI,QX56,Base Sport Utility 4-Door,5.6L,109868054,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
1994,INFINITI,J30,Base Sedan 4-Door,3.0L,109875804,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1993,INFINITI,J30,Base Sedan 4-Door,3.0L,109893791,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
2004,INFINITI,QX56,Base Sport Utility 4-Door,5.6L,109897561,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
1995,INFINITI,J30,T Sedan 4-Door,3.0L,109901491,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1993,INFINITI,J30,T Sedan 4-Door,3.0L,109907239,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
2003,INFINITI,QX4,Base Sport Utility 4-Door,3.5L,109908795,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
2010,INFINITI,QX56,Base Sport Utility 4-Door,5.6L,109910519,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
1996,INFINITI,J30,T Sedan 4-Door,3.0L,109911132,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1996,INFINITI,I30,T Sedan 4-Door,3.0L,109911975,3.0L 2988CC 182Cu. In. V6 GAS DOHC Naturally Aspirated
1992,INFINITI,M30,Base Coupe 2-Door,3.0L,109917145,3.0L 2960CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1999,INFINITI,I30,T Sedan 4-Door,3.0L,109920069,3.0L 2988CC 182Cu. In. V6 GAS DOHC Naturally Aspirated
1998,INFINITI,I30,Base Sedan 4-Door,3.0L,109921795,3.0L 2988CC 182Cu. In. V6 GAS DOHC Naturally Aspirated
2005,INFINITI,QX56,Base Sport Utility 4-Door,5.6L,109929226,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
2007,INFINITI,QX56,Base Sport Utility 4-Door,5.6L,109929246,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
2004,INFINITI,FX35,Base Sport Utility 4-Door,3.5L,109933546,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
1991,INFINITI,M30,Base Coupe 2-Door,3.0L,109933616,3.0L 2960CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1990,INFINITI,M30,Base Coupe 2-Door,3.0L,109935226,3.0L 2960CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1996,INFINITI,I30,Base Sedan 4-Door,3.0L,109936896,3.0L 2988CC 182Cu. In. V6 GAS DOHC Naturally Aspirated
1997,INFINITI,I30,Base Sedan 4-Door,3.0L,109949550,3.0L 2988CC 182Cu. In. V6 GAS DOHC Naturally Aspirated
1997,INFINITI,I30,T Sedan 4-Door,3.0L,109949983,3.0L 2988CC 182Cu. In. V6 GAS DOHC Naturally Aspirated
1995,INFINITI,J30,Base Sedan 4-Door,3.0L,109951463,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
2007,INFINITI,FX35,Base Sport Utility 4-Door,3.5L,109951663,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
2009,INFINITI,FX35,Base Sport Utility 4-Door,3.5L,109951733,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
1994,INFINITI,J30,T Sedan 4-Door,3.0L,109952040,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1997,INFINITI,J30,Base Sedan 4-Door,3.0L,109952683,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
2008,INFINITI,EX35,Journey Sport Utility 4-Door,3.5L,109956293,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
2006,INFINITI,FX35,Base Sport Utility 4-Door,3.5L,109959800,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
1997,INFINITI,J30,T Sedan 4-Door,3.0L,109960957,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
2008,INFINITI,EX35,Base Sport Utility 4-Door,3.5L,109961527,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
1998,INFINITI,I30,T Sedan 4-Door,3.0L,109965508,3.0L 2988CC 182Cu. In. V6 GAS DOHC Naturally Aspirated
2001,INFINITI,QX4,Base Sport Utility 4-Door,3.5L,109965517,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
2006,INFINITI,QX56,Base Sport Utility 4-Door,5.6L,109965547,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
2002,INFINITI,QX4,Base Sport Utility 4-Door,3.5L,109966947,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
1999,INFINITI,I30,Base Sedan 4-Door,3.0L,109967107,3.0L 2988CC 182Cu. In. V6 GAS DOHC Naturally Aspirated
1996,INFINITI,J30,Base Sedan 4-Door,3.0L,109969607,3.0L 2960CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1992,INFINITI,M30,Base Convertible 2-Door,3.0L,109970388,3.0L 2960CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1991,INFINITI,M30,Base Convertible 2-Door,3.0L,109971718,3.0L 2960CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2021,INFINITI,QX50,Luxe Sport Utility 4-Door,2.0L,11039229353,2.0L 1997CC l4 GAS DOHC Turbocharged
2010,INFINITI,FX50,Base Sport Utility 4-Door,5.0L,11039836366,5.0L 5026CC V8 GAS DOHC Naturally Aspirated
2013,INFINITI,M37,Base Sedan 4-Door,3.7L,11045477224,3.7L 3696CC V6 GAS DOHC Naturally Aspirated
