year,make,model,trim,engine,epid,ebay_engine
1999,Isuzu,Rodeo,LSE Sport Utility 4-Door,3.2L,10043982118,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2000,Isuzu,Rodeo,LS Sport Utility 4-Door,3.2L,10043983555,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2007,Isuzu,Ascender,S Sport Utility 4-Door,4.2L,109869194,4.2L 256Cu. In. l6 GAS DOHC Naturally Aspirated
2003,Isuzu,Rodeo,S V6 Sport Utility 4-Door,3.2L,109872504,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1990,Isuzu,Pickup,LS Standard Cab Pickup 2-Door,2.6L,109879224,2.6L 2559CC l4 GAS SOHC Naturally Aspirated
2002,Isuzu,Rodeo,S V6 Sport Utility 4-Door,3.2L,109880104,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1992,Isuzu,Pickup,S Standard Cab Pickup 2-Door,2.3L,109895991,2.3L 2254CC l4 GAS SOHC Naturally Aspirated
1992,Isuzu,Pickup,S Standard Cab Pickup 2-Door,3.1L,109900961,3.1L 3137CC V6 GAS OHV Naturally Aspirated
1995,Isuzu,Pickup,S Standard Cab Pickup 2-Door,2.3L,109901911,2.3L 2254CC l4 GAS SOHC Naturally Aspirated
2001,Isuzu,Trooper,S Sport Utility 4-Door,3.5L,109903701,3.5L 3475CC V6 GAS DOHC Naturally Aspirated
1992,Isuzu,Pickup,S Extended Cab Pickup 2-Door,3.1L,109905699,3.1L 3137CC V6 GAS OHV Naturally Aspirated
2001,Isuzu,Rodeo,LS Sport Utility 4-Door,3.2L,109905771,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
2003,Isuzu,Rodeo Sport,S V6 Sport Utility 2-Door,3.2L,109905955,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1987,Isuzu,Pickup,LS Standard Cab Pickup 2-Door,2.3L,109906861,2.3L 2254CC l4 GAS SOHC Naturally Aspirated
2002,Isuzu,Trooper,Limited Sport Utility 4-Door,3.5L,109907519,3.5L 3475CC V6 GAS DOHC Naturally Aspirated
2006,Isuzu,Ascender,LS Sport Utility 4-Door,4.2L,109908035,4.2L 256Cu. In. l6 GAS DOHC Naturally Aspirated
2002,Isuzu,Rodeo,LS Sport Utility 4-Door,3.2L,109908115,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1992,Isuzu,Pickup,S Standard Cab Pickup 2-Door,2.6L,109909079,2.6L 2559CC l4 GAS SOHC Naturally Aspirated
1988,Isuzu,Pickup,LS Extended Cab Pickup 2-Door,2.6L,109909492,2.6L 2559CC l4 GAS SOHC Naturally Aspirated
2004,Isuzu,Rodeo,S Sport Utility 4-Door,3.2L,109910112,3.2L 3165CC V6 GAS DOHC Naturally Aspirated
1991,Isuzu,Pickup,S Standard Cab Pickup 2-Door,2.3L,109910795,2.3L 2254CC l4 GAS SOHC Naturally Aspirated
2004,Isuzu,Axiom,XS Sport Utility 4-Door,3.5L,109911695,3.5L 3494CC V6 GAS DOHC Naturally Aspirated
1990,Isuzu,Pickup,XS Standard Cab Pickup 2-Door,2.6L,109915439,2.6L 2559CC l4 GAS SOHC Naturally Aspirated
1999,Isuzu,Hombre,XS Standard Cab Pickup 2-Door,4.3L,109915969,4.3L 4294CC V6 GAS OHV Naturally Aspirated
