year,make,model,trim,engine,epid,ebay_engine
2000,Jaguar,XJ8,L Sedan 4-Door,4.0L,73921434,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1988,Jaguar,XJS,Base Coupe 2-Door,5.3L,73921544,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
1990,Jaguar,XJS,Classic Collection Coupe 2-Door,5.3L,73921594,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
2000,Jaguar,XKR,Base Coupe 2-Door,4.0L,73921754,4.0L 3996CC 244Cu. In. V8 GAS DOHC Supercharged
2000,Jaguar,XK8,Base Convertible 2-Door,4.0L,73921804,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1993,Jaguar,XJRS,Base Convertible 2-Door,6.0L,73921844,6.0L 5994CC V12 GAS SOHC Naturally Aspirated
1999,Jaguar,XK8,Base Convertible 2-Door,4.0L,73921884,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1988,Jaguar,XJS,Base Convertible 2-Door,5.3L,73921954,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
1999,Jaguar,XJ8,Base Sedan 4-Door,4.0L,73921964,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1999,Jaguar,XJR,Base Sedan 4-Door,4.0L,73921974,4.0L 3996CC 244Cu. In. V8 GAS DOHC Supercharged
2000,Jaguar,XK8,Base Coupe 2-Door,4.0L,73922194,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
2000,Jaguar,XKR,Base Convertible 2-Door,4.0L,73948251,4.0L 3996CC 244Cu. In. V8 GAS DOHC Supercharged
2002,Jaguar,XJ8,Base Sedan 4-Door,4.0L,73948311,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1994,Jaguar,XJS,2+2 Coupe 2-Door,6.0L,73948471,6.0L 5994CC V12 GAS SOHC Naturally Aspirated
2001,Jaguar,Vanden Plas,Base Sedan 4-Door,4.0L,73948601,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
2003,Jaguar,S-Type,Base Sedan 4-Door,4.2L,73950382,4.2L 4196CC 256Cu. In. V8 GAS DOHC Naturally Aspirated
2001,Jaguar,XK8,Base Convertible 2-Door,4.0L,73950532,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1992,Jaguar,XJS,Base Convertible 2-Door,5.3L,73950552,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
2002,Jaguar,Vanden Plas,Base Sedan 4-Door,4.0L,73950602,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1995,Jaguar,XJS,Base Convertible 2-Door,6.0L,73950622,6.0L 5994CC V12 GAS SOHC Naturally Aspirated
2001,Jaguar,XKR,Base Coupe 2-Door,4.0L,73950652,4.0L 3996CC 244Cu. In. V8 GAS DOHC Supercharged
1989,Jaguar,XJS,Base Convertible 2-Door,5.3L,73950682,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
2003,Jaguar,XKR,Base Coupe 2-Door,4.2L,73951002,4.2L 4196CC 256Cu. In. V8 GAS DOHC Supercharged
2002,Jaguar,XK8,Base Coupe 2-Door,4.0L,73951042,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1999,Jaguar,Vanden Plas,Base Sedan 4-Door,4.0L,73951052,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1991,Jaguar,XJS,Classic Collection Convertible 2-Door,5.3L,73951162,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
1989,Jaguar,XJS,Collection Rouge Coupe 2-Door,5.3L,73956345,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
1987,Jaguar,XJS,C Convertible 2-Door,5.3L,73956355,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
2001,Jaguar,XJ8,Base Sedan 4-Door,4.0L,73956545,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1990,Jaguar,XJS,Base Convertible 2-Door,5.3L,73956575,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
2001,Jaguar,S-Type,Base Sedan 4-Door,4.0L,73958366,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
2001,Jaguar,S-Type,Base Sedan 4-Door,3.0L,73958596,3.0L 2968CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1990,Jaguar,XJS,Base Coupe 2-Door,5.3L,73958736,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
2001,Jaguar,XKR,Base Convertible 2-Door,4.0L,73958766,4.0L 3996CC 244Cu. In. V8 GAS DOHC Supercharged
1994,Jaguar,XJ12,Base Sedan 4-Door,6.0L,73958796,6.0L 5994CC V12 GAS SOHC Naturally Aspirated
1996,Jaguar,XJ12,Base Sedan 4-Door,6.0L,73958806,6.0L 5994CC V12 GAS SOHC Naturally Aspirated
1992,Jaguar,XJS,Base Coupe 2-Door,5.3L,73958836,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
2002,Jaguar,XK8,Base Convertible 2-Door,4.0L,73958856,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1988,Jaguar,XJS,C Convertible 2-Door,5.3L,73958866,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
1997,Jaguar,XK8,Base Coupe 2-Door,4.0L,73958906,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1987,Jaguar,XJS,Base Convertible 2-Door,5.3L,73959016,5.3L 5343CC V12 GAS SOHC Naturally Aspirated
2000,Jaguar,Vanden Plas,Base Sedan 4-Door,4.0L,73971509,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1995,Jaguar,XJ12,Base Sedan 4-Door,6.0L,73971719,6.0L 5994CC V12 GAS SOHC Naturally Aspirated
2002,Jaguar,XKR,Base Convertible 2-Door,4.0L,73971909,4.0L 3996CC 244Cu. In. V8 GAS DOHC Supercharged
2000,Jaguar,XJ8,Base Sedan 4-Door,4.0L,73972089,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1995,Jaguar,XJS,2+2 Coupe 2-Door,6.0L,73976963,6.0L 5994CC V12 GAS SOHC Naturally Aspirated
1998,Jaguar,XJR,Base Sedan 4-Door,4.0L,73977313,4.0L 3996CC 244Cu. In. V8 GAS DOHC Supercharged
2002,Jaguar,S-Type,Base Sedan 4-Door,4.0L,73977433,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
1993,Jaguar,XJRS,Base Coupe 2-Door,6.0L,73983788,6.0L 5994CC V12 GAS SOHC Naturally Aspirated
2000,Jaguar,S-Type,Base Sedan 4-Door,4.0L,73983798,4.0L 3996CC 244Cu. In. V8 GAS DOHC Naturally Aspirated
2002,Jaguar,S-Type,Base Sedan 4-Door,3.0L,73983878,3.0L 2968CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
