year,make,model,trim,engine,epid,ebay_engine
2019,Kia,Stinger,Premium Hatchback 4-Door,2.0L,10036080415,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2020,Kia,Soul EV,Premium Hatchback 4-Door,--,10036080439,BATTERY EV (EV/BEV)
2021,Kia,Seltos,LX Sport Utility 4-Door,2.0L,10037211889,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2021,Kia,Telluride,LX Sport Utility 4-Door,3.8L,10037926825,3.8L 3778CC 231Cu. In. V6 GAS DOHC Naturally Aspirated
2021,Kia,Forte5,GT Limited Hatchback 4-Door,1.6L,10039846667,1.6L 1591CC 97Cu. In. l4 GAS DOHC Turbocharged
2010,Kia,Magentis,LX Sedan 4-Door,2.4L,10039846746,2.4L 2359CC l4 GAS DOHC Naturally Aspirated
2021,Kia,Forte,GT Sedan 4-Door,1.6L,10039846843,1.6L 1591CC 97Cu. In. l4 GAS DOHC Turbocharged
2013,Kia,Rio,EX Sedan 4-Door,1.6L,10039846850,1.6L 1591CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
2021,Kia,Stinger,GT Hatchback 4-Door,3.3L,10041089112,3.3L 3342CC V6 GAS DOHC Turbocharged
2021,Kia,Niro,LXS Sport Utility 4-Door,1.6L,10043982604,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2022,Kia,Seltos,LX Sport Utility 4-Door,2.0L,10045489869,2.0L 1999CC l4 GAS DOHC Naturally Aspirated
2022,Kia,Stinger,GT Elite Hatchback 4-Door,3.3L,10047172667,3.3L 3342CC V6 GAS DOHC Turbocharged
2022,Kia,Forte5,GT Limited Hatchback 4-Door,1.6L,10047174777,1.6L 1591CC 97Cu. In. l4 GAS DOHC Turbocharged
2022,Kia,K5,EX Sedan 4-Door,1.6L,10048306617,1.6L 1598CC 98Cu. In. l4 GAS DOHC Turbocharged
2021,Kia,Rio,LX+ Hatchback 4-Door,1.6L,10051274255,1.6L 1598CC 98Cu. In. l4 GAS DOHC Naturally Aspirated
2022,Kia,EV6,Long Range Sport Utility 4-Door,--,10053891518,BATTERY EV (EV/BEV)
2022,Kia,Forte,GT Limited Sedan 4-Door,1.6L,10055214878,1.6L 1591CC 97Cu. In. l4 GAS DOHC Turbocharged
2023,Kia,Forte5,GT Limited Hatchback 4-Door,1.6L,10055725433,1.6L 1591CC 97Cu. In. l4 GAS DOHC Turbocharged
2023,Kia,Niro EV,Wind Sport Utility 4-Door,--,10058112397,BATTERY EV (EV/BEV)
2024,Kia,Sportage,SX Sport Utility 4-Door,2.5L,10059070176,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2024,Kia,Niro EV,Wind Sport Utility 4-Door,--,10059070196,BATTERY EV (EV/BEV)
2024,Kia,Telluride,SX Prestige X-Pro Sport Utility 4-Door,3.8L,10059371431,3.8L 3778CC 231Cu. In. V6 GAS DOHC Naturally Aspirated
2024,Kia,Niro,EX Premium Sport Utility 4-Door,1.6L,10059371550,1.6L 1580CC 96Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2025,Kia,Sportage,LX Sport Utility 4-Door,2.5L,10066031818,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2025,Kia,Sorento,Hybrid EX Sport Utility 4-Door,1.6L,10068296012,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2025,Kia,K5,GT-Line Sedan 4-Door,2.5L,10068297164,2.5L 2497CC l4 GAS DOHC Naturally Aspirated
2024,Kia,K5,LXS Sedan 4-Door,1.6L,10068340705,1.6L 1598CC 98Cu. In. l4 GAS DOHC Turbocharged
2026,Kia,EV9,GT-Line Sport Utility 4-Door,--,10075765615,BATTERY EV (EV/BEV)
2026,Kia,K4,EX Sedan 4-Door,2.0L,10075765647,2.0L 1999CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2026,Kia,Sportage,Hybrid EX Sport Utility 4-Door,1.6L,10078737775,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2020,Kia,Optima,EX Sedan 4-Door,2.4L,10080360690,2.4L 2359CC l4 GAS DOHC Naturally Aspirated
2026,Kia,Sportage,Hybrid EX Premium Sport Utility 4-Door,1.6L,10080791739,1.6L 1598CC 98Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2002,Kia,Sportage,Base Sport Utility 4-Door,2.0L,109869874,2.0L 1998CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2002,Kia,Sportage,Base Convertible 2-Door,2.0L,109870504,2.0L 1998CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2006,Kia,Sportage,LX Sport Utility 4-Door,2.0L,109873014,2.0L 1975CC l4 GAS DOHC Naturally Aspirated
2009,Kia,Borrego,EX Sport Utility 4-Door,3.8L,109873114,3.8L 3778CC 231Cu. In. V6 GAS DOHC Naturally Aspirated
2005,Kia,Sorento,EX Sport Utility 4-Door,3.5L,109873254,3.5L 3497CC V6 GAS DOHC Naturally Aspirated
2000,Kia,Sportage,Base Sport Utility 4-Door,2.0L,109875204,2.0L 1998CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1995,Kia,Sportage,EX Sport Utility 4-Door,2.0L,109875944,2.0L 1998CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
2005,Kia,Sportage,LX Sport Utility 4-Door,2.0L,109878894,2.0L 1975CC l4 GAS DOHC Naturally Aspirated
1999,Kia,Sportage,EX Sport Utility 4-Door,2.0L,109880284,2.0L 1998CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2001,Kia,Sportage,Base Convertible 2-Door,2.0L,109880534,2.0L 1998CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2010,Kia,Forte,LX Sedan 4-Door,2.0L,109893661,2.0L 1998CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
