year,make,model,trim,engine,epid,ebay_engine
1985,Lamborghini,Countach,Base Coupe 2-Door,4.8L,74036122,4.8L 4754CC 290Cu. In. V12 GAS DOHC Naturally Aspirated
1985,Lamborghini,Countach,5000 quattrovalvole Coupe 2-Door,5.2L,74042035,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1985,Lamborghini,Jalpa,Base Coupe 2-Door,3.5L,73990720,3.5L 3485CC V8 GAS DOHC Naturally Aspirated
1986,Lamborghini,Countach,5000 quattrovalvole Coupe 2-Door,5.2L,74091037,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1986,Lamborghini,Jalpa,Base Coupe 2-Door,3.5L,73923434,3.5L 3485CC V8 GAS DOHC Naturally Aspirated
1986,Lamborghini,LM002,Base Sport Utility 4-Door,5.2L,74076668,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1987,Lamborghini,Countach,5000 quattrovalvole Coupe 2-Door,5.2L,74036012,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1987,Lamborghini,Jalpa,Base Coupe 2-Door,3.5L,73960366,3.5L 3485CC V8 GAS DOHC Naturally Aspirated
1987,Lamborghini,LM002,Base Sport Utility 4-Door,5.2L,74064889,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1988,Lamborghini,Countach,5000 quattrovalvole Coupe 2-Door,5.2L,74062773,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1988,Lamborghini,Jalpa,Base Coupe 2-Door,3.5L,73952302,3.5L 3485CC V8 GAS DOHC Naturally Aspirated
1988,Lamborghini,LM002,Base Sport Utility 4-Door,5.2L,74074910,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1989,Lamborghini,Countach,25th Anniversary Coupe 2-Door,5.2L,73979013,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1989,Lamborghini,Countach,5000 quattrovalvole Coupe 2-Door,5.2L,74090957,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1989,Lamborghini,LM002,Base Sport Utility 4-Door,5.2L,74007374,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1990,Lamborghini,Diablo,Base Coupe 2-Door,5.7L,73973769,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1990,Lamborghini,LM002,Base Sport Utility 4-Door,5.2L,74063093,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1991,Lamborghini,Diablo,Base Coupe 2-Door,5.7L,73950081,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1991,Lamborghini,LM American,Base Sport Utility 4-Door,5.2L,74098367,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1992,Lamborghini,Diablo,Base Coupe 2-Door,5.7L,74007287,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1992,Lamborghini,LM American,Base Sport Utility 4-Door,5.2L,74049835,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1993,Lamborghini,Diablo,Base Coupe 2-Door,5.7L,73958065,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1993,Lamborghini,LM American,Base Sport Utility 4-Door,5.2L,74064589,5.2L 5163CC V12 GAS DOHC Naturally Aspirated
1994,Lamborghini,Diablo,VT Coupe 2-Door,5.7L,73952492,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1994,Lamborghini,Diablo,SE30 Coupe 2-Door,5.7L,73973519,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1995,Lamborghini,Diablo,VT Coupe 2-Door,5.7L,73990780,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1996,Lamborghini,Diablo,VT Convertible 2-Door,5.7L,73952832,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1996,Lamborghini,Diablo,VT Coupe 2-Door,5.7L,73978833,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1997,Lamborghini,Diablo,VT Convertible 2-Door,5.7L,73958125,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1997,Lamborghini,Diablo,VT Coupe 2-Door,5.7L,73973329,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1998,Lamborghini,Diablo,VT Coupe 2-Door,5.7L,73973739,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1998,Lamborghini,Diablo,VT Convertible 2-Door,5.7L,73985878,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1998,Lamborghini,Diablo,SV Coupe 2-Door,5.7L,74062993,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1999,Lamborghini,Diablo,VT Convertible 2-Door,5.7L,73952672,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1999,Lamborghini,Diablo,SV Coupe 2-Door,5.7L,73973309,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
1999,Lamborghini,Diablo,VT Coupe 2-Door,5.7L,73978743,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
2000,Lamborghini,Diablo,VT Convertible 2-Door,5.7L,73950251,5.7L 5703CC V12 GAS DOHC Naturally Aspirated
2000,Lamborghini,Diablo,VT 6.0 Coupe 2-Door,6.0L,74007047,6.0L 5992CC V12 GAS DOHC Naturally Aspirated
2001,Lamborghini,Diablo,VT 6.0 SE Coupe 2-Door,6.0L,73952462,6.0L 5992CC V12 GAS DOHC Naturally Aspirated
2001,Lamborghini,Diablo,VT 6.0 Coupe 2-Door,6.0L,73958165,6.0L 5992CC V12 GAS DOHC Naturally Aspirated
2001,Lamborghini,Murcielago,Base Coupe 2-Door,6.2L,74014704,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2002,Lamborghini,Murcielago,Base Coupe 2-Door,6.2L,74051526,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2003,Lamborghini,Murcielago,Base Coupe 2-Door,6.2L,73949991,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2004,Lamborghini,Gallardo,Base Coupe 2-Door,5.0L,74068880,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2004,Lamborghini,Murcielago,Base Coupe 2-Door,6.2L,74001714,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2005,Lamborghini,Gallardo,Base Coupe 2-Door,5.0L,74054269,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2005,Lamborghini,Murcielago,Base Coupe 2-Door,6.2L,74054279,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2005,Lamborghini,Murcielago,Base Convertible 2-Door,6.2L,153474259,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2006,Lamborghini,Gallardo,Spyder Convertible 2-Door,5.0L,74005874,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2006,Lamborghini,Gallardo,SE Coupe 2-Door,5.0L,74040375,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2006,Lamborghini,Gallardo,Base Coupe 2-Door,5.0L,74040455,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2006,Lamborghini,Murcielago,Base Coupe 2-Door,6.2L,74005664,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2006,Lamborghini,Murcielago,LP640 Coupe 2-Door,6.5L,74043442,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2006,Lamborghini,Murcielago,Base Convertible 2-Door,6.2L,74067808,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2007,Lamborghini,Gallardo,Spyder Convertible 2-Door,5.0L,74042525,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2007,Lamborghini,Gallardo,Base Coupe 2-Door,5.0L,74069708,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2007,Lamborghini,Gallardo,Superleggera Coupe 2-Door,5.0L,74078328,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2007,Lamborghini,Murcielago,LP640 Coupe 2-Door,6.5L,74007724,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2007,Lamborghini,Murcielago,Base Convertible 2-Door,6.2L,74075450,6.2L 6192CC 378Cu. In. V12 GAS DOHC Naturally Aspirated
2008,Lamborghini,Gallardo,Superleggera Coupe 2-Door,5.0L,74053575,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2008,Lamborghini,Gallardo,Spyder Convertible 2-Door,5.0L,74055876,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2008,Lamborghini,Gallardo,Base Coupe 2-Door,5.0L,74086530,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2008,Lamborghini,Murcielago,LP640 Coupe 2-Door,6.5L,74053715,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2008,Lamborghini,Murcielago,LP640 Convertible 2-Door,6.5L,74074293,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2008,Lamborghini,Murcielago,Reventon Coupe 2-Door,6.5L,153504707,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2008,Lamborghini,Murcielago,Reventon Convertible 2-Door,6.5L,153508810,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2009,Lamborghini,Gallardo,Spyder Convertible 2-Door,5.0L,83273024,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2009,Lamborghini,Gallardo,Base Coupe 2-Door,5.0L,83326399,5.0L 4961CC V10 GAS DOHC Naturally Aspirated
2009,Lamborghini,Gallardo,LP560-4 Coupe 2-Door,5.2L,4039837854,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2009,Lamborghini,Murcielago,LP640 Convertible 2-Door,6.5L,74058186,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2009,Lamborghini,Murcielago,LP640 Coupe 2-Door,6.5L,74076953,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2010,Lamborghini,Gallardo,LP560-4 Spyder Convertible 2-Door,5.2L,83527802,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2010,Lamborghini,Gallardo,LP560-4 Coupe 2-Door,5.2L,83538441,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2010,Lamborghini,Gallardo,LP550-2 Valentino Balboni Coupe 2-Door,5.2L,83565083,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2010,Lamborghini,Murcielago,LP640 Coupe 2-Door,6.5L,83496734,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2010,Lamborghini,Murcielago,LP640 Convertible 2-Door,6.5L,83555169,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2010,Lamborghini,Murcielago,LP670-4 SV Coupe 2-Door,6.5L,83580888,6.5L 6496CC V12 GAS DOHC Naturally Aspirated
2011,Lamborghini,Gallardo,LP570-4 Superleggera Coupe 2-Door,5.2L,109921815,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2011,Lamborghini,Gallardo,LP550-2 Coupe 2-Door,5.2L,112465494,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2011,Lamborghini,Gallardo,LP560-4 Coupe 2-Door,5.2L,112475941,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2011,Lamborghini,Gallardo,LP560-4 Spyder Convertible 2-Door,5.2L,112559713,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2011,Lamborghini,Gallardo,LP570-4 Performante Spyder Convertible 2-Door,5.2L,153482876,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2012,Lamborghini,Aventador,LP700-4 Coupe 2-Door,6.5L,114874426,6.5L 6498CC V12 GAS DOHC Naturally Aspirated
2012,Lamborghini,Gallardo,LP570-4 Superleggera Coupe 2-Door,5.2L,114827741,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2012,Lamborghini,Gallardo,LP570-4 Performante Spyder Convertible 2-Door,5.2L,114828741,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2012,Lamborghini,Gallardo,LP550-2 Coupe 2-Door,5.2L,114863365,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2012,Lamborghini,Gallardo,LP550-2 Spyder Convertible 2-Door,5.2L,114869989,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2012,Lamborghini,Gallardo,LP560-4 Spyder Convertible 2-Door,5.2L,114870769,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2012,Lamborghini,Gallardo,LP560-4 Coupe 2-Door,5.2L,114936748,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2013,Lamborghini,Aventador,LP700-4 Roadster Convertible 2-Door,6.5L,153435141,6.5L 6498CC V12 GAS DOHC Naturally Aspirated
2013,Lamborghini,Aventador,LP700-4 Coupe 2-Door,6.5L,153468945,6.5L 6498CC V12 GAS DOHC Naturally Aspirated
2013,Lamborghini,Gallardo,LP570-4 Superleggera Coupe 2-Door,5.2L,153418731,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2013,Lamborghini,Gallardo,LP570-4 Performante Spyder Convertible 2-Door,5.2L,153459915,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2013,Lamborghini,Gallardo,LP550-2 Spyder Convertible 2-Door,5.2L,153460962,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2013,Lamborghini,Gallardo,LP550-2 Coupe 2-Door,5.2L,153465992,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2013,Lamborghini,Gallardo,LP560-4 Coupe 2-Door,5.2L,153474176,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2013,Lamborghini,Gallardo,LP560-4 Spyder Convertible 2-Door,5.2L,153523538,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2013,Lamborghini,Gallardo,LP570-4 Super Trofeo Stradale Coupe 2-Door,5.2L,153534168,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2014,Lamborghini,Aventador,LP700-4 Coupe 2-Door,6.5L,178379247,6.5L 6498CC V12 GAS DOHC Naturally Aspirated
2014,Lamborghini,Aventador,LP700-4 Roadster Convertible 2-Door,6.5L,178431568,6.5L 6498CC V12 GAS DOHC Naturally Aspirated
2014,Lamborghini,Gallardo,LP570-4 Superleggera Coupe 2-Door,5.2L,178312451,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2014,Lamborghini,Gallardo,LP550-2 Coupe 2-Door,5.2L,178351644,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
2014,Lamborghini,Gallardo,LP550-2 Spyder Convertible 2-Door,5.2L,178352364,5.2L 5204CC V10 GAS DOHC Naturally Aspirated
