year,make,model,trim,engine,epid,ebay_engine
1999,Land Rover,Range Rover,HSE Sport Utility 4-Door,4.6L,73921064,4.6L 4554CC 278Cu. In. V8 GAS OHV Naturally Aspirated
1989,Land Rover,Range Rover,Base Sport Utility 4-Door,3.9L,73921114,3.9L 3947CC V8 GAS OHV Naturally Aspirated
2000,Land Rover,Range Rover,HSE Sport Utility 4-Door,4.6L,73947551,4.6L 4554CC 278Cu. In. V8 GAS OHV Naturally Aspirated
2001,Land Rover,Discovery,Series II LE Sport Utility 4-Door,4.0L,73947771,4.0L 3950CC V8 GAS OHV Naturally Aspirated
1994,Land Rover,Defender 90,Base Sport Utility 2-Door,3.9L,73947831,3.9L 3950CC V8 GAS OHV Naturally Aspirated
2003,Land Rover,Discovery,S Sport Utility 4-Door,4.6L,73947841,4.6L 4554CC 278Cu. In. V8 GAS OHV Naturally Aspirated
1997,Land Rover,Defender 90,Base Sport Utility 2-Door,4.0L,73949822,4.0L 3950CC V8 GAS OHV Naturally Aspirated
1991,Land Rover,Range Rover,County SE Sport Utility 4-Door,3.9L,73949912,3.9L 3947CC V8 GAS OHV Naturally Aspirated
1990,Land Rover,Range Rover,County Sport Utility 4-Door,3.9L,73949982,3.9L 3947CC V8 GAS OHV Naturally Aspirated
1993,Land Rover,Range Rover,County Sport Utility 4-Door,3.9L,73950052,3.9L 3950CC V8 GAS OHV Naturally Aspirated
1997,Land Rover,Range Rover,SE Sport Utility 4-Door,4.0L,73950262,4.0L 3950CC V8 GAS OHV Naturally Aspirated
2001,Land Rover,Discovery,Series II SD Sport Utility 4-Door,4.0L,73955435,4.0L 3950CC V8 GAS OHV Naturally Aspirated
1991,Land Rover,Range Rover,Base Sport Utility 4-Door,3.9L,73955615,3.9L 3947CC V8 GAS OHV Naturally Aspirated
2002,Land Rover,Discovery,Series II SE Sport Utility 4-Door,4.0L,73955635,4.0L 3950CC V8 GAS OHV Naturally Aspirated
