year,make,model,trim,engine,epid,ebay_engine
2020,Lexus,RC300,Base Coupe 2-Door,2.0L,10036870901,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2007,Lexus,IS250,Base Sedan 4-Door,2.5L,10039846740,2.5L 2499CC V6 GAS DOHC Naturally Aspirated
2013,Lexus,GX460,Executive Sport Utility 4-Door,4.6L,10039846791,4.6L 4608CC V8 GAS DOHC Naturally Aspirated
2013,Lexus,GX460,Premium Sport Utility 4-Door,4.6L,10039846833,4.6L 4608CC V8 GAS DOHC Naturally Aspirated
2021,Lexus,LS500,F Sport Sedan 4-Door,3.4L,10041089048,3.4L 3445CC V6 GAS DOHC Turbocharged
2010,Lexus,LS600h,L Sedan 4-Door,5.0L,10045489835,5.0L 4968CC V8 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2022,Lexus,IS350,F Sport Sedan 4-Door,3.5L,10045489999,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2022,Lexus,ES350,F Sport Sedan 4-Door,3.5L,10050430234,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2023,Lexus,IS500,F Sport Performance Premium Sedan 4-Door,5.0L,10053355900,5.0L 4969CC 303Cu. In. V8 GAS DOHC Naturally Aspirated
2023,Lexus,GX460,Base Sport Utility 4-Door,4.6L,10056455628,4.6L 4608CC V8 GAS DOHC Naturally Aspirated
2023,Lexus,RX350,Base Sport Utility 4-Door,2.4L,10058112406,2.4L 2393CC 146Cu. In. l4 GAS DOHC Turbocharged
2024,Lexus,NX450h+,Base Sport Utility 4-Door,2.5L,10059070218,2.5L 2487CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2024,Lexus,RX350,Premium+ Sport Utility 4-Door,2.4L,10060489690,2.4L 2393CC 146Cu. In. l4 GAS DOHC Turbocharged
2024,Lexus,UX250h,F Sport Handling Sport Utility 4-Door,2.0L,10061720081,2.0L 1987CC 121Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2024,Lexus,RC350,F Sport Coupe 2-Door,3.5L,10064273882,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2024,Lexus,GX550,Premium+ Sport Utility 4-Door,3.4L,10065339751,3.4L 3445CC V6 GAS DOHC Turbocharged
2025,Lexus,GX550,Executive Sport Utility 4-Door,3.4L,10067228589,3.4L 3445CC V6 GAS DOHC Turbocharged
2025,Lexus,TX500h,F Sport Performance Sport Utility 4-Door,2.4L,10067228678,2.4L 2393CC 146Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2024,Lexus,ES250,F Sport Design Sedan 4-Door,2.5L,10071440480,2.5L 2487CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2025,Lexus,IS300,F Sport Sedan 4-Door,3.5L,10074187541,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2026,Lexus,LX700h,Ultra Luxury Sport Utility 4-Door,3.4L,10075765516,3.4L 3445CC V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Lexus,RZ350e,Premium,--,10086103789,--
2006,Lexus,RX400h,Base Sport Utility 4-Door,3.3L,109880994,3.3L 3300CC 202Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2009,Lexus,GS350,Base Sedan 4-Door,3.5L,109882904,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2004,Lexus,RX330,Base Sport Utility 4-Door,3.3L,109900811,3.3L 3300CC 202Cu. In. V6 GAS DOHC Naturally Aspirated
2009,Lexus,LS460,L Sedan 4-Door,4.6L,109905919,4.6L 4608CC V8 GAS DOHC Naturally Aspirated
2002,Lexus,RX300,Base Sport Utility 4-Door,3.0L,109906061,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2000,Lexus,RX300,Base Sport Utility 4-Door,3.0L,109907809,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2010,Lexus,RX450h,Base Sport Utility 4-Door,3.5L,109909589,3.5L 3456CC V6 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2001,Lexus,RX300,Base Sport Utility 4-Door,3.0L,109914845,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2006,Lexus,RX330,Base Sport Utility 4-Door,3.3L,109915159,3.3L 3300CC 202Cu. In. V6 GAS DOHC Naturally Aspirated
2009,Lexus,LS460,Base Sedan 4-Door,4.6L,109929846,4.6L 4608CC V8 GAS DOHC Naturally Aspirated
2007,Lexus,GS350,Base Sedan 4-Door,3.5L,109933856,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2007,Lexus,RX400h,Base Sport Utility 4-Door,3.3L,109952603,3.3L 3300CC 202Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2005,Lexus,RX330,Base Sport Utility 4-Door,3.3L,109957333,3.3L 3300CC 202Cu. In. V6 GAS DOHC Naturally Aspirated
2003,Lexus,RX300,Base Sport Utility 4-Door,3.0L,109966997,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2010,Lexus,RX350,Base Sport Utility 4-Door,3.5L,109969088,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2006,Lexus,GS300,Base Sedan 4-Door,3.0L,109969938,3.0L 2994CC V6 GAS DOHC Naturally Aspirated
2020,Lexus,RC350,Base Coupe 2-Door,3.5L,11036870473,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2021,Lexus,RX350L,Base Sport Utility 4-Door,3.5L,11039229287,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2012,Lexus,RX350,Base Sport Utility 4-Door,3.5L,11039836329,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2014,Lexus,LS460,L Sedan 4-Door,4.6L,11039836427,4.6L 4608CC V8 GAS DOHC Naturally Aspirated
2011,Lexus,IS250,C Convertible 2-Door,2.5L,11039837302,2.5L 2499CC V6 GAS DOHC Naturally Aspirated
2006,Lexus,IS350,Base Sedan 4-Door,3.5L,11039837342,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
1996,Lexus,ES300,Base Sedan 4-Door,3.0L,11041077686,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2021,Lexus,LS500h,Base Sedan 4-Door,3.5L,11041077714,3.5L 3456CC V6 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2022,Lexus,RC300,Base Coupe 2-Door,3.5L,11051262212,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2022,Lexus,IS500,Launch Edition Sedan 4-Door,5.0L,11052182862,5.0L 4969CC 303Cu. In. V8 GAS DOHC Naturally Aspirated
2023,Lexus,UX250h,Premium Sport Utility 4-Door,2.0L,11055712792,2.0L 1987CC 121Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2023,Lexus,ES350,F Sport 2 Sedan 4-Door,3.5L,11057773996,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2023,Lexus,RX500h,F Sport Performance Sport Utility 4-Door,2.4L,11058097628,2.4L 2393CC 146Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2023,Lexus,RX350,Premium+ Sport Utility 4-Door,2.4L,11058097715,2.4L 2393CC 146Cu. In. l4 GAS DOHC Turbocharged
2023,Lexus,LS500,F Sport Sedan 4-Door,3.4L,11058097722,3.4L 3445CC V6 GAS DOHC Turbocharged
2023,Lexus,RC300,Base Coupe 2-Door,2.0L,11059052153,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Lexus,ES300h,Luxury Sedan 4-Door,2.5L,11060149320,2.5L 2487CC 152Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2019,Lexus,ES300h,Ultra Luxury Sedan 4-Door,2.5L,11060149412,2.5L 2487CC 152Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2019,Lexus,ES300h,Base Sedan 4-Door,2.5L,11060149431,2.5L 2487CC 152Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2021,Lexus,UX250h,Luxury Sport Utility 4-Door,2.0L,11061700144,2.0L 1987CC 121Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2020,Lexus,UX250h,F Sport Sport Utility 4-Door,2.0L,11061700187,2.0L 1987CC 121Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2022,Lexus,UX250h,Luxury Sport Utility 4-Door,2.0L,11061700290,2.0L 1987CC 121Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2024,Lexus,IS300,F Sport Sedan 4-Door,2.0L,11064254014,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Lexus,GX550,Luxury+ Sport Utility 4-Door,3.4L,11065317837,3.4L 3445CC V6 GAS DOHC Turbocharged
2025,Lexus,TX500h,F Sport Performance Premium Sport Utility 4-Door,2.4L,11066009625,2.4L 2393CC 146Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2025,Lexus,GX550,Premium+ Sport Utility 4-Door,3.4L,11067206774,3.4L 3445CC V6 GAS DOHC Turbocharged
2025,Lexus,ES300h,Luxury Sedan 4-Door,2.5L,11071415545,2.5L 2487CC 152Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2025,Lexus,ES300h,F Sport Handling Sedan 4-Door,2.5L,11071415586,2.5L 2487CC 152Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2025,Lexus,LC500,Base Coupe 2-Door,5.0L,11074166190,5.0L 4969CC 303Cu. In. V8 GAS DOHC Naturally Aspirated
2026,Lexus,GX550,Premium+ Sport Utility 4-Door,3.4L,11075746384,3.4L 3445CC V6 GAS DOHC Turbocharged
2025,Lexus,RC300,F Sport Coupe 2-Door,2.0L,11075746397,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Lexus,UX300h,F Sport Design Sport Utility 4-Door,2.0L,11075746444,2.0L 1987CC 121Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Lexus,TX350,Base Sport Utility 4-Door,2.4L,11075746494,2.4L 2393CC 146Cu. In. l4 GAS DOHC Turbocharged
2026,Lexus,RX450h+,Base Sport Utility 4-Door,2.5L,11086086518,2.5L 2487CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2012,Lexus,IS F,Base Sedan 4-Door,5.0L,112501119,5.0L 4969CC 303Cu. In. V8 GAS DOHC Naturally Aspirated
2012,Lexus,LS460,L Sedan 4-Door,4.6L,112502561,4.6L 4608CC V8 GAS DOHC Naturally Aspirated
2012,Lexus,LS460,Base Sedan 4-Door,4.6L,112533170,4.6L 4608CC V8 GAS DOHC Naturally Aspirated
2012,Lexus,LFA,Base Coupe 2-Door,4.8L,112584398,4.8L 4805CC 293Cu. In. V10 GAS DOHC Naturally Aspirated
2012,Lexus,HS250h,Premium Sedan 4-Door,2.4L,114903950,2.4L 2362CC l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2012,Lexus,HS250h,Base Sedan 4-Door,2.4L,114916783,2.4L 2362CC l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2020,Lexus,RC300,F Sport Coupe 2-Door,3.5L,12036858883,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2010,Lexus,IS250,Base Sedan 4-Door,2.5L,12039829928,2.5L 2499CC V6 GAS DOHC Naturally Aspirated
2021,Lexus,NX300,F Sport Sport Utility 4-Door,2.0L,12041073887,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2021,Lexus,ES250,Premium Sedan 4-Door,2.5L,12042661626,2.5L 2487CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2022,Lexus,RX350L,Base Sport Utility 4-Door,3.5L,12050417124,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2023,Lexus,LX600,Premium Sport Utility 4-Door,3.4L,12052732069,3.4L 3445CC V6 GAS DOHC Turbocharged
2023,Lexus,LX600,F Sport Handling Sport Utility 4-Door,3.4L,12052732217,3.4L 3445CC V6 GAS DOHC Turbocharged
2023,Lexus,IS350,F Sport Sedan 4-Door,3.5L,12053342013,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
