year,make,model,trim,engine,epid,ebay_engine
2026,Lotus,Eletre,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Lotus,Eletre,S Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Lotus,Eletre,R Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Lotus,Emira,Base Coupe 2-Door,2.0L,,2.0L 1991CC l4 GAS DOHC Turbocharged
2026,Lotus,Emira,SE Racing Line Coupe 2-Door,2.0L,,2.0L 1991CC l4 GAS DOHC Turbocharged
2026,Lotus,Emira,Base Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2026,Lotus,Emira,SE Racing Line Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2025,Lotus,Eletre,R Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Lotus,Eletre,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Lotus,Eletre,S Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Lotus,Emira,Base Coupe 2-Door,2.0L,,2.0L 1991CC l4 GAS DOHC Turbocharged
2025,Lotus,Emira,Base Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2024,Lotus,Eletre,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Lotus,Eletre,R Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Lotus,Eletre,S Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Lotus,Emira,Base Coupe 2-Door,2.0L,,2.0L 1991CC l4 GAS DOHC Turbocharged
2024,Lotus,Emira,Base Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2023,Lotus,Emira,Base Coupe 2-Door,2.0L,,2.0L 1991CC l4 GAS DOHC Turbocharged
2023,Lotus,Emira,First Edition Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2021,Lotus,Evora GT,Base Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2020,Lotus,Evora GT,Base Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2019,Lotus,Evora,400 Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2019,Lotus,Evora,Sport 410 Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2018,Lotus,Evora,400 Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2018,Lotus,Evora,Sport 410 Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2017,Lotus,Evora,400 Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2016,Lotus,Evora,400 Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2014,Lotus,Evora,Base Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2014,Lotus,Evora,S Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2013,Lotus,Evora,S Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
2013,Lotus,Evora,Base Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2012,Lotus,Evora,S Coupe 2-Door,3.5L,,3.5L 3456CC V6 GAS DOHC Supercharged
