year,make,model,trim,engine,epid,ebay_engine
2022,Lucid,Air,Touring Sedan 4-Door,--,4052183499,BATTERY EV (EV/BEV)
2022,Lucid,Air,Pure Sedan 4-Door,--,16052182572,BATTERY EV (EV/BEV)
2022,Lucid,Air,Dream Edition Performance Sedan 4-Door,--,20052192140,BATTERY EV (EV/BEV)
2022,Lucid,Air,Dream Edition Range Sedan 4-Door,--,26052198537,BATTERY EV (EV/BEV)
2022,Lucid,Air,Grand Touring Sedan 4-Door,--,28052194120,BATTERY EV (EV/BEV)
2023,Lucid,Air,Grand Touring Sedan 4-Door,--,7052743701,BATTERY EV (EV/BEV)
2023,Lucid,Air,Dream Edition Performance Sedan 4-Door,--,8052743729,BATTERY EV (EV/BEV)
2023,Lucid,Air,Dream Edition Range Sedan 4-Door,--,11052732681,BATTERY EV (EV/BEV)
2023,Lucid,Air,Touring Sedan 4-Door,--,16052731859,BATTERY EV (EV/BEV)
2023,Lucid,Air,Pure Sedan 4-Door,--,17052737819,BATTERY EV (EV/BEV)
2024,Lucid,Air,Grand Touring Sedan 4-Door,--,4059059715,BATTERY EV (EV/BEV)
2024,Lucid,Air,Sapphire Sedan 4-Door,--,4063601487,BATTERY EV (EV/BEV)
2024,Lucid,Air,Dream Edition Range Sedan 4-Door,--,10059371538,BATTERY EV (EV/BEV)
2024,Lucid,Air,Dream Edition Performance Sedan 4-Door,--,15059366783,BATTERY EV (EV/BEV)
2024,Lucid,Air,Pure Sedan 4-Door,--,25059353572,BATTERY EV (EV/BEV)
2024,Lucid,Air,Touring Sedan 4-Door,--,25059353610,BATTERY EV (EV/BEV)
2025,Lucid,Air,Sapphire Sedan 4-Door,--,8071951736,BATTERY EV (EV/BEV)
2025,Lucid,Air,Grand Touring Sedan 4-Door,--,12071938609,BATTERY EV (EV/BEV)
2025,Lucid,Air,Touring Sedan 4-Door,--,20071949854,BATTERY EV (EV/BEV)
2025,Lucid,Air,Pure Sedan 4-Door,--,24071943371,BATTERY EV (EV/BEV)
2025,Lucid,Gravity,Grand Touring Sport Utility 4-Door,--,17074181358,BATTERY EV (EV/BEV)
2026,Lucid,Gravity,Touring Sport Utility 4-Door,--,19080351633,BATTERY EV (EV/BEV)
2026,Lucid,Gravity,Dream Sport Utility 4-Door,--,19080351759,BATTERY EV (EV/BEV)
2026,Lucid,Gravity,Grand Touring Sport Utility 4-Door,--,25080345106,BATTERY EV (EV/BEV)
