year,make,model,trim,engine,epid,ebay_engine
2026,Maserati,GranCabrio,Folgore Coupe 2-Door,--,,BATTERY EV (EV/BEV)
2026,Maserati,GranCabrio,Trofeo Coupe 2-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
2026,Maserati,GranTurismo,Folgore Coupe 2-Door,--,,BATTERY EV (EV/BEV)
2026,Maserati,GranTurismo,Trofeo Coupe 2-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
2026,Maserati,GranTurismo,Modena Coupe 2-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
2026,Maserati,Grecale,Folgore Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Maserati,Grecale,GT Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Maserati,Grecale,Base Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Maserati,Grecale,Modena Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Maserati,Grecale,Trofeo Sport Utility 4-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
2026,Maserati,GT2 Stradale,Base Coupe 2-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
2026,Maserati,MCPura,Base,--,,--
2026,Maserati,MCPura,Cielo,--,,--
2025,Maserati,GranCabrio,Folgore Coupe 2-Door,--,,BATTERY EV (EV/BEV)
2025,Maserati,GranCabrio,Trofeo Coupe 2-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
2025,Maserati,GranTurismo,Folgore Coupe 2-Door,--,,BATTERY EV (EV/BEV)
2025,Maserati,GranTurismo,Trofeo Coupe 2-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
2025,Maserati,GranTurismo,Modena Coupe 2-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
2025,Maserati,Grecale,Folgore Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Maserati,Grecale,Base Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Maserati,Grecale,Modena Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Maserati,Grecale,GT Sport Utility 4-Door,2.0L,,2.0L 1995CC 122Cu. In. l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Maserati,Grecale,Trofeo Sport Utility 4-Door,3.0L,,3.0L 2992CC 183Cu. In. V6 GAS DOHC Turbocharged
