year,make,model,trim,engine,epid,ebay_engine
2012,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2012,Maybach,57,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2012,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2012,Maybach,62,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2012,Maybach,62,S Landaulet Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2011,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2011,Maybach,57,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2011,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2011,Maybach,62,S Landaulet Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2011,Maybach,62,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2010,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2010,Maybach,57,S Zeppelin Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2010,Maybach,57,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2010,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2010,Maybach,62,S Landaulet Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2010,Maybach,62,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2010,Maybach,62,S Zeppelin Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2009,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2009,Maybach,57,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2009,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2009,Maybach,62,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2008,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2008,Maybach,57,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2008,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2008,Maybach,62,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2007,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2007,Maybach,57,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2007,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2007,Maybach,62,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2006,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2006,Maybach,57,S Sedan 4-Door,6.0L,,6.0L 5980CC 365Cu. In. V12 GAS SOHC Turbocharged
2006,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2005,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2005,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2004,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2004,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2003,Maybach,57,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
2003,Maybach,62,Base Sedan 4-Door,5.5L,,5.5L 5499CC V12 GAS SOHC Turbocharged
