year,make,model,trim,engine,epid,ebay_engine
2026,Mazda,3,2.5 S Hatchback 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2026,Mazda,3,2.5 S Sedan 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2026,Mazda,3,2.5 Turbo Premium Plus Hatchback 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Turbocharged
2026,Mazda,3,2.5 Turbo Premium Plus Sedan 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Turbocharged
2026,Mazda,CX-70,PHEV Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2026,Mazda,CX-70,PHEV GT Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2026,Mazda,CX-70,PHEV GS-L Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2026,Mazda,CX-70,GT Sport Utility 4-Door,3.3L,,3.3L 3283CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mazda,CX-70,Turbo Sport Utility 4-Door,3.3L,,3.3L 3283CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mazda,CX-70,GS-L Sport Utility 4-Door,3.3L,,3.3L 3283CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mazda,CX-70,Turbo S Sport Utility 4-Door,3.3L,,3.3L 3283CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mazda,CX-70,GT-P Sport Utility 4-Door,3.3L,,3.3L 3283CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mazda,CX-70,Signature Sport Utility 4-Door,3.3L,,3.3L 3283CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mazda,CX-90,PHEV Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2026,Mazda,CX-90,PHEV GT Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2026,Mazda,CX-90,PHEV GS Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2026,Mazda,CX-90,PHEV GS-L Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Naturally Aspirated
2026,Mazda,CX-90,Turbo Sport Utility 4-Door,3.3L,,3.3L 3283CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mazda,CX-90,GT Sport Utility 4-Door,3.3L,,3.3L 3283CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
