year,make,model,trim,engine,epid,ebay_engine
2026,McLaren,750S,Spider Convertible 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,McLaren,750S,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2026,McLaren,Artura,Performance Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,McLaren,Artura,TechLux Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,McLaren,Artura,Vision Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,McLaren,Artura,Base Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,McLaren,Artura,Spider Convertible 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,McLaren,GTS,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,McLaren,750S,Spider Convertible 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,McLaren,750S,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2025,McLaren,Artura,Performance Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2025,McLaren,Artura,Spider Convertible 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2025,McLaren,Artura,Vision Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2025,McLaren,Artura,Base Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2025,McLaren,Artura,TechLux Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2025,McLaren,GTS,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,McLaren,750S,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,McLaren,750S,Spider Convertible 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,McLaren,765LT,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2024,McLaren,Artura,Vision Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,McLaren,Artura,Performance Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,McLaren,Artura,Base Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,McLaren,Artura,TechLux Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,McLaren,GTS,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2023,McLaren,720S,Spider Convertible 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2023,McLaren,720S,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2023,McLaren,765LT,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2023,McLaren,Artura,Base Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2023,McLaren,Artura,TechLux Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2023,McLaren,Artura,Vision Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2023,McLaren,Artura,Performance Coupe 2-Door,3.0L,,3.0L 2993CC 183Cu. In. V6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2023,McLaren,GT,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2022,McLaren,720S,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2022,McLaren,720S,Spider Convertible 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
2022,McLaren,765LT,Base Coupe 2-Door,4.0L,,4.0L 3994CC 244Cu. In. V8 GAS DOHC Turbocharged
