year,make,model,trim,engine,epid,ebay_engine
2026,Mercedes-Benz,AMG GT 43,Base Hatchback 2-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,AMG GT 43,4Matic+ Hatchback 4-Door,3.0L,,3.0L 2999CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,AMG GT 55,4Matic+ Hatchback 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2026,Mercedes-Benz,AMG GT 63,4Matic+ Hatchback 4-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2026,Mercedes-Benz,AMG GT 63,4Matic+ Hatchback 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2026,Mercedes-Benz,AMG GT 63 Pro,4Matic+ Hatchback 2-Door,4.0L,,4.0L 3982CC V8 GAS DOHC Turbocharged
2026,Mercedes-Benz,AMG GT 63 S E Performance,Base Hatchback 4-Door,4.0L,,4.0L 3982CC V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Mercedes-Benz,AMG GT 63 S E Performance,Base Hatchback 2-Door,4.0L,,4.0L 3982CC V8 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Mercedes-Benz,C300,4Matic Sedan 4-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,C300,Base Sedan 4-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,C43 AMG,4Matic Sedan 4-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLA250,4Matic Sedan 4-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLA250,Base Sedan 4-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLA250+,Base,--,,--
2026,Mercedes-Benz,CLA35 AMG,4Matic Sedan 4-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLA350,4Matic,--,,--
2026,Mercedes-Benz,CLA45 AMG S,4Matic+ Sedan 4-Door,2.0L,,2.0L 1991CC l4 GAS DOHC Turbocharged
2026,Mercedes-Benz,CLE300,4Matic Coupe 2-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLE300,4Matic Convertible 2-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLE450,4Matic Convertible 2-Door,3.0L,,3.0L 2999CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLE450,4Matic Coupe 2-Door,3.0L,,3.0L 2999CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLE53 AMG,4Matic+ Coupe 2-Door,3.0L,,3.0L 2999CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,CLE53 AMG,4Matic+ Convertible 2-Door,3.0L,,3.0L 2999CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,E350,4Matic Sedan 4-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,E350,Base Sedan 4-Door,2.0L,,2.0L 1991CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,E450,4Matic Wagon 4-Door,3.0L,,3.0L 2999CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,E450,4Matic Sedan 4-Door,3.0L,,3.0L 2999CC l6 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Mercedes-Benz,E53 AMG,4Matic+ Sedan 4-Door,3.0L,,3.0L 2999CC l6 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2026,Mercedes-Benz,EQE 320,4Matic Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2026,Mercedes-Benz,EQE 320 SUV,4Matic Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Mercedes-Benz,EQE 320+,Base Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2026,Mercedes-Benz,EQE 320+ SUV,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Mercedes-Benz,EQE AMG,4Matic+ Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2026,Mercedes-Benz,EQE AMG SUV,4Matic+ Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
