year,make,model,trim,engine,epid,ebay_engine
2011,Mercury,Grand Marquis,LS Sedan 4-Door,4.6L,,4.6L 281Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Mercury,Mariner,Hybrid Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2011,Mercury,Mariner,Base Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Mercury,Mariner,Base Sport Utility 4-Door,3.0L,,3.0L 2968CC 181Cu. In. V6 FLEX DOHC Naturally Aspirated
2011,Mercury,Mariner,Premier Sport Utility 4-Door,3.0L,,3.0L 2968CC 181Cu. In. V6 FLEX DOHC Naturally Aspirated
2011,Mercury,Milan,Base Sedan 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Mercury,Milan,Hybrid Sedan 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2011,Mercury,Milan,Premier Sedan 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Mercury,Milan,Premier Sedan 4-Door,3.0L,,3.0L 2968CC 181Cu. In. V6 FLEX DOHC Naturally Aspirated
2010,Mercury,Grand Marquis,LS Sedan 4-Door,4.6L,,4.6L 281Cu. In. V8 FLEX SOHC Naturally Aspirated
2010,Mercury,Mariner,Base Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2010,Mercury,Mariner,Hybrid Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2010,Mercury,Mariner,Premier Sport Utility 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2010,Mercury,Mariner,Premier Sport Utility 4-Door,3.0L,,3.0L 2968CC 181Cu. In. V6 FLEX DOHC Naturally Aspirated
