year,make,model,trim,engine,epid,ebay_engine
2026,Mini,Countryman,SE ALL4 Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Mini,Countryman,John Cooper Works ALL4 Sport Utility 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2026,Mini,Countryman,S ALL4 Sport Utility 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,S Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,C Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,Base Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,S Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,Base Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,Base Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,John Cooper Works Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,John Cooper Works Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,S Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Cooper,C Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Countryman,SE ALL4 Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Mini,Countryman,John Cooper Works ALL4 Sport Utility 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2025,Mini,Countryman,S ALL4 Sport Utility 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper,SE Hatchback 2-Door,--,,BATTERY EV (EV/BEV)
2024,Mini,Cooper,Base Hatchback 4-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2024,Mini,Cooper,Base Hatchback 2-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2024,Mini,Cooper,Base Convertible 2-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2024,Mini,Cooper,John Cooper Works Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper,S Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper,S Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper,John Cooper Works Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper,S Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper Clubman,S ALL4 Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper Clubman,John Cooper Works ALL4 Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper Clubman,S Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper Countryman,ALL4 Hatchback 4-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2024,Mini,Cooper Countryman,S E ALL4 Hatchback 4-Door,1.5L,,1.5L 1499CC l3 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2024,Mini,Cooper Countryman,Base Hatchback 4-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2024,Mini,Cooper Countryman,John Cooper Works ALL4 Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper Countryman,S ALL4 Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2024,Mini,Cooper Countryman,S Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper,SE Hatchback 2-Door,--,,BATTERY EV (EV/BEV)
2023,Mini,Cooper,Base Hatchback 4-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2023,Mini,Cooper,Base Convertible 2-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2023,Mini,Cooper,Base Hatchback 2-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2023,Mini,Cooper,S Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper,John Cooper Works Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper,S Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper,John Cooper Works Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper,S Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper Clubman,S Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper Clubman,S ALL4 Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper Clubman,John Cooper Works ALL4 Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper Countryman,Base Hatchback 4-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2023,Mini,Cooper Countryman,S E ALL4 Hatchback 4-Door,1.5L,,1.5L 1499CC l3 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
2023,Mini,Cooper Countryman,ALL4 Hatchback 4-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2023,Mini,Cooper Countryman,John Cooper Works ALL4 Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper Countryman,S ALL4 Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2023,Mini,Cooper Countryman,S Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper,SE Hatchback 2-Door,--,,BATTERY EV (EV/BEV)
2022,Mini,Cooper,Base Convertible 2-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2022,Mini,Cooper,Base Hatchback 4-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2022,Mini,Cooper,Base Hatchback 2-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2022,Mini,Cooper,S Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper,John Cooper Works Hatchback 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper,John Cooper Works Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper,S Hatchback 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper,S Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper Clubman,S ALL4 Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper Clubman,S Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper Clubman,John Cooper Works ALL4 Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2022,Mini,Cooper Countryman,Base Hatchback 4-Door,1.5L,,1.5L 1499CC l3 GAS DOHC Turbocharged
2022,Mini,Cooper Countryman,S E ALL4 Hatchback 4-Door,1.5L,,1.5L 1499CC l3 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbocharged
