year,make,model,trim,engine,epid,ebay_engine
1990,Mitsubishi,Sigma,Base Sedan 4-Door,3.0L,73978264,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1992,Mitsubishi,Diamante,LS Sedan 4-Door,3.0L,73978344,3.0L 2972CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1993,Mitsubishi,3000GT,Base Coupe 2-Door,3.0L,73978474,3.0L 2972CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1998,Mitsubishi,Montero,Base Sport Utility 4-Door,3.5L,73978504,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
1996,Mitsubishi,3000GT,Base Coupe 2-Door,3.0L,73978534,3.0L 2972CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1993,Mitsubishi,3000GT,SL Coupe 2-Door,3.0L,73978554,3.0L 2972CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1997,Mitsubishi,Montero Sport,XLS Sport Utility 4-Door,3.0L,73978584,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2003,Mitsubishi,Eclipse,Spyder GTS Convertible 2-Door,3.0L,73978594,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1997,Mitsubishi,3000GT,Base Coupe 2-Door,3.0L,73978604,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2002,Mitsubishi,Montero Sport,Limited Sport Utility 4-Door,3.5L,73978634,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
2002,Mitsubishi,Diamante,LS Sedan 4-Door,3.5L,73978674,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
2002,Mitsubishi,Montero Sport,XLS Sport Utility 4-Door,3.5L,73978744,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
2004,Mitsubishi,Montero,Limited Sport Utility 4-Door,3.8L,74001854,3.8L 3797CC 230Cu. In. V6 GAS SOHC Naturally Aspirated
2004,Mitsubishi,Eclipse,Spyder GT Convertible 2-Door,3.0L,74001874,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1997,Mitsubishi,Montero,LS Sport Utility 4-Door,3.5L,74005101,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
1997,Mitsubishi,Montero Sport,LS Sport Utility 4-Door,3.0L,74005131,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1998,Mitsubishi,Diamante,ES Sedan 4-Door,3.5L,74005151,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
2003,Mitsubishi,Eclipse,Spyder GT Convertible 2-Door,3.0L,74005241,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2003,Mitsubishi,Montero Sport,LS Sport Utility 4-Door,3.0L,74005311,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2001,Mitsubishi,Diamante,LS Sedan 4-Door,3.5L,74007182,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
1995,Mitsubishi,3000GT,SL Coupe 2-Door,3.0L,74007252,3.0L 2972CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1997,Mitsubishi,3000GT,SL Coupe 2-Door,3.0L,74007272,3.0L 2972CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
2001,Mitsubishi,Montero Sport,ES Sport Utility 4-Door,3.0L,74007382,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2002,Mitsubishi,Montero,Limited Sport Utility 4-Door,3.5L,74007402,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
2000,Mitsubishi,Montero Sport,XLS Sport Utility 4-Door,3.0L,74007442,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2007,Mitsubishi,Endeavor,SE Sport Utility 4-Door,3.8L,74008214,3.8L 3828CC 230Cu. In. V6 GAS SOHC Naturally Aspirated
1994,Mitsubishi,Diamante,LS Sedan 4-Door,3.0L,74013155,3.0L 2972CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1994,Mitsubishi,3000GT,Base Coupe 2-Door,3.0L,74013225,3.0L 2972CC 181Cu. In. V6 GAS DOHC Naturally Aspirated
1999,Mitsubishi,3000GT,Base Coupe 2-Door,3.0L,74013255,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
