year,make,model,trim,engine,epid,ebay_engine
2025,Mullen,FIVE,RS Sport Utility 4-Door,--,14067212200,BATTERY EV (EV/BEV)
2025,Mullen,FIVE,Base Sport Utility 4-Door,--,15071433780,BATTERY EV (EV/BEV)
2026,Mullen,ONE,Base Delivery Van 4-Door,--,15078738542,BATTERY EV (EV/BEV)
2025,Mullen,CAMPUS,Base Delivery Van 4-Door,--,16071419314,BATTERY EV (EV/BEV)
2023,Mullen,CAMPUS,Base Delivery Van 4-Door,--,17065333863,BATTERY EV (EV/BEV)
2026,Mullen,CAMPUS,Base Delivery Van 4-Door,--,19078732772,BATTERY EV (EV/BEV)
2024,Mullen,ONE,Base Delivery Van 4-Door,--,20065331296,BATTERY EV (EV/BEV)
2026,Mullen,FIVE,Base Sport Utility 4-Door,--,20078739942,BATTERY EV (EV/BEV)
2023,Mullen,THREE,Base Straight Truck - Low Tilt 2-Door,--,21071435928,BATTERY EV (EV/BEV)
2026,Mullen,FIVE,RS Sport Utility 4-Door,--,21078745879,BATTERY EV (EV/BEV)
2025,Mullen,ONE,Base Delivery Van 4-Door,--,22071427620,BATTERY EV (EV/BEV)
2024,Mullen,CAMPUS,Base Delivery Van 4-Door,--,26065338060,BATTERY EV (EV/BEV)
2026,Mullen,THREE,Base Straight Truck - Low Tilt 2-Door,--,27078739665,BATTERY EV (EV/BEV)
2023,Mullen,ONE,Base Delivery Van 4-Door,--,6065342375,BATTERY EV (EV/BEV)
2025,Mullen,THREE,Base Straight Truck - Low Tilt 2-Door,--,6071442589,BATTERY EV (EV/BEV)
2024,Mullen,THREE,Base Straight Truck - Low Tilt 2-Door,--,8071428807,BATTERY EV (EV/BEV)
