year,make,model,trim,engine,epid,ebay_engine
2020,Nissan,NV2500,SL Standard Cargo Van 3-Door,4.0L,10036080504,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2020,Nissan,Pathfinder,SL Sport Utility 4-Door,3.5L,10036080597,3.5L 3498CC V6 GAS DOHC Naturally Aspirated
2020,Nissan,370Z,Touring Coupe 2-Door,3.7L,10036877159,3.7L 3696CC V6 GAS DOHC Naturally Aspirated
2020,Nissan,TITAN,Platinum Crew Cab Pickup 4-Door,5.6L,10037466156,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
2020,Nissan,TITAN,S Crew Cab Pickup 4-Door,5.6L,10037466158,5.6L 5552CC V8 GAS DOHC Naturally Aspirated
2021,Nissan,Rogue Sport,S Sport Utility 4-Door,2.0L,10038316758,2.0L 1997CC l4 GAS DOHC Naturally Aspirated
2009,Nissan,Frontier,PRO-4X Extended Cab Pickup 4-Door,4.0L,10039846641,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2013,Nissan,Armada,Platinum Sport Utility 4-Door,5.6L,17039842643,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2007,Nissan,TITAN,SE Extended Cab Pickup 4-Door,5.6L,10039846702,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2007,Nissan,Frontier,Nismo Off-Road Extended Cab Pickup 4-Door,4.0L,10039846716,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2009,Nissan,Armada,LE Sport Utility 4-Door,5.6L,23039852055,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2011,Nissan,Armada,SL Sport Utility 4-Door,5.6L,23039852015,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2010,Nissan,Xterra,SE Sport Utility 4-Door,4.0L,10039846761,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2010,Nissan,Frontier,SE Extended Cab Pickup 4-Door,4.0L,10039846765,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2007,Nissan,Frontier,SE Crew Cab Pickup 4-Door,4.0L,10039846775,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2008,Nissan,Armada,SE Sport Utility 4-Door,5.6L,15039844775,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2010,Nissan,Armada,Platinum Sport Utility 4-Door,5.6L,10039846793,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2012,Nissan,TITAN,SV Extended Cab Pickup 4-Door,5.6L,11039836443,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2009,Nissan,TITAN,XE Crew Cab Pickup 4-Door,5.6L,13039844608,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
1995,Nissan,Axxess,Base Wagon 4-Door,2.4L,10039846801,2.4L 2389CC l4 GAS SOHC Naturally Aspirated
2012,Nissan,Rogue,SL Sport Utility 4-Door,2.5L,10039846803,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Nissan,Xterra,PRO-4X Sport Utility 4-Door,4.0L,10039846805,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2010,Nissan,Frontier,LE Crew Cab Pickup 4-Door,4.0L,10039846821,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
1993,Nissan,Sentra,Base Sedan 4-Door,1.6L,10039846840,1.6L 1597CC 97Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Nissan,TITAN,SV Crew Cab Pickup 4-Door,5.6L,19039841460,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2007,Nissan,TITAN,XE Crew Cab Pickup 4-Door,5.6L,10039846963,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
2011,Nissan,Frontier,S Extended Cab Pickup 4-Door,4.0L,10039846967,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2013,Nissan,Armada,SV Sport Utility 4-Door,5.6L,10039846977,5.6L 5552CC V8 FLEX DOHC Naturally Aspirated
