year,make,model,trim,engine,epid,ebay_engine
1985,Oldsmobile,98,Regency Sedan 4-Door,3.0L,73957024,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Brougham Sedan 2-Door,4.3L,73957044,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Sedan 2-Door,3.0L,73991805,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Sedan 2-Door,4.3L,73993736,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Sedan 4-Door,4.3L,74007009,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Brougham Sedan 4-Door,4.3L,74018918,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Brougham Sedan 4-Door,3.8L,109875244,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Sedan 4-Door,3.8L,109910775,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Brougham Sedan 2-Door,3.8L,109955677,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,98,Regency Sedan 2-Door,3.8L,109965787,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Calais,Supreme Coupe 2-Door,3.0L,74013623,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Calais,Base Coupe 2-Door,3.0L,74025560,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Calais,500 Convertible 2-Door,3.0L,74041987,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Calais,Base Coupe 2-Door,2.5L,83266224,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Calais,500 Convertible 2-Door,2.5L,83334290,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Calais,Supreme Coupe 2-Door,2.5L,83335940,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Custom Cruiser,Base Wagon 4-Door,5.7L,73987882,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Custom Cruiser,Base Wagon 4-Door,5.0L,74042907,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass,Salon Coupe 2-Door,5.0L,20037548541,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Coupe 2-Door,3.0L,73958514,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Sedan 4-Door,3.0L,73958644,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Sedan 4-Door,4.3L,73958724,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,ES Coupe 2-Door,3.0L,73993205,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Coupe 2-Door,4.3L,73995166,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Holiday Coupe 2-Door,3.0L,74008449,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Sedan 4-Door,3.0L,74013963,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Coupe 2-Door,4.3L,74025990,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Cruiser LS Wagon 4-Door,4.3L,74026070,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Cruiser LS Wagon 4-Door,3.0L,74026090,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Sedan 4-Door,4.3L,74042147,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Coupe 2-Door,3.0L,74042507,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Coupe 2-Door,2.5L,83243794,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Sedan 4-Door,2.5L,83279525,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Coupe 2-Door,2.5L,83301011,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,ES Coupe 2-Door,2.5L,83301305,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Cruiser LS Wagon 4-Door,2.5L,83305019,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Sedan 4-Door,2.5L,83312135,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Holiday Coupe 2-Door,2.5L,83334300,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Cruiser LS Wagon 4-Door,3.8L,109873924,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Coupe 2-Door,3.8L,109876624,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Sedan 4-Door,3.8L,109906651,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Coupe 2-Door,3.8L,109907812,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,ES Coupe 2-Door,3.8L,109915675,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Holiday Coupe 2-Door,3.8L,109920089,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Sedan 4-Door,3.8L,109955767,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,GT Coupe 2-Door,3.8L,109961758,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Coupe 2-Door,2.8L,3047568989,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,LS Sedan 4-Door,2.8L,10047566868,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Cruiser Wagon 4-Door,2.8L,12047554994,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Sedan 4-Door,2.8L,27047555400,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Ciera,Brougham Coupe 2-Door,2.8L,28047564136,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Salon,442 Coupe 2-Door,5.0L,74013643,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Salon,Base Coupe 2-Door,5.7L,74020448,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Salon,Base Coupe 2-Door,5.0L,74025710,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Salon,Base Coupe 2-Door,3.8L,109914552,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,LS Coupe 2-Door,5.7L,73985621,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Brougham Coupe 2-Door,5.7L,73987482,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,LS Sedan 4-Door,5.7L,73993645,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Base Coupe 2-Door,5.0L,73995536,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Brougham Coupe 2-Door,5.0L,74008809,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Base Sedan 4-Door,5.0L,74008819,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Brougham Sedan 4-Door,5.0L,74008959,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Base Coupe 2-Door,5.7L,74014123,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,LS Sedan 4-Door,5.0L,74014383,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Base Sedan 4-Door,5.7L,74026310,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Brougham Sedan 4-Door,5.7L,74026500,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,LS Coupe 2-Door,5.0L,74042747,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Base Coupe 2-Door,3.8L,109911235,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Brougham Sedan 4-Door,3.8L,109938726,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Brougham Coupe 2-Door,3.8L,109956790,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,Base Sedan 4-Door,3.8L,109959280,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,LS Sedan 4-Door,3.8L,109961557,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Cutlass Supreme,LS Coupe 2-Door,3.8L,109964947,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Brougham Coupe 2-Door,5.7L,73959054,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Coupe 2-Door,5.7L,73959084,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Sedan 4-Door,5.0L,73959194,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Brougham Sedan 4-Door,5.7L,73959234,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Brougham LS Sedan 4-Door,5.7L,73987902,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Coupe 2-Door,5.0L,73995926,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Brougham Sedan 4-Door,5.0L,73996066,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Brougham Coupe 2-Door,5.0L,74014493,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Brougham LS Sedan 4-Door,5.0L,74026460,5.0L 307Cu. In. V8 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Sedan 4-Door,5.7L,74026700,5.7L 350Cu. In. V8 DIESEL OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Coupe 2-Door,3.8L,109904271,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Brougham Coupe 2-Door,3.8L,109916479,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Sedan 4-Door,3.8L,109917445,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Delta 88,Royale Brougham Sedan 4-Door,3.8L,109959043,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,Brougham LX Sedan 4-Door,2.8L,73959324,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,GT Hatchback 2-Door,2.8L,73959334,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,Brougham SX Hatchback 2-Door,2.8L,73959454,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,Brougham LX Hatchback 2-Door,2.8L,73988112,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,Cruiser LX Wagon 4-Door,2.8L,73993945,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,Base Sedan 4-Door,2.8L,73994055,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,Base Wagon 4-Door,2.8L,73996206,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,Base Hatchback 2-Door,2.8L,74009059,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,ES Hatchback 2-Door,2.8L,74009309,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Oldsmobile,Firenza,Cruiser SX Wagon 4-Door,2.8L,74021208,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
