year,make,model,trim,engine,epid,ebay_engine
2001,Plymouth,Neon,High Line Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
2001,Plymouth,Neon,LX Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
2001,Plymouth,Prowler,Base Convertible 2-Door,3.5L,,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
2000,Plymouth,Breeze,Base Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
2000,Plymouth,Breeze,Base Sedan 4-Door,2.4L,,2.4L 2429CC 148Cu. In. l4 GAS DOHC Naturally Aspirated
2000,Plymouth,Grand Voyager,Base Mini Passenger Van 3-Door,3.0L,,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2000,Plymouth,Grand Voyager,SE Mini Passenger Van 4-Door,3.0L,,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2000,Plymouth,Grand Voyager,Base Mini Passenger Van 3-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
2000,Plymouth,Grand Voyager,SE Mini Passenger Van 4-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
2000,Plymouth,Neon,High Line Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
2000,Plymouth,Neon,LX Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
2000,Plymouth,Prowler,Base Convertible 2-Door,3.5L,,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
2000,Plymouth,Voyager,Base Mini Passenger Van 3-Door,2.4L,,2.4L 2429CC 148Cu. In. l4 GAS DOHC Naturally Aspirated
2000,Plymouth,Voyager,Base Mini Passenger Van 3-Door,3.0L,,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
2000,Plymouth,Voyager,SE Mini Passenger Van 4-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
2000,Plymouth,Voyager,Base Mini Passenger Van 3-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1999,Plymouth,Breeze,Expresso Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
1999,Plymouth,Breeze,Base Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
1999,Plymouth,Breeze,Base Sedan 4-Door,2.4L,,2.4L 2429CC 148Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Breeze,Expresso Sedan 4-Door,2.4L,,2.4L 2429CC 148Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Grand Voyager,SE Mini Passenger Van 4-Door,3.0L,,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1999,Plymouth,Grand Voyager,Base Mini Passenger Van 3-Door,3.0L,,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1999,Plymouth,Grand Voyager,Expresso Mini Passenger Van 4-Door,3.0L,,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1999,Plymouth,Grand Voyager,LE Mini Passenger Van 3-Door,3.0L,,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1999,Plymouth,Grand Voyager,Base Mini Passenger Van 3-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1999,Plymouth,Grand Voyager,SE Mini Passenger Van 4-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1999,Plymouth,Grand Voyager,Expresso Mini Passenger Van 4-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1999,Plymouth,Grand Voyager,LE Mini Passenger Van 3-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1999,Plymouth,Grand Voyager,SE Mini Passenger Van 4-Door,3.8L,,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1999,Plymouth,Grand Voyager,Expresso Mini Passenger Van 4-Door,3.8L,,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1999,Plymouth,Neon,ACR Coupe 2-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Neon,Expresso Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Neon,ACR Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Neon,High Line Coupe 2-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Neon,High Line Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Neon,Style Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
1999,Plymouth,Neon,Expresso Coupe 2-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Prowler,Base Convertible 2-Door,3.5L,,3.5L 3497CC 215Cu. In. V6 GAS SOHC Naturally Aspirated
1999,Plymouth,Voyager,Base Mini Passenger Van 3-Door,--,,BATTERY EV (EV/BEV)
1999,Plymouth,Voyager,Base Mini Passenger Van 3-Door,2.4L,,2.4L 2429CC 148Cu. In. l4 GAS DOHC Naturally Aspirated
1999,Plymouth,Voyager,Base Mini Passenger Van 3-Door,3.0L,,3.0L 2972CC 181Cu. In. V6 GAS SOHC Naturally Aspirated
1999,Plymouth,Voyager,SE Mini Passenger Van 4-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1999,Plymouth,Voyager,Base Mini Passenger Van 3-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1999,Plymouth,Voyager,Expresso Mini Passenger Van 4-Door,3.3L,,3.3L 3301CC 201Cu. In. V6 FLEX OHV Naturally Aspirated
1999,Plymouth,Voyager,SE Mini Passenger Van 4-Door,3.8L,,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1999,Plymouth,Voyager,Expresso Mini Passenger Van 4-Door,3.8L,,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1999,Plymouth,Voyager,Base Mini Passenger Van 3-Door,3.8L,,3.8L 3778CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1998,Plymouth,Breeze,Base Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
1998,Plymouth,Breeze,Expresso Sedan 4-Door,2.0L,,2.0L 1996CC 122Cu. In. l4 GAS SOHC Naturally Aspirated
