year,make,model,trim,engine,epid,ebay_engine
2026,Polestar,Polestar 2,Base Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2026,Polestar,Polestar 3,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Polestar,Polestar 4,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Polestar,Polestar 2,Base Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2025,Polestar,Polestar 3,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Polestar,Polestar 4,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Polestar,Polestar 2,Base Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2023,Polestar,Polestar 2,Base Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2023,Polestar,Polestar 2,BST Edition 270 Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2023,Polestar,Polestar 2,BST Edition 230 Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2022,Polestar,Polestar 2,Launch Edition Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2022,Polestar,Polestar 2,Base Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2021,Polestar,Polestar 1,Base Coupe 2-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
2021,Polestar,Polestar 2,Launch Edition Hatchback 4-Door,--,,BATTERY EV (EV/BEV)
2020,Polestar,Polestar 1,Base Coupe 2-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
