year,make,model,trim,engine,epid,ebay_engine
1985,Pontiac,6000,LE Sedan 4-Door,2.8L,73959784,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,6000,LE Coupe 2-Door,2.8L,73959844,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,6000,Base Sedan 4-Door,4.3L,73988552,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Pontiac,6000,LE Coupe 2-Door,4.3L,73988672,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Pontiac,6000,Base Coupe 2-Door,2.8L,73994605,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,6000,LE Wagon 4-Door,4.3L,73996346,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Pontiac,6000,Base Coupe 2-Door,4.3L,73996506,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Pontiac,6000,LE Wagon 4-Door,2.8L,73996676,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,6000,STE Sedan 4-Door,2.8L,74015313,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,6000,Base Sedan 4-Door,2.8L,74021628,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,6000,Base Wagon 4-Door,4.3L,74027060,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Pontiac,6000,LE Sedan 4-Door,4.3L,74043667,4.3L 260Cu. In. V6 DIESEL OHV Naturally Aspirated
1985,Pontiac,6000,Base Wagon 4-Door,2.8L,74043767,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,6000,LE Sedan 4-Door,2.5L,83280575,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,6000,Base Coupe 2-Door,2.5L,83301126,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,6000,LE Coupe 2-Door,2.5L,83308366,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,6000,Base Sedan 4-Door,2.5L,83328349,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,6000,LE Wagon 4-Door,2.5L,83333900,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,6000,Base Wagon 4-Door,2.5L,83342393,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,Acadian,Base Hatchback 4-Door,1.8L,153473702,1.8L 1819CC 110Cu. In. l4 DIESEL Naturally Aspirated
1985,Pontiac,Acadian,Base Hatchback 2-Door,1.8L,153500430,1.8L 1819CC 110Cu. In. l4 DIESEL Naturally Aspirated
1985,Pontiac,Acadian,Base Hatchback 4-Door,1.6L,7037464696,1.6L 98Cu. In. l4 GAS SOHC Naturally Aspirated
1985,Pontiac,Acadian,Base Hatchback 2-Door,1.6L,23037471228,1.6L 98Cu. In. l4 GAS SOHC Naturally Aspirated
1985,Pontiac,Bonneville,LE Sedan 4-Door,3.8L,109872714,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Bonneville,Brougham Sedan 4-Door,3.8L,109904611,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Bonneville,Base Sedan 4-Door,3.8L,109936186,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Bonneville,LE Sedan 4-Door,5.0L,7037464777,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,Bonneville,Base Sedan 4-Door,5.0L,19037457818,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,Bonneville,Brougham Sedan 4-Door,5.0L,28037463555,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,Fiero,SE Coupe 2-Door,2.8L,74015423,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Fiero,GT Coupe 2-Door,2.8L,74022058,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Fiero,SE Coupe 2-Door,2.5L,83256844,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,Fiero,Base Coupe 2-Door,2.5L,83280585,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,Fiero,Sport Coupe 2-Door,2.5L,83366587,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,Fiero,Sport Coupe 2-Door,2.8L,153459655,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Firebird,S/E Coupe 2-Door,2.8L,73987011,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Firebird,Base Coupe 2-Door,2.5L,83341633,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,Firebird,Base Coupe 2-Door,2.8L,153534358,2.8L 173Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Firebird,Trans Am Coupe 2-Door,5.0L,2308592424,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,Firebird,S/E Coupe 2-Door,5.0L,5037472181,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,Firebird,Base Coupe 2-Door,5.0L,7037464747,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,Firefly,Base Hatchback 2-Door,1.0L,4043974157,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1985,Pontiac,Firefly,Base Sedan 4-Door,1.0L,19043982029,1.0L 993CC 61Cu. In. l3 GAS SOHC Naturally Aspirated
1985,Pontiac,Grand Am,Base Coupe 2-Door,3.0L,73987091,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Am,LE Coupe 2-Door,3.0L,74016093,3.0L 181Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Am,Base Coupe 2-Door,2.5L,83335173,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Am,LE Coupe 2-Door,2.5L,83340398,2.5L 2474CC 151Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Prix,LE Coupe 2-Door,3.8L,109914895,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Prix,Brougham Coupe 2-Door,3.8L,109962460,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Prix,Base Coupe 2-Door,3.8L,109967447,3.8L 3800CC 231Cu. In. V6 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Prix,LE Coupe 2-Door,5.0L,9037458342,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Prix,Base Coupe 2-Door,5.0L,10037466217,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,Grand Prix,Brougham Coupe 2-Door,5.0L,11037459283,5.0L 305Cu. In. V8 GAS OHV Naturally Aspirated
1985,Pontiac,J2000 Sunbird,Base Sedan 4-Door,1.8L,83350870,1.8L 112Cu. In. l4 GAS SOHC Naturally Aspirated
1985,Pontiac,J2000 Sunbird,Base Wagon 4-Door,2.0L,83249464,2.0L 122Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,J2000 Sunbird,LE Wagon 4-Door,1.8L,83306396,1.8L 112Cu. In. l4 GAS SOHC Naturally Aspirated
1985,Pontiac,J2000 Sunbird,Base Sedan 4-Door,2.0L,83266134,2.0L 122Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,J2000 Sunbird,SE Hatchback 2-Door,1.8L,83274984,1.8L 112Cu. In. l4 GAS SOHC Turbocharged
1985,Pontiac,J2000 Sunbird,Base Coupe 2-Door,1.8L,83279455,1.8L 112Cu. In. l4 GAS SOHC Naturally Aspirated
1985,Pontiac,J2000 Sunbird,Base Wagon 4-Door,1.8L,83286191,1.8L 112Cu. In. l4 GAS SOHC Naturally Aspirated
1985,Pontiac,J2000 Sunbird,LE Coupe 2-Door,2.0L,83292462,2.0L 122Cu. In. l4 GAS OHV Naturally Aspirated
1985,Pontiac,J2000 Sunbird,LE Coupe 2-Door,1.8L,83306312,1.8L 112Cu. In. l4 GAS SOHC Naturally Aspirated
1985,Pontiac,J2000 Sunbird,SE Coupe 2-Door,1.8L,83308601,1.8L 112Cu. In. l4 GAS SOHC Turbocharged
