year,make,model,trim,engine,epid,ebay_engine
2026,Porsche,911,GT3 RS,--,,--
2026,Porsche,911,Turbo,--,,--
2026,Porsche,911,Turbo S,--,,--
2026,Porsche,911,Carrera Coupe 2-Door,3.0L,,3.0L 2981CC H6 GAS DOHC Turbocharged
2026,Porsche,911,Carrera S Convertible 2-Door,3.0L,,3.0L 2981CC H6 GAS DOHC Turbocharged
2026,Porsche,911,Carrera Convertible 2-Door,3.0L,,3.0L 2981CC H6 GAS DOHC Turbocharged
2026,Porsche,911,Carrera S Coupe 2-Door,3.0L,,3.0L 2981CC H6 GAS DOHC Turbocharged
2026,Porsche,911,Carrera T Coupe 2-Door,3.0L,,3.0L 2981CC H6 GAS DOHC Turbocharged
2026,Porsche,911,Carrera T Convertible 2-Door,3.0L,,3.0L 2981CC H6 GAS DOHC Turbocharged
2026,Porsche,911,Spirit 70 Targa 2-Door,3.6L,,3.6L 3591CC 219Cu. In. H6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Porsche,911,Carrera GTS Convertible 2-Door,3.6L,,3.6L 3591CC 219Cu. In. H6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Porsche,911,Carrera 4 GTS Convertible 2-Door,3.6L,,3.6L 3591CC 219Cu. In. H6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Porsche,911,Carrera 4 GTS Coupe 2-Door,3.6L,,3.6L 3591CC 219Cu. In. H6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Porsche,911,Targa 4 GTS Targa 2-Door,3.6L,,3.6L 3591CC 219Cu. In. H6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Porsche,911,Carrera GTS Coupe 2-Door,3.6L,,3.6L 3591CC 219Cu. In. H6 FULL HYBRID EV-GAS (FHEV) DOHC Turbocharged
2026,Porsche,911,GT3 Coupe 2-Door,4.0L,,4.0L 3996CC H6 GAS DOHC Naturally Aspirated
2026,Porsche,911,GT3 Touring Package Coupe 2-Door,4.0L,,4.0L 3996CC H6 GAS DOHC Naturally Aspirated
