year,make,model,trim,engine,epid,ebay_engine
2011,Ram,1500,SLT Extended Cab Pickup 4-Door,5.7L,112470974,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SLT Standard Cab Pickup 2-Door,5.7L,112472741,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,ST Extended Cab Pickup 4-Door,5.7L,112476244,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SLT Crew Cab Pickup 4-Door,4.7L,112481142,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,Sport Extended Cab Pickup 4-Door,5.7L,112482194,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,ST Standard Cab Pickup 2-Door,5.7L,112485732,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,ST Standard Cab Pickup 2-Door,4.7L,112488482,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,ST Extended Cab Pickup 4-Door,4.7L,112490544,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,ST Standard Cab Pickup 2-Door,3.7L,112490605,3.7L 226Cu. In. V6 GAS SOHC Naturally Aspirated
2011,Ram,1500,ST Crew Cab Pickup 4-Door,4.7L,112494874,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,Laramie Crew Cab Pickup 4-Door,5.7L,112498795,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,Laramie Extended Cab Pickup 4-Door,5.7L,112511822,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,Tradesman Standard Cab Pickup 2-Door,5.7L,112516962,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SLT Extended Cab Pickup 4-Door,4.7L,112528630,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,ST Crew Cab Pickup 4-Door,5.7L,112529000,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,Sport Crew Cab Pickup 4-Door,5.7L,112533380,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,Laramie Longhorn Crew Cab Pickup 4-Door,5.7L,112533430,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SLT Standard Cab Pickup 2-Door,4.7L,112534807,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,Sport Standard Cab Pickup 2-Door,5.7L,112538126,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,Laramie Longhorn Extended Cab Pickup 4-Door,5.7L,112540106,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SLT Crew Cab Pickup 4-Door,5.7L,112556338,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SXT Crew Cab Pickup 4-Door,4.7L,153415461,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,Outdoorsman Standard Cab Pickup 2-Door,4.7L,153417301,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,SXT Standard Cab Pickup 2-Door,5.7L,153418031,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,Outdoorsman Extended Cab Pickup 4-Door,4.7L,153420211,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,SXT Extended Cab Pickup 4-Door,3.7L,153426051,3.7L 226Cu. In. V6 GAS SOHC Naturally Aspirated
2011,Ram,1500,ST Extended Cab Pickup 4-Door,3.7L,153462406,3.7L 226Cu. In. V6 GAS SOHC Naturally Aspirated
2011,Ram,1500,SXT Extended Cab Pickup 4-Door,4.7L,153463232,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,Big Horn Crew Cab Pickup 4-Door,5.7L,153466904,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SXT Crew Cab Pickup 4-Door,5.7L,153467994,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SXT Extended Cab Pickup 4-Door,5.7L,153468345,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,Outdoorsman Crew Cab Pickup 4-Door,5.7L,153468852,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,Outdoorsman Crew Cab Pickup 4-Door,4.7L,153470236,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,SXT Standard Cab Pickup 2-Door,4.7L,153477152,4.7L 287Cu. In. V8 FLEX SOHC Naturally Aspirated
2011,Ram,1500,Outdoorsman Extended Cab Pickup 4-Door,5.7L,153477179,5.7L 345Cu. In. V8 GAS OHV Naturally Aspirated
2011,Ram,1500,SXT Standard Cab Pickup 2-Door,3.7L,153478366,3.7L 226Cu. In. V6 GAS SOHC Naturally Aspirated
2011,Ram,1500,ST Crew Cab Pickup 4-Door,3.7L,153480602,3.7L 226Cu. In. V6 GAS SOHC Naturally Aspirated
