year,make,model,trim,engine,epid,ebay_engine
2026,Rivian,EDV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2026,Rivian,EDV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2026,Rivian,EDV-900,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2026,Rivian,R1S,Ascend,--,,--
2026,Rivian,R1S,Adventure,--,,--
2026,Rivian,R1T,Adventure,--,,--
2026,Rivian,R1T,Ascend,--,,--
2026,Rivian,RCV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2026,Rivian,RCV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,EDV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,EDV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,EDV-900,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,R1S,Ascend Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,R1S,Adventure Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,R1S,California Dune Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,R1T,California Dune Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,R1T,Adventure Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,R1T,Ascend Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,RCV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2025,Rivian,RCV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2024,Rivian,EDV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2024,Rivian,EDV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2024,Rivian,EDV-900,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2024,Rivian,R1S,Ascend Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Rivian,R1S,Adventure Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Rivian,R1T,Adventure Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2024,Rivian,RCV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2024,Rivian,RCV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2023,Rivian,EDV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2023,Rivian,EDV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2023,Rivian,EDV-900,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2023,Rivian,R1S,Adventure Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2023,Rivian,R1T,Adventure Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2023,Rivian,RCV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2023,Rivian,RCV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,EDV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,EDV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,EDV-900,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,R1S,Launch Edition Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,R1S,Adventure Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,R1S,Explore Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,R1T,Explore Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,R1T,Launch Edition Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,R1T,Adventure Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,RCV-500,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
2022,Rivian,RCV-700,Base Delivery Van 2-Door,--,,BATTERY EV (EV/BEV)
