year,make,model,trim,engine,epid,ebay_engine
2010,Rolls-Royce,Phantom,Coupe Coupe 2-Door,6.7L,10039846819,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2023,Rolls-Royce,Phantom,EWB Sedan 4-Door,6.7L,11056442670,6.7L 6749CC V12 GAS DOHC Turbocharged
2021,Rolls-Royce,Cullinan,Black Badge Sport Utility 4-Door,6.7L,11063594258,6.7L 6749CC V12 GAS DOHC Turbocharged
2011,Rolls-Royce,Ghost,Base Sedan 4-Door,6.6L,12039829875,6.6L 6592CC 402Cu. In. V12 GAS DOHC Turbocharged
2004,Rolls-Royce,Phantom,Base Sedan 4-Door,6.7L,12039829889,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2005,Rolls-Royce,Phantom,Base Sedan 4-Door,6.7L,12039829917,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2010,Rolls-Royce,Ghost,Base Sedan 4-Door,6.6L,12039829951,6.6L 6592CC 402Cu. In. V12 GAS DOHC Turbocharged
2007,Rolls-Royce,Phantom,Base Sedan 4-Door,6.7L,12039829987,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2008,Rolls-Royce,Phantom,Base Sedan 4-Door,6.7L,12039830147,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2023,Rolls-Royce,Phantom,Platino Sedan 4-Door,6.7L,12056444123,6.7L 6749CC V12 GAS DOHC Turbocharged
2020,Rolls-Royce,Cullinan,Black Badge Sport Utility 4-Door,6.7L,12063593326,6.7L 6749CC V12 GAS DOHC Turbocharged
2024,Rolls-Royce,Ghost,Black Badge Sedan 4-Door,6.7L,12063593378,6.7L 6749CC V12 GAS DOHC Turbocharged
2025,Rolls-Royce,Phantom,EWB Sedan 4-Door,6.7L,12072764034,6.7L 6749CC V12 GAS DOHC Turbocharged
2020,Rolls-Royce,Phantom,Base Sedan 4-Door,6.7L,13036077614,6.7L 6749CC V12 GAS DOHC Turbocharged
2022,Rolls-Royce,Ghost,Base Sedan 4-Door,6.7L,13045487638,6.7L 6749CC V12 GAS DOHC Turbocharged
2024,Rolls-Royce,Ghost,EWB Sedan 4-Door,6.7L,13063597962,6.7L 6749CC V12 GAS DOHC Turbocharged
2025,Rolls-Royce,Spectre,Base Coupe 2-Door,--,13070718475,BATTERY EV (EV/BEV)
2026,Rolls-Royce,Cullinan,Black Badge Sport Utility 4-Door,6.7L,13078731789,6.7L 6749CC V12 GAS DOHC Turbocharged
2020,Rolls-Royce,Wraith,Base Coupe 2-Door,6.6L,15036891873,6.6L 6592CC 402Cu. In. V12 GAS DOHC Turbocharged
2012,Rolls-Royce,Phantom,Coupe Coupe 2-Door,6.7L,15039844688,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2007,Rolls-Royce,Phantom,EWB Sedan 4-Door,6.7L,15039844845,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2022,Rolls-Royce,Ghost,EWB Sedan 4-Door,6.7L,15056454533,6.7L 6749CC V12 GAS DOHC Turbocharged
2022,Rolls-Royce,Cullinan,Black Badge Sport Utility 4-Door,6.7L,15063608086,6.7L 6749CC V12 GAS DOHC Turbocharged
2025,Rolls-Royce,Phantom,Base Sedan 4-Door,6.7L,15072780951,6.7L 6749CC V12 GAS DOHC Turbocharged
2020,Rolls-Royce,Cullinan,Base Sport Utility 4-Door,6.7L,16036076605,6.7L 6749CC V12 GAS DOHC Turbocharged
2021,Rolls-Royce,Phantom,Base Sedan 4-Door,6.7L,16041964815,6.7L 6749CC V12 GAS DOHC Turbocharged
2022,Rolls-Royce,Cullinan,Base Sport Utility 4-Door,6.7L,16053876559,6.7L 6749CC V12 GAS DOHC Turbocharged
2020,Rolls-Royce,Ghost,Black Badge Sedan 4-Door,6.6L,17037462849,6.6L 6592CC 402Cu. In. V12 GAS DOHC Turbocharged
2006,Rolls-Royce,Phantom,EWB Sedan 4-Door,6.7L,17039842579,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2008,Rolls-Royce,Phantom,Drophead Coupe Convertible 2-Door,6.7L,17039842599,6.7L 6749CC V12 GAS DOHC Naturally Aspirated
2023,Rolls-Royce,Ghost,Base Sedan 4-Door,6.7L,17056451629,6.7L 6749CC V12 GAS DOHC Turbocharged
2013,Rolls-Royce,Ghost,EWB Sedan 4-Door,6.6L,178311851,6.6L 6592CC 402Cu. In. V12 GAS DOHC Turbocharged
2014,Rolls-Royce,Wraith,Base Coupe 2-Door,6.6L,178312551,6.6L 6592CC 402Cu. In. V12 GAS DOHC Turbocharged
