year,make,model,trim,engine,epid,ebay_engine
2011,Saab,Wed Sep 03 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Turbo4 Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2011,Saab,Wed Sep 03 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Aero Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2011,Saab,Wed Sep 03 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Turbo4 Sedan 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2011,Saab,Wed Sep 03 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Aero Sedan 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2011,Saab,Wed Sep 03 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Aero Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2011,Saab,Wed Sep 03 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Turbo4 Convertible 2-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2011,Saab,9-3X,Base Wagon 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
2011,Saab,9-4X,Aero Sport Utility 4-Door,2.8L,,2.8L 2792CC 170Cu. In. V6 GAS DOHC Turbocharged
2011,Saab,9-4X,Base Sport Utility 4-Door,3.0L,,3.0L 182Cu. In. V6 GAS DOHC Naturally Aspirated
2011,Saab,9-4X,Premium Sport Utility 4-Door,3.0L,,3.0L 182Cu. In. V6 GAS DOHC Naturally Aspirated
2011,Saab,Fri Sep 05 2025 00:00:00 GMT-0400 (Eastern Daylight Time),Turbo4 Sedan 4-Door,2.0L,,2.0L 1998CC 122Cu. In. l4 GAS DOHC Turbocharged
