year,make,model,trim,engine,epid,ebay_engine
2006,Saturn,Vue,Base Sport Utility 4-Door,2.2L,109893121,2.2L 2198CC 134Cu. In. l4 GAS DOHC Naturally Aspirated
2007,Saturn,Vue,Base Sport Utility 4-Door,3.5L,109906691,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
2005,Saturn,Vue,Base Sport Utility 4-Door,3.5L,109908249,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
2005,Saturn,Vue,Red Line Sport Utility 4-Door,3.5L,109912885,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
2009,Saturn,Vue,XE Sport Utility 4-Door,2.4L,109914092,2.4L 2384CC 145Cu. In. l4 GAS DOHC Naturally Aspirated
2004,Saturn,Vue,Base Sport Utility 4-Door,3.5L,109931366,3.5L 3475CC V6 GAS SOHC Naturally Aspirated
2007,Saturn,Vue,Base Sport Utility 4-Door,2.2L,109933716,2.2L 2198CC 134Cu. In. l4 GAS DOHC Naturally Aspirated
2004,Saturn,Vue,Red Line Sport Utility 4-Door,3.5L,109955580,3.5L 3474CC V6 GAS SOHC Naturally Aspirated
2006,Saturn,Vue,Base Sport Utility 4-Door,3.5L,109956858,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
2005,Saturn,Vue,Base Sport Utility 4-Door,2.2L,11039229375,2.2L 2198CC 134Cu. In. l4 GAS DOHC Naturally Aspirated
2009,Saturn,Vue,XR Sport Utility 4-Door,2.4L,112506641,2.4L 2384CC 145Cu. In. l4 GAS DOHC Naturally Aspirated
2007,Saturn,Vue,Red Line Sport Utility 4-Door,3.5L,112542430,3.5L 3471CC V6 GAS SOHC Naturally Aspirated
2004,Saturn,Vue,Base Sport Utility 4-Door,2.2L,12039220554,2.2L 2198CC 134Cu. In. l4 GAS DOHC Naturally Aspirated
2003,Saturn,Vue,Base Sport Utility 4-Door,2.2L,13039234600,2.2L 2198CC 134Cu. In. l4 GAS DOHC Naturally Aspirated
