year,make,model,trim,engine,epid,ebay_engine
2013,Scion,xD,Base Hatchback 4-Door,1.8L,11039836423,1.8L 1798CC 110Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Scion,iQ,Base Hatchback 2-Door,1.3L,114891607,1.3L 1329CC l4 GAS DOHC Naturally Aspirated
2013,Scion,iQ,Base Hatchback 2-Door,1.3L,139636241,1.3L 1329CC l4 GAS DOHC Naturally Aspirated
2013,Scion,iQ,EV Hatchback 2-Door,--,153422611,BATTERY EV (EV/BEV)
2008,Scion,xD,Base Hatchback 4-Door,1.8L,16039840544,1.8L 1798CC 110Cu. In. l4 GAS DOHC Naturally Aspirated
2014,Scion,iQ,Base Hatchback 2-Door,1.3L,169253720,1.3L 1329CC l4 GAS DOHC Naturally Aspirated
2015,Scion,tC,Base Coupe 2-Door,2.5L,17039842546,2.5L 2494CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2016,Scion,tC,Base Coupe 2-Door,2.5L,18039845998,2.5L 2494CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Scion,xB,Base Wagon 4-Door,2.4L,182662681,2.4L 2362CC l4 GAS DOHC Naturally Aspirated
2010,Scion,xB,Base Wagon 4-Door,2.4L,182697265,2.4L 2362CC l4 GAS DOHC Naturally Aspirated
2012,Scion,xB,Base Wagon 4-Door,2.4L,182704929,2.4L 2362CC l4 GAS DOHC Naturally Aspirated
2008,Scion,xB,Base Wagon 4-Door,2.4L,182708189,2.4L 2362CC l4 GAS DOHC Naturally Aspirated
2014,Scion,xB,Base Wagon 4-Door,2.4L,182716716,2.4L 2362CC l4 GAS DOHC Naturally Aspirated
2004,Scion,xB,Base Wagon 4-Door,1.5L,182719642,1.5L 1497CC 91Cu. In. l4 GAS DOHC Naturally Aspirated
2006,Scion,xB,Base Wagon 4-Door,1.5L,182720312,1.5L 1497CC 91Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Scion,xB,Base Wagon 4-Door,2.4L,182720652,2.4L 2362CC l4 GAS DOHC Naturally Aspirated
2009,Scion,xB,Base Wagon 4-Door,2.4L,182721566,2.4L 2362CC l4 GAS DOHC Naturally Aspirated
2005,Scion,xB,Base Wagon 4-Door,1.5L,182751893,1.5L 1497CC 91Cu. In. l4 GAS DOHC Naturally Aspirated
2005,Scion,tC,Base Coupe 2-Door,2.4L,20036080542,2.4L 2362CC l4 GAS DOHC Naturally Aspirated
