year,make,model,trim,engine,epid,ebay_engine
2019,Smart,EQ fortwo,Pure Convertible 2-Door,--,11036074579,BATTERY EV (EV/BEV)
2019,Smart,EQ fortwo,Passion Convertible 2-Door,--,11036074676,BATTERY EV (EV/BEV)
2011,Smart,Fortwo,Electric Drive Convertible 2-Door,--,112527186,BATTERY EV (EV/BEV)
2011,Smart,Fortwo,Electric Drive Coupe 2-Door,--,112540990,BATTERY EV (EV/BEV)
2008,Smart,Fortwo,Passion Coupe 2-Door,1.0L,114827011,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2012,Smart,Fortwo,Pure Coupe 2-Door,1.0L,114827574,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2009,Smart,Fortwo,Passion Coupe 2-Door,1.0L,114860472,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2009,Smart,Fortwo,Passion Cabrio Convertible 2-Door,1.0L,114861512,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2010,Smart,Fortwo,Passion Coupe 2-Door,1.0L,114864205,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2010,Smart,Fortwo,Brabus Coupe 2-Door,1.0L,114869379,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2008,Smart,Fortwo,Passion Cabrio Convertible 2-Door,1.0L,114870059,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2012,Smart,Fortwo,Passion Cabrio Convertible 2-Door,1.0L,114889017,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2012,Smart,Fortwo,Electric Drive Coupe 2-Door,--,114891047,BATTERY EV (EV/BEV)
2011,Smart,Fortwo,Passion Cabrio Convertible 2-Door,1.0L,114904180,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2010,Smart,Fortwo,Brabus Convertible 2-Door,1.0L,114904680,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2009,Smart,Fortwo,Pure Coupe 2-Door,1.0L,114905540,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2008,Smart,Fortwo,Pure Coupe 2-Door,1.0L,114906730,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2012,Smart,Fortwo,Passion Coupe 2-Door,1.0L,114919283,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2010,Smart,Fortwo,Passion Cabrio Convertible 2-Door,1.0L,114935328,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2010,Smart,Fortwo,Pure Coupe 2-Door,1.0L,114935788,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2011,Smart,Fortwo,Passion Coupe 2-Door,1.0L,114935978,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2012,Smart,Fortwo,Electric Drive Convertible 2-Door,--,114938038,BATTERY EV (EV/BEV)
2011,Smart,Fortwo,Pure Coupe 2-Door,1.0L,118262227,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2007,Smart,Fortwo,Passion Coupe 2-Door,0.8L,153415001,0.8L 799CC l3 DIESEL SOHC Turbocharged
2007,Smart,Fortwo,Pulse Coupe 2-Door,0.8L,153429611,0.8L 799CC l3 DIESEL SOHC Turbocharged
2011,Smart,Fortwo,Brabus Cabrio Convertible 2-Door,1.0L,153431721,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2013,Smart,Fortwo,Electric Drive Coupe 2-Door,--,153448254,BATTERY EV (EV/BEV)
2006,Smart,Fortwo,Base Coupe 2-Door,0.8L,153459055,0.8L 799CC l3 DIESEL SOHC Turbocharged
2006,Smart,Fortwo,Pure Convertible 2-Door,0.8L,153460592,0.8L 799CC l3 DIESEL SOHC Turbocharged
2006,Smart,Fortwo,Passion Coupe 2-Door,0.8L,153460709,0.8L 799CC l3 DIESEL SOHC Turbocharged
2006,Smart,Fortwo,Pulse Coupe 2-Door,0.8L,153461082,0.8L 799CC l3 DIESEL SOHC Turbocharged
2005,Smart,Fortwo,Pulse Convertible 2-Door,0.8L,153461132,0.8L 799CC l3 DIESEL SOHC Turbocharged
2007,Smart,Fortwo,Passion Convertible 2-Door,0.8L,153463392,0.8L 799CC l3 DIESEL SOHC Turbocharged
2013,Smart,Fortwo,Pure Coupe 2-Door,1.0L,153464444,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2005,Smart,Fortwo,Pure Convertible 2-Door,0.8L,153467046,0.8L 799CC l3 DIESEL SOHC Turbocharged
2013,Smart,Fortwo,Passion Coupe 2-Door,1.0L,153467429,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2007,Smart,Fortwo,Base Convertible 2-Door,0.8L,153467815,0.8L 799CC l3 DIESEL SOHC Turbocharged
2013,Smart,Fortwo,Passion Cabrio Convertible 2-Door,1.0L,153469005,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2007,Smart,Fortwo,Pulse Convertible 2-Door,0.8L,153469572,0.8L 799CC l3 DIESEL SOHC Turbocharged
2006,Smart,Fortwo,Pure Coupe 2-Door,0.8L,153470255,0.8L 799CC l3 DIESEL SOHC Turbocharged
2013,Smart,Fortwo,Brabus Coupe 2-Door,1.0L,153472096,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2012,Smart,Fortwo,Brabus Cabrio Convertible 2-Door,1.0L,153473745,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2013,Smart,Fortwo,Brabus Cabrio Convertible 2-Door,1.0L,153480562,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2005,Smart,Fortwo,Base Convertible 2-Door,0.8L,153483066,0.8L 799CC l3 DIESEL SOHC Turbocharged
2011,Smart,Fortwo,Brabus Coupe 2-Door,1.0L,153484357,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2006,Smart,Fortwo,Passion Convertible 2-Door,0.8L,153485646,0.8L 799CC l3 DIESEL SOHC Turbocharged
2007,Smart,Fortwo,Pure Coupe 2-Door,0.8L,153486427,0.8L 799CC l3 DIESEL SOHC Turbocharged
2005,Smart,Fortwo,Base Coupe 2-Door,0.8L,153493447,0.8L 799CC l3 DIESEL SOHC Turbocharged
2006,Smart,Fortwo,Base Convertible 2-Door,0.8L,153504830,0.8L 799CC l3 DIESEL SOHC Turbocharged
2012,Smart,Fortwo,Brabus Coupe 2-Door,1.0L,153506470,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2006,Smart,Fortwo,Pulse Convertible 2-Door,0.8L,153506800,0.8L 799CC l3 DIESEL SOHC Turbocharged
2005,Smart,Fortwo,Pure Coupe 2-Door,0.8L,153507850,0.8L 799CC l3 DIESEL SOHC Turbocharged
2005,Smart,Fortwo,Pulse Coupe 2-Door,0.8L,153514653,0.8L 799CC l3 DIESEL SOHC Turbocharged
2013,Smart,Fortwo,Electric Drive Convertible 2-Door,--,153514660,BATTERY EV (EV/BEV)
2007,Smart,Fortwo,Pure Convertible 2-Door,0.8L,153518720,0.8L 799CC l3 DIESEL SOHC Turbocharged
2007,Smart,Fortwo,Base Coupe 2-Door,0.8L,153524553,0.8L 799CC l3 DIESEL SOHC Turbocharged
2005,Smart,Fortwo,Passion Coupe 2-Door,0.8L,153525263,0.8L 799CC l3 DIESEL SOHC Turbocharged
2005,Smart,Fortwo,Passion Convertible 2-Door,0.8L,153526088,0.8L 799CC l3 DIESEL SOHC Turbocharged
2014,Smart,Fortwo,Electric Drive Convertible 2-Door,--,173004560,BATTERY EV (EV/BEV)
2014,Smart,Fortwo,Electric Drive Coupe 2-Door,--,173035458,BATTERY EV (EV/BEV)
2014,Smart,Fortwo,Passion Cabrio Convertible 2-Door,1.0L,182713202,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2014,Smart,Fortwo,Pure Coupe 2-Door,1.0L,182745623,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
2014,Smart,Fortwo,Passion Coupe 2-Door,1.0L,182761940,1.0L 1000CC 61Cu. In. l3 GAS DOHC Naturally Aspirated
