year,make,model,trim,engine,epid,ebay_engine
2026,Subaru,Crosstrek,Sport Hybrid,--,,--
2026,Subaru,Crosstrek,Limited Hybrid,--,,--
2026,Subaru,Crosstrek,Base Wagon 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
2026,Subaru,Crosstrek,Touring Wagon 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
2026,Subaru,Crosstrek,Convenience Wagon 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
2026,Subaru,Crosstrek,Onyx Edition Wagon 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Crosstrek,Limited Wagon 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Crosstrek,Wilderness Wagon 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Crosstrek,Premium Wagon 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Crosstrek,Sport Wagon 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Forester,Wilderness,--,,--
2026,Subaru,Forester,Limited Hybrid Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Subaru,Forester,Premier Hybrid Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Subaru,Forester,Premier Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Forester,Touring Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Forester,Premium Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Forester,Touring Hybrid Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Subaru,Forester,Convenience Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Forester,Sport Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Forester,Base Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Forester,Premium Hybrid Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Subaru,Forester,Sport Hybrid Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
2026,Subaru,Forester,Limited Sport Utility 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Impreza,Sport Hatchback 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
2026,Subaru,Impreza,Convenience Hatchback 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
2026,Subaru,Impreza,Touring Hatchback 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
2026,Subaru,Impreza,Sport-tech Hatchback 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Impreza,RS Hatchback 4-Door,2.5L,,2.5L 2498CC 152Cu. In. H4 GAS DOHC Naturally Aspirated
2026,Subaru,Outback,Limited XT,--,,--
2026,Subaru,Outback,Premium,--,,--
2026,Subaru,Outback,Touring XT,--,,--
2026,Subaru,Outback,Limited,--,,--
2026,Subaru,Outback,Wilderness,--,,--
2026,Subaru,Outback,Touring,--,,--
2026,Subaru,Solterra,Touring Onyx Edition,--,,--
2026,Subaru,Solterra,Limited,--,,--
2026,Subaru,Solterra,Premium,--,,--
2026,Subaru,Solterra,Touring,--,,--
2026,Subaru,Solterra,XT,--,,--
2026,Subaru,Trailseeker,Premium,--,,--
2026,Subaru,Trailseeker,Limited,--,,--
2026,Subaru,Trailseeker,Touring,--,,--
2026,Subaru,Uncharted,Premium,--,,--
2026,Subaru,Uncharted,Sport,--,,--
2026,Subaru,Uncharted,GT,--,,--
2025,Subaru,Ascent,Convenience Sport Utility 4-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Turbocharged
2025,Subaru,Ascent,Touring Sport Utility 4-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Turbocharged
2025,Subaru,Ascent,Premium Sport Utility 4-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Turbocharged
2025,Subaru,Ascent,Bronze Edition Sport Utility 4-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Turbocharged
2025,Subaru,Ascent,Onyx Edition Sport Utility 4-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Turbocharged
2025,Subaru,Ascent,Onyx Edition Touring Sport Utility 4-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Turbocharged
2025,Subaru,Ascent,Limited Sport Utility 4-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Turbocharged
2025,Subaru,Ascent,Premier Sport Utility 4-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Turbocharged
2025,Subaru,BRZ,Sport-tech Coupe 2-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Naturally Aspirated
2025,Subaru,BRZ,TS Coupe 2-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Naturally Aspirated
2025,Subaru,BRZ,Limited Coupe 2-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Naturally Aspirated
2025,Subaru,BRZ,Base Coupe 2-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Naturally Aspirated
2025,Subaru,BRZ,Premium Coupe 2-Door,2.4L,,2.4L 2387CC 146Cu. In. H4 GAS DOHC Naturally Aspirated
2025,Subaru,Crosstrek,Touring Wagon 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
2025,Subaru,Crosstrek,Convenience Wagon 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
2025,Subaru,Crosstrek,Base Wagon 4-Door,2.0L,,2.0L 1995CC H4 GAS DOHC Naturally Aspirated
