year,make,model,trim,engine,epid,ebay_engine
2013,Suzuki,Grand Vitara,Limited Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Grand Vitara,JLX-L Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Grand Vitara,JX Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Grand Vitara,Urban Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Grand Vitara,JLX Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Grand Vitara,Premium Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Grand Vitara,Base Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Kizashi,SLS Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Kizashi,Base Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Kizashi,SE Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Kizashi,Sport Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Kizashi,GTS Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Kizashi,S Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,Kizashi,SX Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,JE Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,Sport Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,Crossover Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,JA Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,LE Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,JA Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,JX Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,Sport SE Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2013,Suzuki,SX4,Sportback Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Equator,Premium Extended Cab Pickup 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Equator,Base Extended Cab Pickup 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Equator,Sport Extended Cab Pickup 4-Door,4.0L,,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2012,Suzuki,Equator,RMZ-4 Crew Cab Pickup 4-Door,4.0L,,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2012,Suzuki,Equator,Sport Crew Cab Pickup 4-Door,4.0L,,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2012,Suzuki,Grand Vitara,Premium Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Grand Vitara,Base Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Grand Vitara,Limited Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Grand Vitara,Ultimate Adventure Edition Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Grand Vitara,JLX-L Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Grand Vitara,JLX Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Grand Vitara,Urban Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Grand Vitara,JX Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Kizashi,S Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Kizashi,Sport SLS Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Kizashi,Sport GTS Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Kizashi,SE Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Kizashi,Sport Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,Kizashi,SX Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,Crossover Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,LE Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,Sportback Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,Sport SE Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,JA Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,JA Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,JX Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,Sport Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,JX Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4,JE Sedan 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4 Crossover,JX Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4 Crossover,JLX Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2012,Suzuki,SX4 Crossover,JA Hatchback 4-Door,2.0L,,2.0L 1997CC 122Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Equator,Premium Extended Cab Pickup 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Equator,Base Extended Cab Pickup 4-Door,2.5L,,2.5L 2488CC 152Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Equator,RMZ-4 Crew Cab Pickup 4-Door,4.0L,,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2011,Suzuki,Equator,Sport Crew Cab Pickup 4-Door,4.0L,,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2011,Suzuki,Equator,Sport Extended Cab Pickup 4-Door,4.0L,,4.0L 3954CC V6 GAS DOHC Naturally Aspirated
2011,Suzuki,Grand Vitara,Limited Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Grand Vitara,Base Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Grand Vitara,Premium Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Grand Vitara,JLX-L Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Grand Vitara,JLX Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Grand Vitara,JX Sport Utility 4-Door,2.4L,,2.4L 2393CC l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Kizashi,Sport SLS Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Kizashi,SE Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
2011,Suzuki,Kizashi,Sport GTS Sedan 4-Door,2.4L,,2.4L 2388CC 146Cu. In. l4 GAS DOHC Naturally Aspirated
