year,make,model,trim,engine,epid,ebay_engine
2026,Tesla,3,Performance,--,,--
2026,Tesla,3,Long Range,--,,--
2026,Tesla,3,Base,--,,--
2026,Tesla,Cybertruck,Long Range Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2026,Tesla,Cybertruck,Base Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2026,Tesla,Cybertruck,Cyberbeast Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2026,Tesla,S,Plaid,--,,--
2026,Tesla,S,Long Range,--,,--
2026,Tesla,X,Plaid Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Tesla,X,Long Range Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Tesla,Y,Long Range,--,,--
2026,Tesla,Y,Launch Series,--,,--
2025,Tesla,3,Long Range Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,3,Performance Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,Cybertruck,Cyberbeast Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,Cybertruck,Base Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,S,Long Range Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,S,Plaid Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,X,Long Range Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,X,Plaid Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,Y,Base Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,Y,Long Range Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Tesla,Y,Performance Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,3,Long Range Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,3,Performance Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,3,Base Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,Cybertruck,Cyberbeast Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,Cybertruck,Base Crew Cab Pickup 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,S,Plaid Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,S,Long Range Sedan 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,X,Long Range Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2024,Tesla,X,Plaid Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
