year,make,model,trim,engine,epid,ebay_engine
2002,Toyota,Highlander,Base Sport Utility 4-Door,3.0L,73979634,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2002,Toyota,Avalon,XLS Sedan 4-Door,3.0L,73979654,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1991,Toyota,Camry,DLX Wagon 4-Door,2.5L,73979734,2.5L 2508CC V6 GAS DOHC Naturally Aspirated
2003,Toyota,Camry,XLE Sedan 4-Door,3.0L,73979804,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1991,Toyota,Camry,DLX Sedan 4-Door,2.5L,73979814,2.5L 2508CC V6 GAS DOHC Naturally Aspirated
1988,Toyota,Camry,DLX Sedan 4-Door,2.5L,73979844,2.5L 2508CC V6 GAS DOHC Naturally Aspirated
2001,Toyota,Solara,SE Convertible 2-Door,3.0L,73980464,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2001,Toyota,Solara,SE Coupe 2-Door,3.0L,73980534,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2000,Toyota,Solara,SLE Coupe 2-Door,3.0L,73980554,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1992,Toyota,Pickup,DLX Standard Cab Pickup 2-Door,3.0L,73980594,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
2000,Toyota,Solara,SE Convertible 2-Door,3.0L,73980614,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1994,Toyota,Pickup,SR5 Extended Cab Pickup 2-Door,3.0L,73980624,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
1989,Toyota,Pickup,SR5 Extended Cab Pickup 2-Door,3.0L,73980674,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
1993,Toyota,Pickup,DLX Extended Cab Pickup 2-Door,3.0L,73980684,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
1991,Toyota,Pickup,SR5 Extended Cab Pickup 2-Door,3.0L,73980754,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
2002,Toyota,Tundra,Limited Extended Cab Pickup 4-Door,4.7L,73980824,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
2004,Toyota,Solara,SLE Coupe 2-Door,3.3L,74001784,3.3L 3300CC V6 GAS DOHC Naturally Aspirated
2004,Toyota,Avalon,XL Sedan 4-Door,3.0L,74001944,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2006,Toyota,Tundra,Base Standard Cab Pickup 2-Door,4.7L,74005554,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
2006,Toyota,Sequoia,Limited Sport Utility 4-Door,4.7L,74005944,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
1996,Toyota,4Runner,SR5 Sport Utility 4-Door,3.4L,74006201,3.4L 3378CC V6 GAS DOHC Naturally Aspirated
2003,Toyota,4Runner,Limited Sport Utility 4-Door,4.7L,74006221,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
1996,Toyota,4Runner,Limited Sport Utility 4-Door,3.4L,74006291,3.4L 3378CC V6 GAS DOHC Naturally Aspirated
1991,Toyota,Camry,LE Sedan 4-Door,2.5L,74006331,2.5L 2508CC V6 GAS DOHC Naturally Aspirated
1994,Toyota,Camry,XLE Sedan 4-Door,3.0L,74006351,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1999,Toyota,Avalon,XLS Sedan 4-Door,3.0L,74006371,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1995,Toyota,Camry,LE Coupe 2-Door,3.0L,74006391,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2003,Toyota,Camry,LE Sedan 4-Door,3.0L,74006421,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1988,Toyota,Camry,LE Sedan 4-Door,2.5L,74006431,2.5L 2508CC V6 GAS DOHC Naturally Aspirated
2001,Toyota,Camry,LE Sedan 4-Door,3.0L,74006451,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2003,Toyota,Camry,SE Sedan 4-Door,3.0L,74006461,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2000,Toyota,Camry,LE Sedan 4-Door,3.0L,74006471,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1988,Toyota,Pickup,Base Standard Cab Pickup 2-Door,3.0L,74007091,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
1999,Toyota,Solara,SLE Coupe 2-Door,3.0L,74007121,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1989,Toyota,Pickup,DLX Extended Cab Pickup 2-Door,3.0L,74007131,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
2000,Toyota,Solara,SE Coupe 2-Door,3.0L,74007141,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1991,Toyota,Pickup,DLX Extended Cab Pickup 2-Door,3.0L,74007301,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
1993,Toyota,T100,SR5 Standard Cab Pickup 2-Door,3.0L,74007361,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
2007,Toyota,Highlander,Hybrid Sport Utility 4-Door,3.3L,74007614,3.3L 3300CC 202Cu. In. V6 FULL HYBRID EV-GAS (FHEV) DOHC Naturally Aspirated
1989,Toyota,Camry,LE Sedan 4-Door,2.5L,74008342,2.5L 2508CC V6 GAS DOHC Naturally Aspirated
1999,Toyota,Avalon,XL Sedan 4-Door,3.0L,74008472,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2001,Toyota,Camry,XLE Sedan 4-Door,3.0L,74008482,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1997,Toyota,4Runner,Limited Sport Utility 4-Door,3.4L,74008492,3.4L 3378CC V6 GAS DOHC Naturally Aspirated
2003,Toyota,Highlander,Base Sport Utility 4-Door,3.0L,74008552,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1988,Toyota,Pickup,SR5 Extended Cab Pickup 2-Door,3.0L,74009092,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
1990,Toyota,Pickup,DLX Standard Cab Pickup 2-Door,3.0L,74009212,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
2003,Toyota,Solara,SLE Convertible 2-Door,3.0L,74009302,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1993,Toyota,T100,Base Standard Cab Pickup 2-Door,3.0L,74009372,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
2001,Toyota,Sequoia,SR5 Sport Utility 4-Door,4.7L,74009572,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
2001,Toyota,Tundra,SR5 Extended Cab Pickup 4-Door,4.7L,74009652,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
2002,Toyota,Highlander,Limited Sport Utility 4-Door,3.0L,74014495,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1995,Toyota,Avalon,XL Sedan 4-Door,3.0L,74014595,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1994,Toyota,Camry,SE Sedan 4-Door,3.0L,74014605,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1995,Toyota,Camry,SE Sedan 4-Door,3.0L,74014625,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1989,Toyota,Camry,DLX Wagon 4-Door,2.5L,74014655,2.5L 2508CC V6 GAS DOHC Naturally Aspirated
1999,Toyota,Camry,LE Sedan 4-Door,3.0L,74014675,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1994,Toyota,Camry,LE Sedan 4-Door,3.0L,74014705,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1994,Toyota,Camry,SE Coupe 2-Door,3.0L,74014845,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2002,Toyota,Solara,SE Convertible 2-Door,3.0L,74015265,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2002,Toyota,Solara,SE Coupe 2-Door,3.0L,74015335,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1992,Toyota,Pickup,SR5 Extended Cab Pickup 2-Door,3.0L,74015405,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
1998,Toyota,T100,Base Extended Cab Pickup 2-Door,3.4L,74015525,3.4L 3378CC V6 GAS DOHC Naturally Aspirated
1995,Toyota,Pickup,DLX Extended Cab Pickup 2-Door,3.0L,74015645,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
2000,Toyota,Tundra,SR5 Extended Cab Pickup 4-Door,4.7L,74015665,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
2002,Toyota,Sequoia,SR5 Sport Utility 4-Door,4.7L,74015685,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
1989,Toyota,4Runner,SR5 Sport Utility 2-Door,3.0L,74016336,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
1997,Toyota,4Runner,SR5 Sport Utility 4-Door,3.4L,74016416,3.4L 3378CC V6 GAS DOHC Naturally Aspirated
1990,Toyota,Camry,LE Wagon 4-Door,2.5L,74016426,2.5L 2508CC V6 GAS DOHC Naturally Aspirated
1999,Toyota,Camry,XLE Sedan 4-Door,3.0L,74016516,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2002,Toyota,Camry,XLE Sedan 4-Door,3.0L,74016726,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
2003,Toyota,Solara,SLE Coupe 2-Door,3.0L,74017296,3.0L 2995CC V6 GAS DOHC Naturally Aspirated
1994,Toyota,Pickup,DLX Extended Cab Pickup 2-Door,3.0L,74017506,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
2001,Toyota,Sequoia,Limited Sport Utility 4-Door,4.7L,74017556,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
2001,Toyota,Tundra,Limited Extended Cab Pickup 4-Door,4.7L,74017786,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
2008,Toyota,4Runner,SR5 Sport Utility 4-Door,4.7L,74019834,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
2009,Toyota,RAV4,Sport Sport Utility 4-Door,3.5L,74021054,3.5L 3456CC V6 GAS DOHC Naturally Aspirated
2009,Toyota,4Runner,SR5 Sport Utility 4-Door,4.7L,74021214,4.7L 4663CC 285Cu. In. V8 GAS DOHC Naturally Aspirated
1991,Toyota,4Runner,SR5 Sport Utility 4-Door,3.0L,74029579,3.0L 2959CC V6 GAS SOHC Naturally Aspirated
