year,make,model,trim,engine,epid,ebay_engine
2019,Volkswagen,Arteon,SE Hatchback 4-Door,2.0L,251777092,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2019,Volkswagen,Arteon,SEL Hatchback 4-Door,2.0L,251777292,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2019,Volkswagen,Arteon,Execline Hatchback 4-Door,2.0L,251850659,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2019,Volkswagen,Arteon,SEL Premium R-Line Hatchback 4-Door,2.0L,251932223,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2019,Volkswagen,Arteon,SEL R-Line Hatchback 4-Door,2.0L,252162195,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2019,Volkswagen,Arteon,SEL Premium Hatchback 4-Door,2.0L,2331934502,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2019,Volkswagen,Arteon,SE R-Line Hatchback 4-Door,2.0L,2331934585,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2020,Volkswagen,Arteon,SEL Hatchback 4-Door,2.0L,5036087210,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2020,Volkswagen,Arteon,SE Hatchback 4-Door,2.0L,7036079532,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2020,Volkswagen,Arteon,SEL R-Line Hatchback 4-Door,2.0L,13036077619,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2020,Volkswagen,Arteon,Execline Hatchback 4-Door,2.0L,23036880280,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2020,Volkswagen,Arteon,SEL Premium R-Line Hatchback 4-Door,2.0L,24036074374,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2021,Volkswagen,Arteon,SEL R-Line Hatchback 4-Door,2.0L,7037925315,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2021,Volkswagen,Arteon,Execline Hatchback 4-Door,2.0L,19041970222,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2021,Volkswagen,Arteon,SE Hatchback 4-Door,2.0L,23037471238,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2021,Volkswagen,Arteon,SEL Premium R-Line Hatchback 4-Door,2.0L,24037921066,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2022,Volkswagen,Arteon,SEL Premium R-Line Hatchback 4-Door,2.0L,19052744525,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2022,Volkswagen,Arteon,SEL R-Line Hatchback 4-Door,2.0L,20052741107,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2022,Volkswagen,Arteon,SE R-Line Hatchback 4-Door,2.0L,24052734856,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
2023,Volkswagen,Arteon,SEL Premium R-Line Hatchback 4-Door,2.0L,8056455895,2.0L 1984CC 121Cu. In. l4 GAS DOHC Turbocharged
