year,make,model,trim,engine,epid,ebay_engine
2026,Volvo,EC40,Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,EC40,Ultra Black Edition Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,EC40,Core Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,EC40,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,EX30,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,EX30,Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,EX30 Cross Country,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,EX40,Ultra,--,,--
2026,Volvo,EX40,Plus,--,,--
2026,Volvo,EX40,Core,--,,--
2026,Volvo,EX90,Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,EX90,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2026,Volvo,V60 Cross Country,B5 Plus,--,,--
2026,Volvo,V60 Cross Country,B5 Ultra,--,,--
2026,Volvo,V90 Cross Country,B6 Plus,--,,--
2026,Volvo,V90 Cross Country,B6 Ultra,--,,--
2026,Volvo,XC40,B5 Plus,--,,--
2026,Volvo,XC40,B5 Core,--,,--
2026,Volvo,XC40,B5 Ultimate,--,,--
2026,Volvo,XC60,T8 Polestar,--,,--
2026,Volvo,XC60,B5 Core,--,,--
2026,Volvo,XC60,B5 Ultra,--,,--
2026,Volvo,XC60,T8 Ultra,--,,--
2026,Volvo,XC60,B5 Plus,--,,--
2026,Volvo,XC60,T8 Plus,--,,--
2026,Volvo,XC60,T8 Core,--,,--
2026,Volvo,XC60,T8 Ultra Black Edition,--,,--
2026,Volvo,XC60,B5 Ultra Black Edition,--,,--
2026,Volvo,XC90,B5 Plus Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Volvo,XC90,B5 Ultra Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Volvo,XC90,B6 Plus Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbo/Supercharged
2026,Volvo,XC90,B5 Core Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2026,Volvo,XC90,T8 Ultra Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
2026,Volvo,XC90,B6 Ultra Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbo/Supercharged
2026,Volvo,XC90,B6 Core Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbo/Supercharged
2026,Volvo,XC90,T8 Plus Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
2026,Volvo,XC90,T8 Core Sport Utility 4-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
2025,Volvo,EC40,Ultra Black Edition Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EC40,Core Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EC40,Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EC40,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EX30,Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EX30,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EX30,Core Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EX40,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EX40,Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EX40,Core Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EX90,Ultra Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,EX90,Plus Sport Utility 4-Door,--,,BATTERY EV (EV/BEV)
2025,Volvo,S60,T8 Ultra Black Edition Sedan 4-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
2025,Volvo,S60,T8 Plus Sedan 4-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
2025,Volvo,S60,B5 Core Sedan 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Volvo,S60,B5 Ultra Sedan 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Volvo,S60,B5 Plus Sedan 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Volvo,S60,B5 Ultra Black Edition Sedan 4-Door,2.0L,,2.0L 1969CC l4 MILD HYBRID EV-GAS (MHEV) DOHC Turbocharged
2025,Volvo,S60,T8 Core Sedan 4-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
2025,Volvo,S60,T8 Ultra Sedan 4-Door,2.0L,,2.0L 1969CC l4 PLUG-IN HYBRID EV-GAS (PHEV) DOHC Turbo/Supercharged
